collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,docs_pilot,dup_frac,var_est,sampling,pilot_cost,cv_pred,bound
antique,inv,5,0.01,weighted_cv,0.10333333333333333,0.0,731.43,630.5733333333334,0.0,0.16784233988314762,shared,full,binary,t
antique,inv,5,0.01,ai_calib,0.02,0.0,730.5366666666666,630.5733333333334,0.0,0.41825864993417206,shared,full,binary,t
antique,inv,5,0.01,ai_resid,0.10666666666666667,0.0,731.4633333333334,630.5733333333334,0.0,0.16638120137003548,shared,full,binary,t
antique,inv,5,0.01,ai_robust_0.5,0.12666666666666668,0.0,731.53,630.5733333333334,0.0,0.17216024943713118,shared,full,binary,t
antique,inv,5,0.01,ai_robust_0.3,0.14333333333333334,0.0,731.2666666666667,630.5733333333334,0.0,0.17294983383988063,shared,full,binary,t
antique,inv,5,0.02,weighted_cv,0.15666666666666668,0.0,731.3866666666667,631.4233333333333,0.0,0.17030664358640135,shared,full,binary,t
antique,inv,5,0.02,ai_calib,0.02,0.0,730.43,631.4233333333333,0.0,0.3952795114646367,shared,full,binary,t
antique,inv,5,0.02,ai_resid,0.10333333333333333,0.0,730.0133333333333,631.4233333333333,0.0,0.16569535260784932,shared,full,binary,t
antique,inv,5,0.02,ai_robust_0.5,0.16,0.0,730.75,631.4233333333333,0.0,0.1660270677336642,shared,full,binary,t
antique,inv,5,0.02,ai_robust_0.3,0.16333333333333333,0.0,730.4733333333334,631.4233333333333,0.0,0.16595681369571602,shared,full,binary,t
antique,inv,10,0.01,weighted_cv,0.27666666666666667,0.0,830.7933333333333,631.89,0.0,0.1722338655258392,shared,full,binary,t
antique,inv,10,0.01,ai_calib,0.07333333333333333,0.0,830.0433333333333,631.89,0.0,0.3817239483761619,shared,full,binary,t
antique,inv,10,0.01,ai_resid,0.23666666666666666,0.0,830.8466666666667,631.89,0.0,0.1744204058986908,shared,full,binary,t
antique,inv,10,0.01,ai_robust_0.5,0.25333333333333335,0.0,831.3933333333333,631.89,0.0,0.17347714110744092,shared,full,binary,t
antique,inv,10,0.01,ai_robust_0.3,0.30333333333333334,0.0,830.76,631.89,0.0,0.16654495569917765,shared,full,binary,t
antique,inv,10,0.02,weighted_cv,0.3466666666666667,0.0,829.1366666666667,630.1933333333334,0.0,0.16945196628876114,shared,full,binary,t
antique,inv,10,0.02,ai_calib,0.08666666666666667,0.0,829.7833333333333,630.1933333333334,0.0,0.38750234634244746,shared,full,binary,t
antique,inv,10,0.02,ai_resid,0.38333333333333336,0.0,828.7366666666667,630.1933333333334,0.0,0.16984180361029477,shared,full,binary,t
antique,inv,10,0.02,ai_robust_0.5,0.3,0.0,828.6333333333333,630.1933333333334,0.0,0.16604825628152345,shared,full,binary,t
antique,inv,10,0.02,ai_robust_0.3,0.31333333333333335,0.0,828.3433333333334,630.1933333333334,0.0,0.1685684297997345,shared,full,binary,t
antique,inv,15,0.01,weighted_cv,0.39666666666666667,0.0,933.2666666666667,634.52,0.0,0.166513114907615,shared,full,binary,t
antique,inv,15,0.01,ai_calib,0.13666666666666666,0.0,932.4833333333333,634.52,0.0,0.38822215212958733,shared,full,binary,t
antique,inv,15,0.01,ai_resid,0.42333333333333334,0.0,932.51,634.52,0.0,0.17107284107592202,shared,full,binary,t
antique,inv,15,0.01,ai_robust_0.5,0.42,0.0,931.39,634.52,0.0,0.16952001712885154,shared,full,binary,t
antique,inv,15,0.01,ai_robust_0.3,0.3233333333333333,0.0,933.1066666666667,634.52,0.0,0.1689977141716217,shared,full,binary,t
antique,inv,15,0.02,weighted_cv,0.47333333333333333,0.0,938.4733333333334,633.9566666666667,0.0,0.17736827061227559,shared,full,binary,t
antique,inv,15,0.02,ai_calib,0.20666666666666667,0.0,937.72,633.9566666666667,0.0,0.4144644720019413,shared,full,binary,t
antique,inv,15,0.02,ai_resid,0.53,0.0,937.2333333333333,633.9566666666667,0.0,0.18160411221772985,shared,full,binary,t
antique,inv,15,0.02,ai_robust_0.5,0.5,0.0,937.43,633.9566666666667,0.0,0.17287189644073167,shared,full,binary,t
antique,inv,15,0.02,ai_robust_0.3,0.48,0.0,937.6466666666666,633.9566666666667,0.0,0.17627455274082857,shared,full,binary,t
antique,inv,20,0.01,weighted_cv,0.56,0.0,1033.8066666666666,629.63,0.0,0.17393395632801587,shared,full,binary,t
antique,inv,20,0.01,ai_calib,0.24333333333333335,0.0,1034.1466666666668,629.63,0.0,0.41030583023333783,shared,full,binary,t
antique,inv,20,0.01,ai_resid,0.54,0.0,1034.24,629.63,0.0,0.17197483195356522,shared,full,binary,t
antique,inv,20,0.01,ai_robust_0.5,0.5833333333333334,0.0,1034.7166666666667,629.63,0.0,0.17543246518668856,shared,full,binary,t
antique,inv,20,0.01,ai_robust_0.3,0.5666666666666667,0.0,1032.1133333333332,629.63,0.0,0.17433612598767337,shared,full,binary,t
antique,inv,20,0.02,weighted_cv,0.63,0.0,1035.0066666666667,631.53,0.0,0.17315088203554546,shared,full,binary,t
antique,inv,20,0.02,ai_calib,0.31666666666666665,0.0,1035.8466666666666,631.53,0.0,0.4091982815809101,shared,full,binary,t
antique,inv,20,0.02,ai_resid,0.66,0.0,1034.7433333333333,631.53,0.0,0.1713482433515729,shared,full,binary,t
antique,inv,20,0.02,ai_robust_0.5,0.6633333333333333,0.0,1034.46,631.53,0.0,0.17252021394660602,shared,full,binary,t
antique,inv,20,0.02,ai_robust_0.3,0.6466666666666666,0.0,1034.0366666666666,631.53,0.0,0.17212277311379473,shared,full,binary,t
