collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,docs_pilot,dup_frac,var_est,sampling,pilot_cost,cv_pred,bound
antique,rr,5,0.01,weighted_cv,0.17333333333333334,0.0,731.43,630.5733333333334,0.0,0.10428854148062039,shared,full,binary,t
antique,rr,5,0.01,ai_calib,0.18666666666666668,0.0,730.5366666666666,630.5733333333334,0.0,0.14772389488882368,shared,full,binary,t
antique,rr,5,0.01,ai_resid,0.19666666666666666,0.0,731.0066666666667,630.5733333333334,0.0,0.1036697903939103,shared,full,binary,t
antique,rr,5,0.01,ai_robust_0.5,0.18666666666666668,0.0,731.3666666666667,630.5733333333334,0.0,0.10269968846447913,shared,full,binary,t
antique,rr,5,0.01,ai_robust_0.3,0.18,0.0,731.1833333333333,630.5733333333334,0.0,0.10438843101216297,shared,full,binary,t
antique,rr,5,0.02,weighted_cv,0.26,0.0,731.3866666666667,631.4233333333333,0.0,0.10506402947974645,shared,full,binary,t
antique,rr,5,0.02,ai_calib,0.21333333333333335,0.0,730.43,631.4233333333333,0.0,0.1480935112856032,shared,full,binary,t
antique,rr,5,0.02,ai_resid,0.25333333333333335,0.0,729.9633333333334,631.4233333333333,0.0,0.10382793760468252,shared,full,binary,t
antique,rr,5,0.02,ai_robust_0.5,0.2633333333333333,0.0,730.9266666666666,631.4233333333333,0.0,0.10104377607284981,shared,full,binary,t
antique,rr,5,0.02,ai_robust_0.3,0.2733333333333333,0.0,730.5233333333333,631.4233333333333,0.0,0.10402194995819886,shared,full,binary,t
antique,rr,10,0.01,weighted_cv,0.42,0.0,830.7933333333333,631.89,0.0,0.10605600116830069,shared,full,binary,t
antique,rr,10,0.01,ai_calib,0.31666666666666665,0.0033333333333333335,830.0433333333333,631.89,0.0,0.150071073156615,shared,full,binary,t
antique,rr,10,0.01,ai_resid,0.47,0.0,830.8866666666667,631.89,0.0,0.10288268055846989,shared,full,binary,t
antique,rr,10,0.01,ai_robust_0.5,0.43333333333333335,0.0,831.22,631.89,0.0,0.10406457672888336,shared,full,binary,t
antique,rr,10,0.01,ai_robust_0.3,0.39666666666666667,0.0,830.79,631.89,0.0,0.10435886802708612,shared,full,binary,t
antique,rr,10,0.02,weighted_cv,0.49666666666666665,0.0,829.1366666666667,630.1933333333334,0.0,0.10155685131363144,shared,full,binary,t
antique,rr,10,0.02,ai_calib,0.4,0.0,829.7833333333333,630.1933333333334,0.0,0.15197652496626815,shared,full,binary,t
antique,rr,10,0.02,ai_resid,0.51,0.0,828.78,630.1933333333334,0.0,0.10541088243989132,shared,full,binary,t
antique,rr,10,0.02,ai_robust_0.5,0.5066666666666667,0.0,828.94,630.1933333333334,0.0,0.10508959309083431,shared,full,binary,t
antique,rr,10,0.02,ai_robust_0.3,0.5366666666666666,0.0,828.7833333333333,630.1933333333334,0.0,0.10381661432983552,shared,full,binary,t
antique,rr,15,0.01,weighted_cv,0.57,0.0,933.2666666666667,634.52,0.0,0.10482462476075602,shared,full,binary,t
antique,rr,15,0.01,ai_calib,0.43,0.0,932.4833333333333,634.52,0.0,0.15325370925310625,shared,full,binary,t
antique,rr,15,0.01,ai_resid,0.5633333333333334,0.0,931.6366666666667,634.52,0.0,0.11508057863167202,shared,full,binary,t
antique,rr,15,0.01,ai_robust_0.5,0.5533333333333333,0.0,931.7666666666667,634.52,0.0,0.10205994934257269,shared,full,binary,t
antique,rr,15,0.01,ai_robust_0.3,0.5866666666666667,0.0,933.73,634.52,0.0,0.1032207565367245,shared,full,binary,t
antique,rr,15,0.02,weighted_cv,0.7066666666666667,0.0,938.4733333333334,633.9566666666667,0.0,0.10695849260160609,shared,full,binary,t
antique,rr,15,0.02,ai_calib,0.53,0.0,937.7166666666667,633.9566666666667,0.0,0.15768986087478715,shared,full,binary,t
antique,rr,15,0.02,ai_resid,0.7466666666666667,0.0,937.4,633.9566666666667,0.0,0.10954260804135899,shared,full,binary,t
antique,rr,15,0.02,ai_robust_0.5,0.7066666666666667,0.0,937.8033333333333,633.9566666666667,0.0,0.10785299803155679,shared,full,binary,t
antique,rr,15,0.02,ai_robust_0.3,0.71,0.0,937.76,633.9566666666667,0.0,0.10758382652327057,shared,full,binary,t
antique,rr,20,0.01,weighted_cv,0.7833333333333333,0.0,1033.8066666666666,629.63,0.0,0.10667104284407389,shared,full,binary,t
antique,rr,20,0.01,ai_calib,0.6066666666666667,0.0,1034.1466666666668,629.63,0.0,0.15395672699729,shared,full,binary,t
antique,rr,20,0.01,ai_resid,0.74,0.0,1034.22,629.63,0.0,0.10738892115924675,shared,full,binary,t
antique,rr,20,0.01,ai_robust_0.5,0.78,0.0,1034.74,629.63,0.0,0.10696562142985064,shared,full,binary,t
antique,rr,20,0.01,ai_robust_0.3,0.77,0.0,1031.9433333333334,629.63,0.0,0.1057169737814005,shared,full,binary,t
antique,rr,20,0.02,weighted_cv,0.81,0.0,1035.0066666666667,631.53,0.0,0.10487611142614363,shared,full,binary,t
antique,rr,20,0.02,ai_calib,0.62,0.0,1035.8466666666666,631.53,0.0,0.15444024463134123,shared,full,binary,t
antique,rr,20,0.02,ai_resid,0.8233333333333334,0.0,1034.8366666666666,631.53,0.0,0.1063506302106955,shared,full,binary,t
antique,rr,20,0.02,ai_robust_0.5,0.8,0.0,1033.9766666666667,631.53,0.0,0.10346064301663285,shared,full,binary,t
antique,rr,20,0.02,ai_robust_0.3,0.8133333333333334,0.0,1033.77,631.53,0.0,0.10449609086856021,shared,full,binary,t
