collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,docs_pilot,dup_frac,var_est,sampling,pilot_cost,cv_pred,bound
cast19,llm,120,0.01,weighted_cv,0.25333333333333335,0.0,3749.9133333333334,973.1166666666667,0.0,0.01256514805854141,shared,full,binary,t
cast19,llm,120,0.01,ai_calib,0.25333333333333335,0.0,3741.7633333333333,973.1166666666667,0.0,0.012528815661932752,shared,full,binary,t
cast19,llm,120,0.01,ai_resid,0.28,0.0,3744.4333333333334,973.1166666666667,0.0,0.01301756181208354,shared,full,binary,t
cast19,llm,120,0.01,ai_robust_0.5,0.26,0.0,3748.68,973.1166666666667,0.0,0.012490427082706552,shared,full,binary,t
cast19,llm,120,0.01,ai_robust_0.3,0.26666666666666666,0.0,3746.3033333333333,973.1166666666667,0.0,0.012555476993427633,shared,full,binary,t
cast19,llm,120,0.02,weighted_cv,0.57,0.0,3740.52,978.02,0.0,0.012418322526615257,shared,full,binary,t
cast19,llm,120,0.02,ai_calib,0.59,0.0,3729.6266666666666,978.02,0.0,0.012389072539153693,shared,full,binary,t
cast19,llm,120,0.02,ai_resid,0.5633333333333334,0.0,3731.07,978.02,0.0,0.01316253350020249,shared,full,binary,t
cast19,llm,120,0.02,ai_robust_0.5,0.5733333333333334,0.0,3736.7766666666666,978.02,0.0,0.012341372221600488,shared,full,binary,t
cast19,llm,120,0.02,ai_robust_0.3,0.5766666666666667,0.0,3734.2533333333336,978.02,0.0,0.012485242422516262,shared,full,binary,t
cast19,llm,150,0.01,weighted_cv,0.24,0.0,4148.61,976.2566666666667,0.0,0.012232843693247748,shared,full,binary,t
cast19,llm,150,0.01,ai_calib,0.24666666666666667,0.0,4132.5633333333335,976.2566666666667,0.0,0.012269807615366984,shared,full,binary,t
cast19,llm,150,0.01,ai_resid,0.23666666666666666,0.0,4138.893333333333,976.2566666666667,0.0,0.012387702032643073,shared,full,binary,t
cast19,llm,150,0.01,ai_robust_0.5,0.24666666666666667,0.0,4143.8,976.2566666666667,0.0,0.012248165375692207,shared,full,binary,t
cast19,llm,150,0.01,ai_robust_0.3,0.23666666666666666,0.0,4141.873333333333,976.2566666666667,0.0,0.01224000144430284,shared,full,binary,t
cast19,llm,150,0.02,weighted_cv,0.6133333333333333,0.0,4068.1233333333334,977.6733333333333,0.0,0.011778697329752619,shared,full,binary,t
cast19,llm,150,0.02,ai_calib,0.6133333333333333,0.0,4054.0433333333335,977.6733333333333,0.0,0.011822802408360472,shared,full,binary,t
cast19,llm,150,0.02,ai_resid,0.61,0.0,4059.733333333333,977.6733333333333,0.0,0.011915716857838073,shared,full,binary,t
cast19,llm,150,0.02,ai_robust_0.5,0.61,0.0,4063.61,977.6733333333333,0.0,0.011785444084784803,shared,full,binary,t
cast19,llm,150,0.02,ai_robust_0.3,0.5866666666666667,0.0,4062.94,977.6733333333333,0.0,0.011815999072615572,shared,full,binary,t
cast19,llm,200,0.01,weighted_cv,0.24333333333333335,0.0,4308.52,972.0933333333334,0.0,0.012025592200953577,shared,full,binary,t
cast19,llm,200,0.01,ai_calib,0.24,0.0,4307.58,972.0933333333334,0.0,0.012030709555827288,shared,full,binary,t
cast19,llm,200,0.01,ai_resid,0.24333333333333335,0.0,4307.13,972.0933333333334,0.0,0.012035770749329568,shared,full,binary,t
cast19,llm,200,0.01,ai_robust_0.5,0.24333333333333335,0.0,4307.996666666667,972.0933333333334,0.0,0.012017603060776434,shared,full,binary,t
cast19,llm,200,0.01,ai_robust_0.3,0.24333333333333335,0.0,4307.806666666666,972.0933333333334,0.0,0.012018945949273092,shared,full,binary,t
cast19,llm,200,0.02,weighted_cv,0.5566666666666666,0.0,4310.193333333334,974.3166666666667,0.0,0.011758324648610131,shared,full,binary,t
cast19,llm,200,0.02,ai_calib,0.5533333333333333,0.0,4309.38,974.3166666666667,0.0,0.011758664038251791,shared,full,binary,t
cast19,llm,200,0.02,ai_resid,0.5566666666666666,0.0,4309.25,974.3166666666667,0.0,0.01176874249640471,shared,full,binary,t
cast19,llm,200,0.02,ai_robust_0.5,0.5566666666666666,0.0,4309.883333333333,974.3166666666667,0.0,0.011754643037111307,shared,full,binary,t
cast19,llm,200,0.02,ai_robust_0.3,0.5566666666666666,0.0,4309.3133333333335,974.3166666666667,0.0,0.011772287991093323,shared,full,binary,t
