collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,var_est
cast19,llm,120,0.02,weighted_cv,0.49666666666666665,0.0,2687.6966666666667,0.013613341522464134
cast19,llm,120,0.02,ai_calib,0.5133333333333333,0.0,2685.005,0.013634618462107824
cast19,llm,120,0.02,ai_resid,0.5,0.0,2689.4266666666667,0.01361731044207915
cast19,llm,120,0.02,ai_robust_0.5,0.5033333333333333,0.0,2687.8816666666667,0.013555442559478272
cast19,llm,120,0.02,ai_robust_0.3,0.5,0.0,2687.5916666666667,0.013567872300831757
cast19,llm,150,0.02,weighted_cv,0.53,0.0,3085.9383333333335,0.01266298669220902
cast19,llm,150,0.02,ai_calib,0.5333333333333333,0.0,3081.536666666667,0.012629242127797494
cast19,llm,150,0.02,ai_resid,0.52,0.0,3084.33,0.012640718983525787
cast19,llm,150,0.02,ai_robust_0.5,0.5233333333333333,0.0,3084.93,0.012654868384398523
cast19,llm,150,0.02,ai_robust_0.3,0.53,0.0,3084.7933333333335,0.012638329103682162
