collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,docs_pilot,dup_frac,var_est,sampling,pilot_cost,cv_pred,bound
cast19,llm,60,0.01,weighted_cv,0.5733333333333334,0.0,2432.1633333333334,974.0233333333333,0.0,0.02035091025998601,shared,full,binary,t
cast19,llm,60,0.01,ai_calib,0.49,0.0,2429.0933333333332,974.0233333333333,0.0,0.022408766324009812,shared,full,binary,t
cast19,llm,60,0.01,ai_resid,0.55,0.0,2433.0866666666666,974.0233333333333,0.0,0.023207644418389725,shared,full,binary,t
cast19,llm,60,0.01,ai_robust_0.5,0.5733333333333334,0.0,2429.903333333333,974.0233333333333,0.0,0.01969081118097911,shared,full,binary,t
cast19,llm,60,0.01,ai_robust_0.3,0.57,0.0,2432.0133333333333,974.0233333333333,0.0,0.020092374238404032,shared,full,binary,t
cast19,llm,60,0.02,weighted_cv,0.7566666666666667,0.0,2404.733333333333,970.84,0.0,0.019479851343805255,shared,full,binary,t
cast19,llm,60,0.02,ai_calib,0.7,0.0,2404.6433333333334,970.84,0.0,0.022204620524036257,shared,full,binary,t
cast19,llm,60,0.02,ai_resid,0.7633333333333333,0.0033333333333333335,2403.55,970.84,0.0,0.02109193439350993,shared,full,binary,t
cast19,llm,60,0.02,ai_robust_0.5,0.77,0.0,2404.6433333333334,970.84,0.0,0.019024203578341337,shared,full,binary,t
cast19,llm,60,0.02,ai_robust_0.3,0.7366666666666667,0.0,2402.326666666667,970.84,0.0,0.019421974765077236,shared,full,binary,t
