collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,var_est
dl212223,llm,30,0.01,weighted_cv,0.23333333333333334,0.0,1217.9583333333333,0.10202361330581113
dl212223,llm,30,0.01,ai_calib,0.17666666666666667,0.0,1217.0583333333334,0.15576824577537396
dl212223,llm,30,0.01,ai_resid,0.27666666666666667,0.0,1217.2366666666667,0.09492861830080096
dl212223,llm,30,0.01,ai_robust_0.5,0.2866666666666667,0.0,1218.565,0.09774142980641397
dl212223,llm,30,0.01,ai_robust_0.3,0.28,0.0,1217.1233333333332,0.0978410582062429
dl212223,llm,30,0.02,weighted_cv,0.39,0.0,1223.29,0.10187943095194744
dl212223,llm,30,0.02,ai_calib,0.22333333333333333,0.0,1222.12,0.15630871126755178
dl212223,llm,30,0.02,ai_resid,0.4166666666666667,0.0,1221.78,0.0955761169105478
dl212223,llm,30,0.02,ai_robust_0.5,0.44,0.0,1221.3733333333332,0.09700650494634544
dl212223,llm,30,0.02,ai_robust_0.3,0.4533333333333333,0.0,1221.5833333333333,0.09503474299413162
dl212223,llm,45,0.01,weighted_cv,0.66,0.0,1818.3816666666667,0.06989184951578965
dl212223,llm,45,0.01,ai_calib,0.5166666666666667,0.0,1817.2966666666666,0.10326215405918256
dl212223,llm,45,0.01,ai_resid,0.6966666666666667,0.0,1817.1216666666667,0.06839626029467008
dl212223,llm,45,0.01,ai_robust_0.5,0.6466666666666666,0.0,1819.1333333333334,0.06788535020145195
dl212223,llm,45,0.01,ai_robust_0.3,0.7033333333333334,0.0,1818.165,0.06796471559767199
dl212223,llm,45,0.02,weighted_cv,0.8266666666666667,0.0,1832.5566666666666,0.07239756644066704
dl212223,llm,45,0.02,ai_calib,0.7,0.0,1831.54,0.10567352028648314
dl212223,llm,45,0.02,ai_resid,0.8066666666666666,0.0,1832.3283333333334,0.06915051836327926
dl212223,llm,45,0.02,ai_robust_0.5,0.8,0.0,1832.2483333333332,0.06984737927061867
dl212223,llm,45,0.02,ai_robust_0.3,0.8266666666666667,0.0,1833.1616666666666,0.06922667112360398
dl212223,llm,60,0.01,weighted_cv,0.7766666666666666,0.0,2410.795,0.048512749420985504
dl212223,llm,60,0.01,ai_calib,0.7666666666666667,0.0,2412.201666666667,0.06376699302065454
dl212223,llm,60,0.01,ai_resid,0.7866666666666666,0.0,2414.9483333333333,0.047169035652555084
dl212223,llm,60,0.01,ai_robust_0.5,0.8,0.0,2412.1316666666667,0.0475552366403984
dl212223,llm,60,0.01,ai_robust_0.3,0.8033333333333333,0.0,2409.4683333333332,0.04722316351928195
dl212223,llm,60,0.02,weighted_cv,0.87,0.0,2431.2833333333333,0.049223658477014
dl212223,llm,60,0.02,ai_calib,0.8433333333333334,0.0,2432.7966666666666,0.06419273287314285
dl212223,llm,60,0.02,ai_resid,0.8533333333333334,0.0,2432.675,0.04684059883679828
dl212223,llm,60,0.02,ai_robust_0.5,0.8666666666666667,0.0,2432.385,0.04699412635464712
dl212223,llm,60,0.02,ai_robust_0.3,0.8633333333333333,0.0,2430.755,0.047259620029903825
dl212223,llm,75,0.01,weighted_cv,0.82,0.0,3046.245,0.03779483502890175
dl212223,llm,75,0.01,ai_calib,0.7933333333333333,0.0,3043.5033333333336,0.04523646078153669
dl212223,llm,75,0.01,ai_resid,0.81,0.0,3044.99,0.03625249968637881
dl212223,llm,75,0.01,ai_robust_0.5,0.82,0.0,3044.495,0.03662166048348193
dl212223,llm,75,0.01,ai_robust_0.3,0.82,0.0,3045.0033333333336,0.03598194712141209
dl212223,llm,75,0.02,weighted_cv,0.8533333333333334,0.0,2983.818333333333,0.037274216818633604
dl212223,llm,75,0.02,ai_calib,0.8433333333333334,0.0,2984.42,0.04489344316722512
dl212223,llm,75,0.02,ai_resid,0.86,0.0,2986.298333333333,0.03624998544914344
dl212223,llm,75,0.02,ai_robust_0.5,0.8533333333333334,0.0,2985.85,0.03630989163610844
dl212223,llm,75,0.02,ai_robust_0.3,0.8566666666666667,0.0,2983.39,0.03595731262459882
dl212223,llm,90,0.01,weighted_cv,0.8833333333333333,0.0,3575.39,0.03234664029312801
dl212223,llm,90,0.01,ai_calib,0.8733333333333333,0.0,3575.035,0.0368929826794324
dl212223,llm,90,0.01,ai_resid,0.88,0.0,3574.835,0.031403424602964615
dl212223,llm,90,0.01,ai_robust_0.5,0.8766666666666667,0.0,3579.265,0.03176883973994432
dl212223,llm,90,0.01,ai_robust_0.3,0.88,0.0,3577.7316666666666,0.03147926601805011
dl212223,llm,90,0.02,weighted_cv,0.83,0.0,3615.47,0.03187949068254262
dl212223,llm,90,0.02,ai_calib,0.83,0.0,3613.41,0.03587912673896996
dl212223,llm,90,0.02,ai_resid,0.83,0.0,3613.23,0.030817201436838897
dl212223,llm,90,0.02,ai_robust_0.5,0.83,0.0,3613.11,0.031170642396404727
dl212223,llm,90,0.02,ai_robust_0.3,0.8266666666666667,0.0,3613.4,0.030674912553835688
