collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,docs_pilot,dup_frac,var_est,sampling,pilot_cost,cv_pred,bound
dl212223,llm,90,0.01,weighted_cv,0.8933333333333333,0.0,5044.64,1387.2533333333333,0.0,0.03276907327669543,shared,full,binary,t
dl212223,llm,90,0.01,ai_calib,0.8966666666666666,0.0,5041.74,1387.2533333333333,0.0,0.035727053063850225,shared,full,binary,t
dl212223,llm,90,0.01,ai_resid,0.8833333333333333,0.0,5045.823333333334,1387.2533333333333,0.0,0.03340017357903562,shared,full,binary,t
dl212223,llm,90,0.01,ai_robust_0.5,0.89,0.0,5042.833333333333,1387.2533333333333,0.0,0.03236588349818281,shared,full,binary,t
dl212223,llm,90,0.01,ai_robust_0.3,0.8933333333333333,0.0,5043.72,1387.2533333333333,0.0,0.032167954162445195,shared,full,binary,t
dl212223,llm,90,0.02,weighted_cv,0.8833333333333333,0.0,5047.52,1388.18,0.0,0.03285399471902468,shared,full,binary,t
dl212223,llm,90,0.02,ai_calib,0.8833333333333333,0.0,5043.4366666666665,1388.18,0.0,0.0354167764404186,shared,full,binary,t
dl212223,llm,90,0.02,ai_resid,0.8866666666666667,0.0,5047.743333333333,1388.18,0.0,0.03330102026715493,shared,full,binary,t
dl212223,llm,90,0.02,ai_robust_0.5,0.8866666666666667,0.0,5043.923333333333,1388.18,0.0,0.03206940316755162,shared,full,binary,t
dl212223,llm,90,0.02,ai_robust_0.3,0.8866666666666667,0.0,5048.46,1388.18,0.0,0.032106036160253835,shared,full,binary,t
