collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,var_est
dbpedia-entity,llm,30,0.01,weighted_cv,0.07666666666666666,0.0,865.3083333333333,0.05424996513477651
dbpedia-entity,llm,30,0.01,ai_calib,0.06333333333333334,0.0,864.42,0.07852007302428032
dbpedia-entity,llm,30,0.01,ai_resid,0.1,0.0,864.8333333333334,0.05479662730883059
dbpedia-entity,llm,30,0.01,ai_robust_0.5,0.08,0.0,864.455,0.054237155627993396
dbpedia-entity,llm,30,0.01,ai_robust_0.3,0.06,0.0,864.59,0.05386785972386171
dbpedia-entity,llm,30,0.02,weighted_cv,0.15666666666666668,0.0,870.4516666666667,0.05463870574920441
dbpedia-entity,llm,30,0.02,ai_calib,0.06666666666666667,0.0,869.735,0.08048276327145491
dbpedia-entity,llm,30,0.02,ai_resid,0.15,0.0,869.5583333333333,0.05559393803278339
dbpedia-entity,llm,30,0.02,ai_robust_0.5,0.15,0.0,869.7616666666667,0.054565233539937336
dbpedia-entity,llm,30,0.02,ai_robust_0.3,0.17333333333333334,0.0,869.905,0.055103517259971965
dbpedia-entity,llm,45,0.01,weighted_cv,0.23333333333333334,0.0,1275.355,0.0532241564428887
dbpedia-entity,llm,45,0.01,ai_calib,0.17333333333333334,0.0,1273.8483333333334,0.07846659863506268
dbpedia-entity,llm,45,0.01,ai_resid,0.22333333333333333,0.0,1273.16,0.05442163878471753
dbpedia-entity,llm,45,0.01,ai_robust_0.5,0.22333333333333333,0.0,1273.9983333333332,0.053253795793333794
dbpedia-entity,llm,45,0.01,ai_robust_0.3,0.22666666666666666,0.0,1275.0216666666668,0.05290355793770913
dbpedia-entity,llm,45,0.02,weighted_cv,0.36666666666666664,0.0,1272.2083333333333,0.05353876068099696
dbpedia-entity,llm,45,0.02,ai_calib,0.27666666666666667,0.0,1270.2266666666667,0.07914623058653492
dbpedia-entity,llm,45,0.02,ai_resid,0.36666666666666664,0.0,1271.7133333333334,0.05331299323357241
dbpedia-entity,llm,45,0.02,ai_robust_0.5,0.38666666666666666,0.0,1270.4966666666667,0.05364373674109366
dbpedia-entity,llm,45,0.02,ai_robust_0.3,0.36666666666666664,0.0,1271.7616666666668,0.0534933131401584
dbpedia-entity,llm,60,0.01,weighted_cv,0.2966666666666667,0.0,1699.5966666666666,0.05292027947704597
dbpedia-entity,llm,60,0.01,ai_calib,0.25,0.0,1696.7916666666667,0.07840083281906152
dbpedia-entity,llm,60,0.01,ai_resid,0.2966666666666667,0.0,1697.495,0.053773977337735916
dbpedia-entity,llm,60,0.01,ai_robust_0.5,0.30666666666666664,0.0,1698.3016666666667,0.052975462066506815
dbpedia-entity,llm,60,0.01,ai_robust_0.3,0.35333333333333333,0.0,1698.2233333333334,0.053714054520511215
dbpedia-entity,llm,60,0.02,weighted_cv,0.57,0.0,1709.7866666666666,0.05361107576778854
dbpedia-entity,llm,60,0.02,ai_calib,0.4266666666666667,0.0,1708.4,0.0795702084648754
dbpedia-entity,llm,60,0.02,ai_resid,0.5433333333333333,0.0,1709.0566666666666,0.05359885351799468
dbpedia-entity,llm,60,0.02,ai_robust_0.5,0.5666666666666667,0.0,1710.3733333333332,0.05330241450857464
dbpedia-entity,llm,60,0.02,ai_robust_0.3,0.5666666666666667,0.0,1709.9066666666668,0.05406112710078825
dbpedia-entity,llm,75,0.01,weighted_cv,0.43,0.0,2156.0183333333334,0.046157334371985013
dbpedia-entity,llm,75,0.01,ai_calib,0.32666666666666666,0.0,2155.16,0.06625852450573558
dbpedia-entity,llm,75,0.01,ai_resid,0.45,0.0,2153.8166666666666,0.04630976818900046
dbpedia-entity,llm,75,0.01,ai_robust_0.5,0.4266666666666667,0.0,2155.32,0.04617177874297835
dbpedia-entity,llm,75,0.01,ai_robust_0.3,0.4166666666666667,0.0,2152.835,0.04598246435592702
dbpedia-entity,llm,75,0.02,weighted_cv,0.6333333333333333,0.0,2156.715,0.04608647064925812
dbpedia-entity,llm,75,0.02,ai_calib,0.53,0.0,2152.653333333333,0.0657349930690248
dbpedia-entity,llm,75,0.02,ai_resid,0.5866666666666667,0.0,2153.655,0.046127503277331054
dbpedia-entity,llm,75,0.02,ai_robust_0.5,0.6133333333333333,0.0,2158.1483333333335,0.04589746449027384
dbpedia-entity,llm,75,0.02,ai_robust_0.3,0.6433333333333333,0.0,2156.5783333333334,0.0458246619022631
dbpedia-entity,llm,90,0.01,weighted_cv,0.48,0.0,2578.165,0.04019973605849454
dbpedia-entity,llm,90,0.01,ai_calib,0.4166666666666667,0.0,2578.9816666666666,0.05608849466915293
dbpedia-entity,llm,90,0.01,ai_resid,0.4866666666666667,0.0,2577.721666666667,0.04052107416103454
dbpedia-entity,llm,90,0.01,ai_robust_0.5,0.4633333333333333,0.0,2578.9966666666664,0.040216472308594944
dbpedia-entity,llm,90,0.01,ai_robust_0.3,0.4666666666666667,0.0,2577.536666666667,0.04032436381593502
dbpedia-entity,llm,90,0.02,weighted_cv,0.69,0.0,2572.105,0.03857663892070128
dbpedia-entity,llm,90,0.02,ai_calib,0.6133333333333333,0.0,2572.775,0.05432502707122712
dbpedia-entity,llm,90,0.02,ai_resid,0.7066666666666667,0.0,2572.108333333333,0.03892764489282718
dbpedia-entity,llm,90,0.02,ai_robust_0.5,0.6933333333333334,0.0,2570.9983333333334,0.03847951759914247
dbpedia-entity,llm,90,0.02,ai_robust_0.3,0.6966666666666667,0.0,2573.346666666667,0.03895673854767229
