collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,var_est
dbpedia-entity,rr,30,0.01,weighted_cv,0.056666666666666664,0.0,865.3083333333333,0.06547988082154634
dbpedia-entity,rr,30,0.01,ai_calib,0.03333333333333333,0.0,863.8466666666667,0.08209900138905583
dbpedia-entity,rr,30,0.01,ai_resid,0.06,0.0,864.69,0.062300033910465895
dbpedia-entity,rr,30,0.01,ai_robust_0.5,0.043333333333333335,0.0,864.325,0.06225316530186576
dbpedia-entity,rr,30,0.01,ai_robust_0.3,0.03666666666666667,0.0,864.835,0.06268954940437073
dbpedia-entity,rr,30,0.02,weighted_cv,0.11,0.0,870.4516666666667,0.06493054504759432
dbpedia-entity,rr,30,0.02,ai_calib,0.12,0.0,869.44,0.08224917083197045
dbpedia-entity,rr,30,0.02,ai_resid,0.13,0.0,868.7483333333333,0.06224292650805061
dbpedia-entity,rr,30,0.02,ai_robust_0.5,0.14,0.0,869.5233333333333,0.06355789250286549
dbpedia-entity,rr,30,0.02,ai_robust_0.3,0.17,0.0,869.9466666666667,0.06317711902586971
dbpedia-entity,rr,45,0.01,weighted_cv,0.2,0.0,1275.355,0.06282961162468219
dbpedia-entity,rr,45,0.01,ai_calib,0.16666666666666666,0.0033333333333333335,1273.445,0.08193397895444827
dbpedia-entity,rr,45,0.01,ai_resid,0.24,0.0,1273.825,0.06156021548786896
dbpedia-entity,rr,45,0.01,ai_robust_0.5,0.19333333333333333,0.0,1274.32,0.061621178373612605
dbpedia-entity,rr,45,0.01,ai_robust_0.3,0.22,0.0,1274.5266666666666,0.061529225296615205
dbpedia-entity,rr,45,0.02,weighted_cv,0.2866666666666667,0.0,1272.2083333333333,0.06366225631530273
dbpedia-entity,rr,45,0.02,ai_calib,0.26666666666666666,0.0,1270.75,0.08342038291143138
dbpedia-entity,rr,45,0.02,ai_resid,0.3433333333333333,0.0,1271.2883333333334,0.061285692905034814
dbpedia-entity,rr,45,0.02,ai_robust_0.5,0.33,0.0,1270.565,0.06283959637479593
dbpedia-entity,rr,45,0.02,ai_robust_0.3,0.31,0.0,1271.935,0.06113927148049087
dbpedia-entity,rr,60,0.01,weighted_cv,0.2966666666666667,0.0,1699.5966666666666,0.06325819426723224
dbpedia-entity,rr,60,0.01,ai_calib,0.22,0.0,1697.5833333333333,0.08209630707003814
dbpedia-entity,rr,60,0.01,ai_resid,0.25,0.0,1697.6433333333334,0.06194937688403826
dbpedia-entity,rr,60,0.01,ai_robust_0.5,0.30333333333333334,0.0,1698.5433333333333,0.061711163165509494
dbpedia-entity,rr,60,0.01,ai_robust_0.3,0.29,0.0,1697.545,0.061372022472656766
dbpedia-entity,rr,60,0.02,weighted_cv,0.52,0.0,1709.7866666666666,0.06414034142434233
dbpedia-entity,rr,60,0.02,ai_calib,0.4,0.0,1711.85,0.0820645507258045
dbpedia-entity,rr,60,0.02,ai_resid,0.5,0.0,1708.27,0.062112813772293336
dbpedia-entity,rr,60,0.02,ai_robust_0.5,0.5433333333333333,0.0,1710.7,0.06272011076770193
dbpedia-entity,rr,60,0.02,ai_robust_0.3,0.54,0.0,1709.8883333333333,0.061776943827758994
dbpedia-entity,rr,75,0.01,weighted_cv,0.36666666666666664,0.0,2156.0183333333334,0.05430097594223784
dbpedia-entity,rr,75,0.01,ai_calib,0.32666666666666666,0.0,2154.6116666666667,0.06919667569637866
dbpedia-entity,rr,75,0.01,ai_resid,0.39666666666666667,0.0,2153.85,0.052866750995747204
dbpedia-entity,rr,75,0.01,ai_robust_0.5,0.4033333333333333,0.0,2155.483333333333,0.05279952412547442
dbpedia-entity,rr,75,0.01,ai_robust_0.3,0.38,0.0,2153.5783333333334,0.05249248384043645
dbpedia-entity,rr,75,0.02,weighted_cv,0.58,0.0,2156.715,0.054584111485198976
dbpedia-entity,rr,75,0.02,ai_calib,0.5266666666666666,0.0,2151.4333333333334,0.06844470781980562
dbpedia-entity,rr,75,0.02,ai_resid,0.5766666666666667,0.0,2153.5266666666666,0.05229078620528695
dbpedia-entity,rr,75,0.02,ai_robust_0.5,0.62,0.0,2158.213333333333,0.05257716840433205
dbpedia-entity,rr,75,0.02,ai_robust_0.3,0.58,0.0,2156.575,0.05243235891861296
dbpedia-entity,rr,90,0.01,weighted_cv,0.43333333333333335,0.0,2578.165,0.04703051549372298
dbpedia-entity,rr,90,0.01,ai_calib,0.3933333333333333,0.0,2577.608333333333,0.059670891565103856
dbpedia-entity,rr,90,0.01,ai_resid,0.45,0.0,2577.366666666667,0.045351952859727526
dbpedia-entity,rr,90,0.01,ai_robust_0.5,0.44,0.0,2578.995,0.04559277202298951
dbpedia-entity,rr,90,0.01,ai_robust_0.3,0.44666666666666666,0.0,2577.835,0.04533464951488984
dbpedia-entity,rr,90,0.02,weighted_cv,0.6266666666666667,0.0,2572.105,0.04505236840798346
dbpedia-entity,rr,90,0.02,ai_calib,0.6033333333333334,0.0,2571.4383333333335,0.0572426252988103
dbpedia-entity,rr,90,0.02,ai_resid,0.6533333333333333,0.0,2571.036666666667,0.04364547539613485
dbpedia-entity,rr,90,0.02,ai_robust_0.5,0.64,0.0,2570.3216666666667,0.0440702047895365
dbpedia-entity,rr,90,0.02,ai_robust_0.3,0.6633333333333333,0.0,2573.6133333333332,0.04378419522256692
