collection,judge,budget_full_eq,eps,method,act,wrong,lin_bias,lin_bias_abs,docs
dbpedia-entity,rr,30,0.01,human_full,0.023333333333333334,0.0,-0.013385610483785646,0.022726727206195823,1542.7067669172932
dbpedia-entity,rr,30,0.01,weighted_plugin,0.47333333333333333,0.0,-0.013385610483785646,0.022726727206195823,1542.7067669172932
dbpedia-entity,rr,30,0.01,judge_ppi,0.05333333333333334,0.0,-0.013385610483785646,0.022726727206195823,1542.7067669172932
dbpedia-entity,rr,30,0.01,weighted_lin_cv,0.2733333333333333,0.0,-0.013385610483785646,0.022726727206195823,1542.7067669172932
dbpedia-entity,rr,30,0.01,weighted_lin_cv_bc,0.12333333333333334,0.0,-0.013385610483785646,0.022726727206195823,1542.7067669172932
dbpedia-entity,rr,30,0.02,human_full,0.05333333333333334,0.0,-0.013270573267041305,0.023439289298948403,1542.7067669172932
dbpedia-entity,rr,30,0.02,weighted_plugin,0.6066666666666667,0.0,-0.013270573267041305,0.023439289298948403,1542.7067669172932
dbpedia-entity,rr,30,0.02,judge_ppi,0.07333333333333333,0.0,-0.013270573267041305,0.023439289298948403,1542.7067669172932
dbpedia-entity,rr,30,0.02,weighted_lin_cv,0.48,0.0,-0.013270573267041305,0.023439289298948403,1542.7067669172932
dbpedia-entity,rr,30,0.02,weighted_lin_cv_bc,0.20333333333333334,0.0,-0.013270573267041305,0.023439289298948403,1542.7067669172932
dbpedia-entity,rr,60,0.01,human_full,0.23333333333333334,0.0,-0.01003553873900887,0.01639565623117647,3085.4135338345864
dbpedia-entity,rr,60,0.01,weighted_plugin,0.7833333333333333,0.0,-0.01003553873900887,0.01639565623117647,3085.4135338345864
dbpedia-entity,rr,60,0.01,judge_ppi,0.2733333333333333,0.0,-0.01003553873900887,0.01639565623117647,3085.4135338345864
dbpedia-entity,rr,60,0.01,weighted_lin_cv,0.78,0.0,-0.01003553873900887,0.01639565623117647,3085.4135338345864
dbpedia-entity,rr,60,0.01,weighted_lin_cv_bc,0.41333333333333333,0.0,-0.01003553873900887,0.01639565623117647,3085.4135338345864
dbpedia-entity,rr,60,0.02,human_full,0.3933333333333333,0.0,-0.012008074614677235,0.01591660004852499,3085.4135338345864
dbpedia-entity,rr,60,0.02,weighted_plugin,0.8266666666666667,0.0,-0.012008074614677235,0.01591660004852499,3085.4135338345864
dbpedia-entity,rr,60,0.02,judge_ppi,0.44333333333333336,0.0,-0.012008074614677235,0.01591660004852499,3085.4135338345864
dbpedia-entity,rr,60,0.02,weighted_lin_cv,0.82,0.0,-0.012008074614677235,0.01591660004852499,3085.4135338345864
dbpedia-entity,rr,60,0.02,weighted_lin_cv_bc,0.5466666666666666,0.0,-0.012008074614677235,0.01591660004852499,3085.4135338345864
dbpedia-entity,rr,90,0.01,human_full,0.4666666666666667,0.0,-0.01005807238273987,0.015670542302215762,4628.12030075188
dbpedia-entity,rr,90,0.01,weighted_plugin,0.7633333333333333,0.0,-0.01005807238273987,0.015670542302215762,4628.12030075188
dbpedia-entity,rr,90,0.01,judge_ppi,0.44333333333333336,0.0,-0.01005807238273987,0.015670542302215762,4628.12030075188
dbpedia-entity,rr,90,0.01,weighted_lin_cv,0.7633333333333333,0.0,-0.01005807238273987,0.015670542302215762,4628.12030075188
dbpedia-entity,rr,90,0.01,weighted_lin_cv_bc,0.4533333333333333,0.0,-0.01005807238273987,0.015670542302215762,4628.12030075188
dbpedia-entity,rr,90,0.02,human_full,0.67,0.0,-0.01314244700110815,0.01608225524681045,4628.12030075188
dbpedia-entity,rr,90,0.02,weighted_plugin,0.8733333333333333,0.0,-0.01314244700110815,0.01608225524681045,4628.12030075188
dbpedia-entity,rr,90,0.02,judge_ppi,0.67,0.0,-0.01314244700110815,0.01608225524681045,4628.12030075188
dbpedia-entity,rr,90,0.02,weighted_lin_cv,0.8733333333333333,0.0,-0.01314244700110815,0.01608225524681045,4628.12030075188
dbpedia-entity,rr,90,0.02,weighted_lin_cv_bc,0.6733333333333333,0.0,-0.01314244700110815,0.01608225524681045,4628.12030075188
dbpedia-entity,rr,120,0.01,human_full,0.67,0.0,-0.011249906776246836,0.01471734177724441,6170.827067669173
dbpedia-entity,rr,120,0.01,weighted_plugin,0.81,0.0,-0.011249906776246836,0.01471734177724441,6170.827067669173
dbpedia-entity,rr,120,0.01,judge_ppi,0.6533333333333333,0.0,-0.011249906776246836,0.01471734177724441,6170.827067669173
dbpedia-entity,rr,120,0.01,weighted_lin_cv,0.82,0.0,-0.011249906776246836,0.01471734177724441,6170.827067669173
dbpedia-entity,rr,120,0.01,weighted_lin_cv_bc,0.51,0.0,-0.011249906776246836,0.01471734177724441,6170.827067669173
dbpedia-entity,rr,120,0.02,human_full,0.81,0.0,-0.01245338007688987,0.015178678651048593,6170.827067669173
dbpedia-entity,rr,120,0.02,weighted_plugin,0.85,0.0,-0.01245338007688987,0.015178678651048593,6170.827067669173
dbpedia-entity,rr,120,0.02,judge_ppi,0.8066666666666666,0.0,-0.01245338007688987,0.015178678651048593,6170.827067669173
dbpedia-entity,rr,120,0.02,weighted_lin_cv,0.8533333333333334,0.0,-0.01245338007688987,0.015178678651048593,6170.827067669173
dbpedia-entity,rr,120,0.02,weighted_lin_cv_bc,0.6266666666666667,0.0,-0.01245338007688987,0.015178678651048593,6170.827067669173
