collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
cast19,llm,30,0.01,static_sum,0.0033333333333333335,0.0,1975.3633333333332,974.6466666666666,1000.7166666666666,0.0,82322.65518604797,0.5990136063088576,full,t,False
cast19,llm,30,0.01,per_pair,0.0033333333333333335,0.0,1947.3266666666666,974.6466666666666,972.68,0.0,,0.5990136063088576,full,t,False
cast19,llm,30,0.01,adaptive,0.006666666666666667,0.0,1976.82,974.6466666666666,1002.1733333333333,0.0,79969.92678338967,0.5990136063088576,full,t,False
cast19,llm,30,0.01,oracle,0.02,0.0,1975.0833333333333,974.6466666666666,1000.4366666666666,0.0,68797.90417370759,0.5990136063088576,full,t,False
cast19,llm,30,0.01,static_sum_v,0.01,0.0,1975.4933333333333,974.6466666666666,1000.8466666666667,0.0,77332.15422509082,0.5990136063088576,full,t,False
cast19,llm,30,0.01,oracle_exact,0.01,0.0,1976.17,974.6466666666666,1001.5233333333334,0.0,43366.367394321365,0.5990136063088576,full,t,False
cast19,llm,30,0.01,plugin_exact,0.01,0.0,1975.49,974.6466666666666,1000.8433333333334,0.0,1402225.2603271592,0.5990136063088576,full,t,False
cast19,llm,30,0.02,static_sum,0.02666666666666667,0.0,1976.6666666666667,975.8566666666667,1000.8100000000001,0.0,41529.439983900586,0.6045792972363208,full,t,False
cast19,llm,30,0.02,per_pair,0.0,0.0,1946.5433333333333,975.8566666666667,970.6866666666666,0.0,,0.6045792972363208,full,t,False
cast19,llm,30,0.02,adaptive,0.04,0.0,1974.76,975.8566666666667,998.9033333333333,0.0,40328.23650233419,0.6045792972363208,full,t,False
cast19,llm,30,0.02,oracle,0.02666666666666667,0.0,1976.32,975.8566666666667,1000.4633333333333,0.0,35647.58852874376,0.6045792972363208,full,t,False
cast19,llm,30,0.02,static_sum_v,0.02,0.0,1977.5433333333333,975.8566666666667,1001.6866666666666,0.0,39045.512159176455,0.6045792972363208,full,t,False
cast19,llm,30,0.02,oracle_exact,0.03666666666666667,0.0,1974.76,975.8566666666667,998.9033333333333,0.0,23940.451150516958,0.6045792972363208,full,t,False
cast19,llm,30,0.02,plugin_exact,0.03,0.0,1975.7566666666667,975.8566666666667,999.9,0.0,201880.33529367717,0.6045792972363208,full,t,False
cast19,llm,45,0.01,static_sum,0.023333333333333334,0.0,2415.5033333333336,977.79,1437.7133333333336,0.0,52314.88653958135,0.6028396298099904,full,t,False
cast19,llm,45,0.01,per_pair,0.0033333333333333335,0.0,2365.1966666666667,977.79,1387.4066666666668,0.0,,0.6028396298099904,full,t,False
cast19,llm,45,0.01,adaptive,0.016666666666666666,0.0,2415.2633333333333,977.79,1437.4733333333334,0.0,50921.63303164835,0.6028396298099904,full,t,False
cast19,llm,45,0.01,oracle,0.01,0.0,2412.04,977.79,1434.25,0.0,43626.24586581131,0.6028396298099904,full,t,False
cast19,llm,45,0.01,static_sum_v,0.023333333333333334,0.0,2414.1433333333334,977.79,1436.3533333333335,0.0,49140.061940280815,0.6028396298099904,full,t,False
cast19,llm,45,0.01,oracle_exact,0.01,0.0,2413.0266666666666,977.79,1435.2366666666667,0.0,25828.385958788564,0.6028396298099904,full,t,False
cast19,llm,45,0.01,plugin_exact,0.023333333333333334,0.0,2416.0633333333335,977.79,1438.2733333333335,0.0,159692.99088042576,0.6028396298099904,full,t,False
cast19,llm,45,0.02,static_sum,0.05,0.0,2414.4366666666665,973.36,1441.0766666666664,0.0,26813.598002931467,0.5796245267586078,full,t,False
cast19,llm,45,0.02,per_pair,0.0,0.0,2366.3933333333334,973.36,1393.0333333333333,0.0,,0.5796245267586078,full,t,False
cast19,llm,45,0.02,adaptive,0.05,0.0,2413.6766666666667,973.36,1440.3166666666666,0.0,25820.35414046811,0.5796245267586078,full,t,False
