collection,judge,budget_full_eq,eps,method,act,wrong,feasible_frac,act_feasible,slack_q25,slack_med,slack_lt_half_eps,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
dl212223,llm,30,0.01,static_sum,0.7966666666666666,0.0,0.8733333333333333,0.9122137404580153,0.01,0.01,0.003816793893129771,3095.4933333333333,1386.5,1708.9933333333333,0.0,77733.35603604044,0.8290812015436563,full,t,False
dl212223,llm,30,0.01,per_pair,0.23666666666666666,0.0033333333333333335,0.8733333333333333,0.26717557251908397,0.01,0.01,0.003816793893129771,3077.8733333333334,1386.5,1691.3733333333334,0.0,,0.8290812015436563,full,t,False
dl212223,llm,30,0.01,adaptive,0.8266666666666667,0.0,0.8733333333333333,0.9465648854961832,0.01,0.01,0.003816793893129771,3095.4933333333333,1386.5,1708.9933333333333,0.0,70235.3877707076,0.8290812015436563,full,t,False
dl212223,llm,30,0.01,oracle,0.8466666666666667,0.0,0.8733333333333333,0.9694656488549618,0.01,0.01,0.003816793893129771,3091.1833333333334,1386.5,1704.6833333333334,0.0,51782.45184109222,0.8290812015436563,full,t,False
dl212223,llm,30,0.01,static_sum_v,0.8166666666666667,0.0,0.8733333333333333,0.9351145038167938,0.01,0.01,0.003816793893129771,3092.84,1386.5,1706.3400000000001,0.0,70488.81506273599,0.8290812015436563,full,t,False
dl212223,llm,30,0.01,oracle_exact,0.86,0.0,0.8733333333333333,0.9847328244274809,0.01,0.01,0.003816793893129771,3096.4966666666664,1386.5,1709.9966666666664,0.0,31719.256290449397,0.8290812015436563,full,t,False
dl212223,llm,30,0.01,plugin_exact,0.81,0.0,0.8733333333333333,0.9274809160305344,0.01,0.01,0.003816793893129771,3093.7433333333333,1386.5,1707.2433333333333,0.0,140710.23634028723,0.8290812015436563,full,t,False
dl212223,llm,30,0.02,static_sum,0.84,0.0,0.87,0.9655172413793104,0.02,0.02,0.019157088122605363,3097.3333333333335,1385.6533333333334,1711.68,0.0,85436.2657603638,0.8277720044330047,full,t,False
dl212223,llm,30,0.02,per_pair,0.45666666666666667,0.0,0.87,0.524904214559387,0.02,0.02,0.019157088122605363,3073.6366666666668,1385.6533333333334,1687.9833333333333,0.0,,0.8277720044330047,full,t,False
dl212223,llm,30,0.02,adaptive,0.85,0.0,0.87,0.9770114942528736,0.02,0.02,0.019157088122605363,3092.556666666667,1385.6533333333334,1706.9033333333334,0.0,73846.46540227489,0.8277720044330047,full,t,False
dl212223,llm,30,0.02,oracle,0.85,0.0,0.87,0.9770114942528736,0.02,0.02,0.019157088122605363,3097.616666666667,1385.6533333333334,1711.9633333333334,0.0,55310.54388662728,0.8277720044330047,full,t,False
dl212223,llm,30,0.02,static_sum_v,0.8433333333333334,0.0,0.87,0.9693486590038314,0.02,0.02,0.019157088122605363,3090.94,1385.6533333333334,1705.2866666666666,0.0,77510.10794142107,0.8277720044330047,full,t,False
dl212223,llm,30,0.02,oracle_exact,0.8533333333333334,0.0,0.87,0.9808429118773946,0.02,0.02,0.019157088122605363,3097.24,1385.6533333333334,1711.5866666666664,0.0,33269.36193259923,0.8277720044330047,full,t,False
dl212223,llm,30,0.02,plugin_exact,0.84,0.0,0.87,0.9655172413793104,0.02,0.02,0.019157088122605363,3096.1466666666665,1385.6533333333334,1710.493333333333,0.0,230028.64760227443,0.8277720044330047,full,t,False
