collection,judge,budget_full_eq,eps,method,act,wrong,feasible_frac,act_feasible,slack_q25,slack_med,slack_lt_half_eps,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
dbpedia-entity,llm,20,0.01,static_sum,0.32,0.0,0.8333333333333334,0.384,0.01,0.01,0.044,1788.8733333333332,1030.1566666666668,758.7166666666665,0.0,1088108.9844039911,0.5480654966204563,full,t,False
dbpedia-entity,llm,20,0.01,static_sum_v,0.3233333333333333,0.0,0.8333333333333334,0.388,0.01,0.01,0.044,1790.2966666666666,1030.1566666666668,760.1399999999999,0.0,1079852.787346657,0.5480654966204563,full,t,False
dbpedia-entity,llm,20,0.01,oracle_exact,0.34,0.0,0.8333333333333334,0.408,0.01,0.01,0.044,1784.6233333333332,1030.1566666666668,754.4666666666665,0.0,737392.5363718171,0.5480654966204563,full,t,False
dbpedia-entity,llm,20,0.01,plugin_exact,0.31666666666666665,0.0,0.8333333333333334,0.38,0.01,0.01,0.044,1789.7933333333333,1030.1566666666668,759.6366666666665,0.0,13351067.850735817,0.5480654966204563,full,t,False
dbpedia-entity,llm,20,0.02,static_sum,0.37666666666666665,0.0,0.9033333333333333,0.41697416974169743,0.02,0.02,0.06273062730627306,1784.5633333333333,1027.9933333333333,756.5699999999999,0.0,622924.0903178048,0.5511956710789883,full,t,False
dbpedia-entity,llm,20,0.02,static_sum_v,0.43666666666666665,0.0,0.9033333333333333,0.4833948339483395,0.02,0.02,0.06273062730627306,1785.35,1027.9933333333333,757.3566666666666,0.0,616003.6772969357,0.5511956710789883,full,t,False
dbpedia-entity,llm,20,0.02,oracle_exact,0.4066666666666667,0.0,0.9033333333333333,0.45018450184501846,0.02,0.02,0.06273062730627306,1782.1666666666667,1027.9933333333333,754.1733333333334,0.0,421934.51456274954,0.5511956710789883,full,t,False
dbpedia-entity,llm,20,0.02,plugin_exact,0.37,0.0,0.9033333333333333,0.4095940959409594,0.02,0.02,0.06273062730627306,1784.28,1027.9933333333333,756.2866666666666,0.0,5044950.880835817,0.5511956710789883,full,t,False
dbpedia-entity,llm,30,0.01,static_sum,0.4,0.0,0.8666666666666667,0.46153846153846156,0.01,0.01,0.046153846153846156,2119.3766666666666,1023.3766666666667,1096.0,0.0,620823.1135915236,0.5445668531930428,full,t,False
dbpedia-entity,llm,30,0.01,static_sum_v,0.4266666666666667,0.0,0.8666666666666667,0.49230769230769234,0.01,0.01,0.046153846153846156,2119.74,1023.3766666666667,1096.3633333333332,0.0,615036.4853878657,0.5445668531930428,full,t,False
dbpedia-entity,llm,30,0.01,oracle_exact,0.42,0.0,0.8666666666666667,0.4846153846153846,0.01,0.01,0.046153846153846156,2123.72,1023.3766666666667,1100.3433333333332,0.0,415211.96096038277,0.5445668531930428,full,t,False
dbpedia-entity,llm,30,0.01,plugin_exact,0.3933333333333333,0.0,0.8666666666666667,0.45384615384615384,0.01,0.01,0.046153846153846156,2122.7633333333333,1023.3766666666667,1099.3866666666668,0.0,2419535.778444272,0.5445668531930428,full,t,False
dbpedia-entity,llm,30,0.02,static_sum,0.4866666666666667,0.0,0.9166666666666666,0.5309090909090909,0.02,0.02,0.05818181818181818,2135.54,1033.7733333333333,1101.7666666666667,0.0,406733.47962681175,0.5442635395633789,full,t,False
dbpedia-entity,llm,30,0.02,static_sum_v,0.4666666666666667,0.0,0.9166666666666666,0.509090909090909,0.02,0.02,0.05818181818181818,2136.5633333333335,1033.7733333333333,1102.7900000000002,0.0,401677.9620556625,0.5442635395633789,full,t,False
dbpedia-entity,llm,30,0.02,oracle_exact,0.5066666666666667,0.0,0.9166666666666666,0.5527272727272727,0.02,0.02,0.05818181818181818,2134.39,1033.7733333333333,1100.6166666666666,0.0,268766.1113666722,0.5442635395633789,full,t,False
dbpedia-entity,llm,30,0.02,plugin_exact,0.47,0.0,0.9166666666666666,0.5127272727272727,0.02,0.02,0.05818181818181818,2137.1066666666666,1033.7733333333333,1103.3333333333333,0.0,1968968.7656204896,0.5442635395633789,full,t,False
dbpedia-entity,llm,45,0.01,static_sum,0.4533333333333333,0.0,0.8966666666666666,0.5055762081784386,0.01,0.01,0.06319702602230483,2676.0666666666666,1028.3366666666666,1647.73,0.0,291673.03166094533,0.5599612059162622,full,t,False
dbpedia-entity,llm,45,0.01,static_sum_v,0.4666666666666667,0.0,0.8966666666666666,0.5204460966542751,0.01,0.01,0.06319702602230483,2677.5133333333333,1028.3366666666666,1649.1766666666667,0.0,289674.4234951873,0.5599612059162622,full,t,False
dbpedia-entity,llm,45,0.01,oracle_exact,0.44666666666666666,0.0,0.8966666666666666,0.49814126394052044,0.01,0.01,0.06319702602230483,2678.0233333333335,1028.3366666666666,1649.686666666667,0.0,180415.25374652876,0.5599612059162622,full,t,False
dbpedia-entity,llm,45,0.01,plugin_exact,0.43666666666666665,0.0,0.8966666666666666,0.48698884758364314,0.01,0.01,0.06319702602230483,2676.0033333333336,1028.3366666666666,1647.666666666667,0.0,860700.6193526775,0.5599612059162622,full,t,False
dbpedia-entity,llm,45,0.02,static_sum,0.5533333333333333,0.0,0.9266666666666666,0.5971223021582733,0.02,0.02,0.08273381294964029,2655.5,1024.6466666666668,1630.8533333333332,0.0,229569.27139020906,0.5652410310467466,full,t,False
dbpedia-entity,llm,45,0.02,static_sum_v,0.5233333333333333,0.0,0.9266666666666666,0.564748201438849,0.02,0.02,0.08273381294964029,2660.06,1024.6466666666668,1635.4133333333332,0.0,227413.95519825188,0.5652410310467466,full,t,False
dbpedia-entity,llm,45,0.02,oracle_exact,0.5466666666666666,0.0,0.9266666666666666,0.5899280575539568,0.02,0.02,0.08273381294964029,2658.0433333333335,1024.6466666666668,1633.3966666666668,0.0,143120.09944010223,0.5652410310467466,full,t,False
dbpedia-entity,llm,45,0.02,plugin_exact,0.53,0.0,0.9266666666666666,0.5719424460431655,0.02,0.02,0.08273381294964029,2655.06,1024.6466666666668,1630.4133333333332,0.0,946209.7154153328,0.5652410310467466,full,t,False
dbpedia-entity,llm,60,0.01,static_sum,0.48333333333333334,0.0,0.8633333333333333,0.5598455598455598,0.01,0.01,0.04247104247104247,3217.193333333333,1027.92,2189.273333333333,0.0,278369.47186980996,0.5746397441164243,full,t,False
dbpedia-entity,llm,60,0.01,static_sum_v,0.45666666666666667,0.0,0.8633333333333333,0.528957528957529,0.01,0.01,0.04247104247104247,3219.8366666666666,1027.92,2191.9166666666665,0.0,276824.0333319129,0.5746397441164243,full,t,False
dbpedia-entity,llm,60,0.01,oracle_exact,0.49,0.0,0.8633333333333333,0.5675675675675675,0.01,0.01,0.04247104247104247,3219.2266666666665,1027.92,2191.3066666666664,0.0,178625.73272304353,0.5746397441164243,full,t,False
dbpedia-entity,llm,60,0.01,plugin_exact,0.45666666666666667,0.0,0.8633333333333333,0.528957528957529,0.01,0.01,0.04247104247104247,3218.9866666666667,1027.92,2191.0666666666666,0.0,1175128.8561775468,0.5746397441164243,full,t,False
dbpedia-entity,llm,60,0.02,static_sum,0.6033333333333334,0.0,0.9333333333333333,0.6464285714285715,0.02,0.02,0.07857142857142857,3195.2833333333333,1028.79,2166.4933333333333,0.0,148099.3608193616,0.564053597061125,full,t,False
dbpedia-entity,llm,60,0.02,static_sum_v,0.5966666666666667,0.0,0.9333333333333333,0.6392857142857142,0.02,0.02,0.07857142857142857,3194.0733333333333,1028.79,2165.2833333333333,0.0,148255.45094929007,0.564053597061125,full,t,False
dbpedia-entity,llm,60,0.02,oracle_exact,0.5966666666666667,0.0,0.9333333333333333,0.6392857142857142,0.02,0.02,0.07857142857142857,3196.516666666667,1028.79,2167.726666666667,0.0,92109.52381196237,0.564053597061125,full,t,False
dbpedia-entity,llm,60,0.02,plugin_exact,0.6,0.0,0.9333333333333333,0.6428571428571429,0.02,0.02,0.07857142857142857,3198.0666666666666,1028.79,2169.2766666666666,0.0,323918.50323764456,0.564053597061125,full,t,False
dbpedia-entity,llm,90,0.01,static_sum,0.54,0.0,0.8766666666666667,0.6159695817490495,0.01,0.01,0.049429657794676805,4130.76,1030.21,3100.55,0.0,155058.44614249567,0.5505479583998186,full,t,False
dbpedia-entity,llm,90,0.01,static_sum_v,0.54,0.0,0.8766666666666667,0.6159695817490495,0.01,0.01,0.049429657794676805,4128.243333333333,1030.21,3098.033333333333,0.0,153006.10511725568,0.5505479583998186,full,t,False
dbpedia-entity,llm,90,0.01,oracle_exact,0.5433333333333333,0.0,0.8766666666666667,0.6197718631178707,0.01,0.01,0.049429657794676805,4128.44,1030.21,3098.2299999999996,0.0,89793.25110334757,0.5505479583998186,full,t,False
dbpedia-entity,llm,90,0.01,plugin_exact,0.5566666666666666,0.0,0.8766666666666667,0.6349809885931559,0.01,0.01,0.049429657794676805,4128.3966666666665,1030.21,3098.1866666666665,0.0,456044.2018679125,0.5505479583998186,full,t,False
dbpedia-entity,llm,90,0.02,static_sum,0.6333333333333333,0.0,0.9266666666666666,0.6834532374100719,0.02,0.02,0.09352517985611511,4116.486666666667,1030.7433333333333,3085.7433333333333,0.0,91848.32673975645,0.5568666341400411,full,t,False
dbpedia-entity,llm,90,0.02,static_sum_v,0.6233333333333333,0.0,0.9266666666666666,0.6726618705035972,0.02,0.02,0.09352517985611511,4116.693333333334,1030.7433333333333,3085.9500000000003,0.0,91123.37902117401,0.5568666341400411,full,t,False
dbpedia-entity,llm,90,0.02,oracle_exact,0.6566666666666666,0.0,0.9266666666666666,0.7086330935251799,0.02,0.02,0.09352517985611511,4114.266666666666,1030.7433333333333,3083.523333333333,0.0,52025.67043001397,0.5568666341400411,full,t,False
dbpedia-entity,llm,90,0.02,plugin_exact,0.6133333333333333,0.0,0.9266666666666666,0.6618705035971223,0.02,0.02,0.09352517985611511,4113.89,1030.7433333333333,3083.146666666667,0.0,322928.3162969307,0.5568666341400411,full,t,False
dbpedia-entity,llm,120,0.01,static_sum,0.5266666666666666,0.0,0.84,0.626984126984127,0.01,0.01,0.07539682539682539,5106.943333333334,1030.0966666666666,4076.8466666666673,0.0,133004.12996901045,0.5541490278835309,full,t,False
dbpedia-entity,llm,120,0.01,static_sum_v,0.5233333333333333,0.0,0.84,0.623015873015873,0.01,0.01,0.07539682539682539,5105.493333333333,1030.0966666666666,4075.3966666666665,0.0,131227.74919990878,0.5541490278835309,full,t,False
dbpedia-entity,llm,120,0.01,oracle_exact,0.51,0.0,0.84,0.6071428571428571,0.01,0.01,0.07539682539682539,5107.506666666667,1030.0966666666666,4077.4100000000008,0.0,68646.36020122873,0.5541490278835309,full,t,False
dbpedia-entity,llm,120,0.01,plugin_exact,0.52,0.0,0.84,0.6190476190476191,0.01,0.01,0.07539682539682539,5105.806666666666,1030.0966666666666,4075.71,0.0,264658.4300042483,0.5541490278835309,full,t,False
dbpedia-entity,llm,120,0.02,static_sum,0.6666666666666666,0.0,0.9233333333333333,0.7220216606498195,0.02,0.02,0.06859205776173286,5100.393333333333,1035.2,4065.1933333333336,0.0,64826.31209415367,0.5461288601004864,full,t,False
dbpedia-entity,llm,120,0.02,static_sum_v,0.6833333333333333,0.0,0.9233333333333333,0.740072202166065,0.02,0.02,0.06859205776173286,5105.8533333333335,1035.2,4070.6533333333336,0.0,63812.65926579144,0.5461288601004864,full,t,False
dbpedia-entity,llm,120,0.02,oracle_exact,0.6966666666666667,0.0,0.9233333333333333,0.7545126353790613,0.02,0.02,0.06859205776173286,5111.12,1035.2,4075.92,0.0,36454.01755311436,0.5461288601004864,full,t,False
dbpedia-entity,llm,120,0.02,plugin_exact,0.6866666666666666,0.0,0.9233333333333333,0.7436823104693141,0.02,0.02,0.06859205776173286,5109.843333333333,1035.2,4074.6433333333334,0.0,131937.42711283703,0.5461288601004864,full,t,False
