collection,judge,budget_full_eq,eps,method,act,wrong,feasible_frac,act_feasible,slack_q25,slack_med,slack_lt_half_eps,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
dbpedia-entity,llm,120,0.01,static_sum,0.6733333333333333,0.0033333333333333335,0.84,0.7976190476190477,0.01,0.01,0.03968253968253968,5140.826666666667,1029.1066666666666,4111.72,0.0,113698.4564008835,0.5537186740871155,full,t,False
dbpedia-entity,llm,120,0.01,per_pair,0.45,0.0,0.84,0.5357142857142857,0.01,0.01,0.03968253968253968,5048.1866666666665,1029.1066666666666,4019.08,0.0,,0.5537186740871155,full,t,False
dbpedia-entity,llm,120,0.01,adaptive,0.6666666666666666,0.0,0.84,0.7936507936507936,0.01,0.01,0.03968253968253968,5142.41,1029.1066666666666,4113.303333333333,0.0,103429.69272989151,0.5537186740871155,full,t,False
dbpedia-entity,llm,120,0.01,oracle,0.6966666666666667,0.0,0.84,0.8293650793650794,0.01,0.01,0.03968253968253968,5142.653333333334,1029.1066666666666,4113.546666666667,0.0,88477.03188951313,0.5537186740871155,full,t,False
dbpedia-entity,llm,120,0.01,static_sum_v,0.6833333333333333,0.0,0.84,0.8134920634920635,0.01,0.01,0.03968253968253968,5142.006666666667,1029.1066666666666,4112.900000000001,0.0,112306.79494385447,0.5537186740871155,full,t,False
dbpedia-entity,llm,120,0.01,oracle_exact,0.6966666666666667,0.0,0.84,0.8293650793650794,0.01,0.01,0.03968253968253968,5139.423333333333,1029.1066666666666,4110.316666666667,0.0,61993.54775790173,0.5537186740871155,full,t,False
dbpedia-entity,llm,120,0.01,plugin_exact,0.6666666666666666,0.0,0.84,0.7936507936507936,0.01,0.01,0.03968253968253968,5139.753333333333,1029.1066666666666,4110.6466666666665,0.0,288175.305930852,0.5537186740871155,full,t,False
dbpedia-entity,llm,120,0.02,static_sum,0.7533333333333333,0.0,0.9166666666666666,0.8218181818181818,0.02,0.02,0.09818181818181818,5157.496666666667,1031.4566666666667,4126.04,0.0,72177.47180551958,0.5609396715529491,full,t,False
dbpedia-entity,llm,120,0.02,per_pair,0.4866666666666667,0.0,0.9166666666666666,0.5309090909090909,0.02,0.02,0.09818181818181818,5056.36,1031.4566666666667,4024.9033333333327,0.0,,0.5609396715529491,full,t,False
dbpedia-entity,llm,120,0.02,adaptive,0.77,0.0,0.9166666666666666,0.84,0.02,0.02,0.09818181818181818,5162.496666666667,1031.4566666666667,4131.04,0.0,63607.82292308961,0.5609396715529491,full,t,False
dbpedia-entity,llm,120,0.02,oracle,0.8,0.0,0.9166666666666666,0.8727272727272727,0.02,0.02,0.09818181818181818,5161.3533333333335,1031.4566666666667,4129.8966666666665,0.0,52605.11534614664,0.5609396715529491,full,t,False
dbpedia-entity,llm,120,0.02,static_sum_v,0.74,0.0,0.9166666666666666,0.8072727272727273,0.02,0.02,0.09818181818181818,5156.653333333334,1031.4566666666667,4125.196666666667,0.0,71569.84427893205,0.5609396715529491,full,t,False
dbpedia-entity,llm,120,0.02,oracle_exact,0.79,0.0,0.9166666666666666,0.8618181818181818,0.02,0.02,0.09818181818181818,5158.873333333333,1031.4566666666667,4127.416666666666,0.0,37609.50963024419,0.5609396715529491,full,t,False
dbpedia-entity,llm,120,0.02,plugin_exact,0.7433333333333333,0.0,0.9166666666666666,0.8109090909090909,0.02,0.02,0.09818181818181818,5161.263333333333,1031.4566666666667,4129.806666666666,0.0,90042.454413871,0.5609396715529491,full,t,False
