collection,method,act_rate,mean_T,wrong_cert_rate
cast19,loo_boot,0.8633333333333333,48.6,0.06
cast19,loo_sim,0.73,55.53333333333333,0.04666666666666667
cast19,recal_bp,0.013333333333333334,69.93333333333334,0.0
cast19,recal_bpu,0.0,70.0,0.0
cast19,recal_bpx,0.01,70.0,0.0
cast19,recal_bpxu,0.0,70.0,0.0
cast19,recal_ep,0.04666666666666667,69.26666666666667,0.0033333333333333335
cast19,split_auto,0.17333333333333334,68.8,0.0033333333333333335
cast19,split_fp,0.0,70.0,0.0
cast19,split_fp_ppi,0.0,70.0,0.0
cast19,split_ppi,0.22333333333333333,67.46666666666667,0.0
cast19,split_t,0.13666666666666666,68.8,0.0033333333333333335
