collection,method,act_rate,mean_T,wrong_cert_rate
dbpedia-entity,loo_boot,0.982,79.54,0.116
dbpedia-entity,loo_sim,0.938,100.64,0.094
dbpedia-entity,recal_bp,0.048,186.8,0.014
dbpedia-entity,recal_bpu,0.0,190.0,0.0
dbpedia-entity,recal_bpx,0.032,188.1,0.006
dbpedia-entity,recal_bpxu,0.0,190.0,0.0
dbpedia-entity,recal_ep,0.134,174.6,0.064
dbpedia-entity,split_auto,0.434,168.0,0.002
dbpedia-entity,split_ppi,0.444,164.34,0.0
dbpedia-entity,split_t,0.316,175.54,0.002
trec-covid,loo_boot,0.686,10.0,0.01
trec-covid,loo_sim,0.626,10.0,0.006
trec-covid,recal_bp,0.068,10.0,0.004
trec-covid,recal_bpu,0.0,10.0,0.0
trec-covid,recal_bpx,0.012,10.0,0.0
trec-covid,recal_bpxu,0.0,10.0,0.0
trec-covid,recal_ep,0.086,10.0,0.012
trec-covid,split_auto,0.052,10.0,0.0
trec-covid,split_ppi,0.092,10.0,0.0
trec-covid,split_t,0.052,10.0,0.0
webis-touche2020,loo_boot,0.29,10.0,0.042
webis-touche2020,loo_sim,0.224,10.0,0.03
webis-touche2020,recal_bp,0.002,10.0,0.0
webis-touche2020,recal_bpu,0.0,10.0,0.0
webis-touche2020,recal_bpx,0.0,10.0,0.0
webis-touche2020,recal_bpxu,0.0,10.0,0.0
webis-touche2020,recal_ep,0.158,10.0,0.0
webis-touche2020,split_auto,0.0,10.0,0.0
webis-touche2020,split_ppi,0.0,10.0,0.0
webis-touche2020,split_t,0.0,10.0,0.0
