collection,method,act_rate,mean_T,wrong_cert_rate
dbpedia-entity,loo_boot,0.964,45.44,0.002
dbpedia-entity,loo_sim,0.932,51.6,0.0
dbpedia-entity,recal_bp,0.018,89.72,0.008
dbpedia-entity,recal_bpu,0.0,90.0,0.0
dbpedia-entity,recal_bpx,0.012,89.8,0.004
dbpedia-entity,recal_bpxu,0.0,90.0,0.0
dbpedia-entity,recal_ep,0.122,85.08,0.07
dbpedia-entity,split_ppi,0.492,81.08,0.0
dbpedia-entity,split_t,0.49,82.12,0.0
trec-covid,loo_boot,0.222,10.0,0.008
trec-covid,loo_sim,0.176,10.0,0.004
trec-covid,recal_bp,0.072,10.0,0.008
trec-covid,recal_bpu,0.0,10.0,0.0
trec-covid,recal_bpx,0.012,10.0,0.0
trec-covid,recal_bpxu,0.0,10.0,0.0
trec-covid,recal_ep,0.106,10.0,0.024
trec-covid,split_ppi,0.004,10.0,0.0
trec-covid,split_t,0.0,10.0,0.0
webis-touche2020,loo_boot,0.234,10.0,0.038
webis-touche2020,loo_sim,0.136,10.0,0.026
webis-touche2020,recal_bp,0.002,10.0,0.0
webis-touche2020,recal_bpu,0.0,10.0,0.0
webis-touche2020,recal_bpx,0.0,10.0,0.0
webis-touche2020,recal_bpxu,0.0,10.0,0.0
webis-touche2020,recal_ep,0.168,10.0,0.0
webis-touche2020,split_ppi,0.0,10.0,0.0
webis-touche2020,split_t,0.0,10.0,0.0
