collection,method,act_rate,mean_T,wrong_cert_rate
arguana,loo_boot,0.96,45.6,0.04
arguana,loo_sim,0.94,54.4,0.02
arguana,recal_bp,0.16,81.6,0.06
arguana,recal_bpu,0.1,82.8,0.06
arguana,recal_bpx,0.14,85.2,0.06
arguana,recal_bpxu,0.06,86.4,0.04
arguana,recal_ep,0.2,80.4,0.1
arguana,split_ppi,0.28,85.6,0.02
arguana,split_t,0.34,84.0,0.02
cqadupstack-android,loo_boot,0.54,59.2,0.08
cqadupstack-android,loo_sim,0.46,65.2,0.04
cqadupstack-android,recal_bp,0.12,88.8,0.0
cqadupstack-android,recal_bpu,0.0,90.0,0.0
cqadupstack-android,recal_bpx,0.06,89.6,0.0
cqadupstack-android,recal_bpxu,0.0,90.0,0.0
cqadupstack-android,recal_ep,0.3,80.8,0.0
cqadupstack-android,split_ppi,0.14,87.6,0.0
cqadupstack-android,split_t,0.1,88.4,0.0
nfcorpus,loo_boot,0.78,54.8,0.0
nfcorpus,loo_sim,0.62,59.6,0.0
nfcorpus,recal_bp,0.7,72.4,0.0
nfcorpus,recal_bpu,0.02,88.4,0.0
nfcorpus,recal_bpx,0.62,79.2,0.0
nfcorpus,recal_bpxu,0.0,90.0,0.0
nfcorpus,recal_ep,0.92,58.4,0.0
nfcorpus,split_ppi,0.38,79.2,0.02
nfcorpus,split_t,0.24,84.4,0.02
scifact,loo_boot,0.74,47.6,0.08
scifact,loo_sim,0.7,50.0,0.06
scifact,recal_bp,0.02,88.4,0.02
scifact,recal_bpu,0.0,90.0,0.0
scifact,recal_bpx,0.0,90.0,0.0
scifact,recal_bpxu,0.0,90.0,0.0
scifact,recal_ep,0.08,85.2,0.04
scifact,split_ppi,0.14,88.0,0.02
scifact,split_t,0.12,89.2,0.0
