collection,method,act_rate,mean_T,wrong_cert_rate
arguana,loo_boot,0.88,48.8,0.04
arguana,loo_sim,0.82,56.0,0.04
arguana,recal_bp,0.3,74.0,0.14
arguana,recal_bpu,0.18,76.0,0.12
arguana,recal_bpx,0.2,78.8,0.08
arguana,recal_bpxu,0.14,79.2,0.08
arguana,recal_ep,0.32,73.2,0.14
arguana,split_ppi,0.32,83.2,0.0
arguana,split_t,0.28,84.8,0.0
cqadupstack-android,loo_boot,0.72,50.0,0.12
cqadupstack-android,loo_sim,0.62,58.4,0.08
cqadupstack-android,recal_bp,0.02,88.4,0.02
cqadupstack-android,recal_bpu,0.0,90.0,0.0
cqadupstack-android,recal_bpx,0.0,90.0,0.0
cqadupstack-android,recal_bpxu,0.0,90.0,0.0
cqadupstack-android,recal_ep,0.06,86.8,0.04
cqadupstack-android,split_ppi,0.12,87.6,0.02
cqadupstack-android,split_t,0.12,88.0,0.02
nfcorpus,loo_boot,0.88,53.2,0.04
nfcorpus,loo_sim,0.72,59.2,0.02
nfcorpus,recal_bp,0.48,79.6,0.0
nfcorpus,recal_bpu,0.02,88.4,0.0
nfcorpus,recal_bpx,0.44,81.2,0.0
nfcorpus,recal_bpxu,0.0,90.0,0.0
nfcorpus,recal_ep,0.8,65.6,0.0
nfcorpus,split_ppi,0.3,80.4,0.02
nfcorpus,split_t,0.26,84.4,0.02
scifact,loo_boot,0.88,42.8,0.12
scifact,loo_sim,0.8,50.4,0.1
scifact,recal_bp,0.0,90.0,0.0
scifact,recal_bpu,0.0,90.0,0.0
scifact,recal_bpx,0.0,90.0,0.0
scifact,recal_bpxu,0.0,90.0,0.0
scifact,recal_ep,0.06,86.8,0.06
scifact,split_ppi,0.24,84.8,0.04
scifact,split_t,0.24,86.4,0.0
