collection,judge,pair,T,n_queries,judge_acc,rho,true_gap,se_human,se_ppi,ess_gain,theory_gain,lam_mean
trec-covid,llm,glob_probe_vs_trunc,10,50,0.7594237695078031,0.8321064443621883,0.4881026339362681,0.05697027571235019,0.046974173043802414,1.4708837700230677,3.250987285613923,0.6647555280426203
trec-covid,llm,glob_probe_vs_trunc,30,50,0.7594237695078031,0.8321064443621883,0.4881026339362681,0.033577852096129075,0.030144180885119828,1.2407916129718335,3.250987285613923,0.6692670303193773
trec-covid,llm,glob_probe_vs_ad_probe,10,50,0.7594237695078031,0.7317255822837736,0.016193995523809544,0.010725945433833551,0.010111437067177905,1.1252406167999573,2.1524925965485426,0.39130880913899163
trec-covid,llm,glob_probe_vs_ad_probe,30,50,0.7594237695078031,0.7317255822837736,0.016193995523809544,0.0067282680567504445,0.006504263965790679,1.070065235690784,2.1524925965485426,0.5061946490142212
trec-covid,llm,trunc_vs_ad_probe,10,50,0.7594237695078031,0.8359810801359576,-0.47190863841245856,0.05776001539192593,0.047028866740946085,1.5084314314966125,3.3207627668089286,0.710117654982183
trec-covid,llm,trunc_vs_ad_probe,30,50,0.7594237695078031,0.8359810801359576,-0.47190863841245856,0.0337663077510467,0.030234333247286933,1.2472868897795435,3.3207627668089286,0.7006259295805034
webis-touche2020,llm,glob_probe_vs_trunc,10,49,0.7868675995694295,0.8059516185410986,0.049822847875753896,0.028758882049378418,0.024125335113042958,1.4210105097456842,2.8535393377881317,0.5874154695403788
webis-touche2020,llm,glob_probe_vs_trunc,30,49,0.7868675995694295,0.8059516185410986,0.049822847875753896,0.01832948683383782,0.016493229872949478,1.2350632199645974,2.8535393377881317,0.769117238728802
webis-touche2020,llm,glob_probe_vs_ad_probe,10,49,0.7868675995694295,0.6898444372597287,0.006155759102015275,0.0125266878269563,0.011812540776564828,1.1245683796144255,1.9079794763522802,0.6002777768997268
webis-touche2020,llm,glob_probe_vs_ad_probe,30,49,0.7868675995694295,0.6898444372597287,0.006155759102015275,0.00759265584608392,0.007665985051855264,0.9809604404550639,1.9079794763522802,0.5887745189335722
webis-touche2020,llm,trunc_vs_ad_probe,10,49,0.7868675995694295,0.7326428144172166,-0.043667088773738615,0.0252696001675633,0.021742650845748245,1.3507399874723975,2.1587338292059792,0.6005223169967542
webis-touche2020,llm,trunc_vs_ad_probe,30,49,0.7868675995694295,0.7326428144172166,-0.043667088773738615,0.015491497205321003,0.014591089079784994,1.1272269625529157,2.1587338292059792,0.6831442572622594
dbpedia-entity,llm,glob_probe_vs_trunc,10,399,0.759928061050892,0.6352478929955654,0.05922475115395465,0.06395388809116004,0.053795494530988704,1.413325181048187,1.676558039309974,0.6253692887882869
dbpedia-entity,llm,glob_probe_vs_trunc,30,399,0.759928061050892,0.6352478929955654,0.05922475115395465,0.03713895931056139,0.030327887886365274,1.4995989513947932,1.676558039309974,0.6732293647031594
dbpedia-entity,llm,glob_probe_vs_trunc,90,399,0.759928061050892,0.6352478929955654,0.05922475115395465,0.02186061309155531,0.01834009294648293,1.4207629097065828,1.676558039309974,0.698462091038567
dbpedia-entity,llm,glob_probe_vs_ad_probe,10,399,0.759928061050892,0.5342616662509991,0.01485148112080158,0.03321517592795762,0.029614858556524595,1.25792222017356,1.3994538480712455,0.5360269503699748
dbpedia-entity,llm,glob_probe_vs_ad_probe,30,399,0.759928061050892,0.5342616662509991,0.01485148112080158,0.019533831218897693,0.017311888539917462,1.2731687409537848,1.3994538480712455,0.542727840510867
dbpedia-entity,llm,glob_probe_vs_ad_probe,90,399,0.759928061050892,0.5342616662509991,0.01485148112080158,0.011333537796088691,0.01012176546024787,1.2537716781060761,1.3994538480712455,0.5396039219680913
dbpedia-entity,llm,trunc_vs_ad_probe,10,399,0.759928061050892,0.5668990947251701,-0.04437327003315306,0.045543296023124444,0.0399070966088256,1.3024127853942113,1.4735669720494133,0.574578486650667
dbpedia-entity,llm,trunc_vs_ad_probe,30,399,0.759928061050892,0.5668990947251701,-0.04437327003315306,0.027257333457192744,0.023596682103232874,1.3343349175231336,1.4735669720494133,0.6194750171410466
dbpedia-entity,llm,trunc_vs_ad_probe,90,399,0.759928061050892,0.5668990947251701,-0.04437327003315306,0.016183845802476716,0.014196922395891659,1.2994962991877055,1.4735669720494133,0.636290744337097
