collection,noise,rho,T,N_unlab,eps,act_t_map,act_ppi_map,ratio_map,act_t_sim,act_ppi_crossfit,ratio_crossfit,act_ppi_oracle,ratio_oracle,act_ppi_oracle_noclip,ratio_oracle_noclip,act_ppi_finiteN,ratio_finiteN
dbpedia-entity,0.0,0.6405896993445578,60,50,0.005,0.1566666666666666,0.1733333333333333,1.1063829787234043,0.112,0.108,1.1134020618556701,0.125,1.0593220338983051,0.114,1.1067961165048545,0.143,1.2767857142857142
dbpedia-entity,0.0,0.6405896993445578,60,50,0.01,0.1833333333333333,0.1933333333333333,1.0545454545454545,0.17,0.164,0.9939393939393939,0.159,1.223076923076923,0.175,1.0479041916167664,0.194,1.1411764705882352
dbpedia-entity,0.0,0.6405896993445578,60,50,0.02,0.38,0.4133333333333333,1.087719298245614,0.32,0.299,0.9835526315789473,0.307,1.0586206896551724,0.339,1.181184668989547,0.383,1.196875
dbpedia-entity,0.0,0.6405896993445578,60,50,0.05,0.7933333333333333,0.74,0.9327731092436976,0.865,0.808,0.937354988399072,0.804,0.9617224880382776,0.841,0.9976275207591934,0.886,1.0242774566473989
dbpedia-entity,0.0,0.6405896993445578,60,100,0.005,0.16,0.1766666666666666,1.1041666666666667,0.11,0.118,1.2826086956521738,0.123,1.128440366972477,0.139,1.5108695652173916,0.148,1.3454545454545455
dbpedia-entity,0.0,0.6405896993445578,60,100,0.01,0.1933333333333333,0.2633333333333333,1.362068965517241,0.183,0.164,1.1631205673758866,0.199,1.363013698630137,0.198,1.5114503816793894,0.219,1.1967213114754098
dbpedia-entity,0.0,0.6405896993445578,60,100,0.02,0.37,0.42,1.135135135135135,0.302,0.342,1.1438127090301005,0.365,1.322463768115942,0.39,1.308724832214765,0.38,1.2582781456953642
dbpedia-entity,0.0,0.6405896993445578,60,100,0.05,0.8166666666666667,0.82,1.0040816326530613,0.867,0.841,0.979045401629802,0.885,1.023121387283237,0.865,1.0069848661233993,0.897,1.0346020761245676
dbpedia-entity,0.0,0.6405896993445578,60,200,0.005,0.18,0.24,1.3333333333333333,0.12,0.135,1.2857142857142858,0.153,1.4166666666666667,0.137,1.3300970873786409,0.147,1.2249999999999999
dbpedia-entity,0.0,0.6405896993445578,60,200,0.01,0.2066666666666666,0.3133333333333333,1.5161290322580645,0.133,0.209,1.3483870967741935,0.234,1.3526011560693643,0.205,1.28125,0.193,1.4511278195488722
dbpedia-entity,0.0,0.6405896993445578,60,200,0.02,0.3166666666666666,0.42,1.326315789473684,0.305,0.38,1.217948717948718,0.413,1.4095563139931742,0.424,1.3993399339933994,0.375,1.2295081967213115
dbpedia-entity,0.0,0.6405896993445578,60,200,0.05,0.7566666666666667,0.7866666666666666,1.039647577092511,0.882,0.873,1.0306965761511215,0.921,1.0709302325581396,0.895,1.044340723453909,0.904,1.0249433106575965
dbpedia-entity,0.0,0.6405896993445578,60,300,0.005,0.17,0.2833333333333333,1.6666666666666667,0.11,0.14,1.3861386138613863,0.159,1.5,0.164,1.3442622950819674,0.141,1.2818181818181817
dbpedia-entity,0.0,0.6405896993445578,60,300,0.01,0.1933333333333333,0.3066666666666666,1.5862068965517242,0.13,0.202,1.2866242038216562,0.244,1.564102564102564,0.224,1.382716049382716,0.17,1.3076923076923077
dbpedia-entity,0.0,0.6405896993445578,60,300,0.02,0.3766666666666666,0.4933333333333333,1.3097345132743363,0.288,0.394,1.3177257525083612,0.441,1.4134615384615385,0.424,1.4982332155477032,0.402,1.3958333333333335
dbpedia-entity,0.0,0.6405896993445578,60,300,0.05,0.8333333333333334,0.87,1.044,0.862,0.884,1.025522041763341,0.907,1.0377574370709381,0.93,1.0568181818181819,0.906,1.051044083526682
dbpedia-entity,0.0,0.6405896993445578,90,50,0.005,0.31,0.3,0.967741935483871,0.152,0.17,0.9826589595375724,0.168,0.9333333333333335,0.174,0.9942857142857143,0.184,1.2105263157894737
dbpedia-entity,0.0,0.6405896993445578,90,50,0.01,0.35,0.3433333333333333,0.9809523809523808,0.261,0.251,0.9400749063670412,0.255,1.0240963855421688,0.255,0.9409594095940959,0.326,1.2490421455938698
dbpedia-entity,0.0,0.6405896993445578,90,50,0.02,0.5333333333333333,0.5166666666666667,0.96875,0.465,0.438,0.948051948051948,0.466,0.937625754527163,0.488,0.9701789264413518,0.581,1.2494623655913977
dbpedia-entity,0.0,0.6405896993445578,90,50,0.05,0.92,0.8766666666666667,0.9528985507246376,0.976,0.917,0.9424460431654677,0.937,0.9659793814432991,0.938,0.9610655737704917,0.981,1.0051229508196722
dbpedia-entity,0.0,0.6405896993445578,90,100,0.005,0.2866666666666667,0.3366666666666666,1.1744186046511629,0.153,0.195,1.196319018404908,0.204,1.2363636363636363,0.206,1.2046783625730992,0.19,1.2418300653594772
dbpedia-entity,0.0,0.6405896993445578,90,100,0.01,0.3366666666666666,0.4633333333333333,1.376237623762376,0.247,0.284,1.1497975708502024,0.312,1.1773584905660377,0.294,1.072992700729927,0.312,1.263157894736842
dbpedia-entity,0.0,0.6405896993445578,90,100,0.02,0.5433333333333333,0.6366666666666667,1.1717791411042944,0.49,0.54,1.0693069306930694,0.535,1.1263157894736844,0.553,1.2021739130434783,0.6,1.2244897959183674
dbpedia-entity,0.0,0.6405896993445578,90,100,0.05,0.9266666666666666,0.9,0.9712230215827338,0.975,0.956,0.9805128205128205,0.975,0.9948979591836735,0.97,0.9938524590163934,0.986,1.0112820512820513
dbpedia-entity,0.0,0.6405896993445578,90,200,0.005,0.2866666666666667,0.39,1.3604651162790695,0.158,0.19,1.3380281690140847,0.255,1.3212435233160622,0.239,1.4573170731707317,0.218,1.379746835443038
dbpedia-entity,0.0,0.6405896993445578,90,200,0.01,0.4066666666666667,0.51,1.2540983606557377,0.246,0.292,1.2116182572614107,0.348,1.2841328413284132,0.333,1.316205533596838,0.326,1.3252032520325203
dbpedia-entity,0.0,0.6405896993445578,90,200,0.02,0.58,0.7233333333333334,1.2471264367816093,0.48,0.563,1.1632231404958677,0.578,1.221987315010571,0.586,1.2107438016528924,0.597,1.24375
dbpedia-entity,0.0,0.6405896993445578,90,200,0.05,0.92,0.92,1.0,0.977,0.974,0.9898373983739838,0.981,1.0092592592592593,0.974,0.9989743589743589,0.986,1.0092118730808597
dbpedia-entity,0.0,0.6405896993445578,90,300,0.005,0.2666666666666666,0.4066666666666667,1.525,0.157,0.227,1.3431952662721893,0.257,1.5207100591715976,0.248,1.4090909090909092,0.226,1.4394904458598727
dbpedia-entity,0.0,0.6405896993445578,90,300,0.01,0.3266666666666666,0.4533333333333333,1.3877551020408163,0.251,0.32,1.3278008298755188,0.347,1.388,0.349,1.3794466403162053,0.332,1.3227091633466137
dbpedia-entity,0.0,0.6405896993445578,90,300,0.02,0.5666666666666667,0.7433333333333333,1.311764705882353,0.477,0.59,1.2606837606837606,0.625,1.2729124236252547,0.615,1.2576687116564418,0.626,1.3123689727463312
dbpedia-entity,0.0,0.6405896993445578,90,300,0.05,0.9166666666666666,0.9233333333333332,1.007272727272727,0.983,0.977,0.9938962360122076,0.993,1.0153374233128833,0.983,1.0102774922918807,0.99,1.007121057985758
dbpedia-entity,0.3,0.5703084052138765,60,50,0.005,0.1533333333333333,0.1533333333333333,1.0,0.101,0.105,0.9905660377358491,0.118,1.026086956521739,0.109,1.1978021978021978,0.111,1.0990099009900989
dbpedia-entity,0.3,0.5703084052138765,60,50,0.01,0.2,0.2366666666666666,1.1833333333333331,0.163,0.136,0.9444444444444445,0.166,1.0440251572327044,0.166,0.9822485207100592,0.201,1.2331288343558282
dbpedia-entity,0.3,0.5703084052138765,60,50,0.02,0.3,0.3533333333333333,1.1777777777777778,0.314,0.27,0.9608540925266904,0.321,1.1342756183745584,0.346,1.180887372013652,0.341,1.085987261146497
dbpedia-entity,0.3,0.5703084052138765,60,50,0.05,0.77,0.6866666666666666,0.8917748917748918,0.861,0.778,0.9110070257611241,0.806,0.9361207897793264,0.855,0.9827586206896551,0.877,1.018583042973287
dbpedia-entity,0.3,0.5703084052138765,60,100,0.005,0.1233333333333333,0.1833333333333333,1.4864864864864864,0.092,0.106,1.0,0.128,1.3195876288659794,0.131,1.1491228070175439,0.114,1.2391304347826089
dbpedia-entity,0.3,0.5703084052138765,60,100,0.01,0.21,0.2466666666666666,1.1746031746031746,0.161,0.162,1.0451612903225806,0.202,1.2546583850931678,0.193,1.261437908496732,0.195,1.2111801242236024
dbpedia-entity,0.3,0.5703084052138765,60,100,0.02,0.36,0.41,1.1388888888888888,0.316,0.356,1.1906354515050168,0.318,1.1691176470588234,0.39,1.2703583061889252,0.381,1.2056962025316456
dbpedia-entity,0.3,0.5703084052138765,60,100,0.05,0.7766666666666666,0.77,0.9914163090128756,0.87,0.839,0.9778554778554779,0.877,1.0068886337543055,0.871,0.9931584948688712,0.889,1.0218390804597701
dbpedia-entity,0.3,0.5703084052138765,60,200,0.005,0.2066666666666666,0.2433333333333333,1.1774193548387095,0.115,0.138,1.2105263157894737,0.152,1.3693693693693694,0.148,1.309734513274336,0.149,1.2956521739130433
