collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound
antique,inv,30,0.01,uniform,0.19,0.0,0.4044501114479392,1231.5666666666666,632.97,0.0,shared,full,t
antique,inv,30,0.01,weighted,0.69,0.0,0.11118612854789821,1227.3233333333333,632.97,0.0,shared,full,t
antique,inv,30,0.01,active_judge,0.33666666666666667,0.0,0.31294655853285597,1227.71,632.97,0.0,shared,full,t
antique,inv,30,0.01,strat_pilot,0.7066666666666667,0.0,0.11021149706068262,1225.7833333333333,632.97,0.0,shared,full,t
antique,inv,30,0.01,weighted_cv,0.6633333333333333,0.0,0.14388504688816042,1228.9166666666667,632.97,0.0,shared,full,t
antique,inv,30,0.01,active_cv,0.22,0.0,0.4189744981276044,1226.6533333333334,632.97,0.0,shared,full,t
antique,inv,30,0.01,weighted_cvl,0.75,0.0,0.1109800934358546,1225.4966666666667,632.97,0.0,shared,full,t
antique,inv,30,0.02,uniform,0.26666666666666666,0.0,0.42206150065460585,1228.6166666666666,631.1666666666666,0.0,shared,full,t
antique,inv,30,0.02,weighted,0.7933333333333333,0.0,0.11161234463503097,1224.4666666666667,631.1666666666666,0.0,shared,full,t
antique,inv,30,0.02,active_judge,0.44333333333333336,0.0,0.327753968732373,1224.1766666666667,631.1666666666666,0.0,shared,full,t
antique,inv,30,0.02,strat_pilot,0.78,0.0,0.1132116118521642,1226.4866666666667,631.1666666666666,0.0,shared,full,t
antique,inv,30,0.02,weighted_cv,0.7333333333333333,0.0,0.14344771975944481,1224.04,631.1666666666666,0.0,shared,full,t
antique,inv,30,0.02,active_cv,0.2833333333333333,0.0,0.4217382870044416,1224.7033333333334,631.1666666666666,0.0,shared,full,t
antique,inv,30,0.02,weighted_cvl,0.7733333333333333,0.0,0.11204888034718105,1226.59,631.1666666666666,0.0,shared,full,t
antique,inv,60,0.01,uniform,0.4633333333333333,0.0,0.24798636309209826,1854.8766666666668,633.9666666666667,0.0,shared,full,t
antique,inv,60,0.01,weighted,0.9166666666666666,0.0,0.06947916596702655,1849.3733333333332,633.9666666666667,0.0,shared,full,t
antique,inv,60,0.01,active_judge,0.64,0.0,0.1807256877296495,1847.91,633.9666666666667,0.0,shared,full,t
antique,inv,60,0.01,strat_pilot,0.9166666666666666,0.0,0.06871963442946537,1847.6566666666668,633.9666666666667,0.0,shared,full,t
antique,inv,60,0.01,weighted_cv,0.9033333333333333,0.0,0.08394705894677225,1847.5,633.9666666666667,0.0,shared,full,t
antique,inv,60,0.01,active_cv,0.5866666666666667,0.0,0.22760483854914307,1848.09,633.9666666666667,0.0,shared,full,t
antique,inv,60,0.01,weighted_cvl,0.9233333333333333,0.0,0.06879938762451292,1848.6033333333332,633.9666666666667,0.0,shared,full,t
antique,inv,60,0.02,uniform,0.6066666666666667,0.0,0.2520857039639032,1824.1733333333334,630.9466666666667,0.0,shared,full,t
antique,inv,60,0.02,weighted,0.9333333333333333,0.0,0.07006583426870724,1817.5733333333333,630.9466666666667,0.0,shared,full,t
antique,inv,60,0.02,active_judge,0.7733333333333333,0.0,0.178550535016709,1819.1,630.9466666666667,0.0,shared,full,t
antique,inv,60,0.02,strat_pilot,0.9333333333333333,0.0,0.06901674293978943,1817.0333333333333,630.9466666666667,0.0,shared,full,t
antique,inv,60,0.02,weighted_cv,0.9233333333333333,0.0,0.08517274830166716,1820.02,630.9466666666667,0.0,shared,full,t
antique,inv,60,0.02,active_cv,0.6766666666666666,0.0,0.225929755656416,1816.1033333333332,630.9466666666667,0.0,shared,full,t
antique,inv,60,0.02,weighted_cvl,0.93,0.0,0.06865303857465774,1817.2133333333334,630.9466666666667,0.0,shared,full,t
antique,inv,90,0.01,uniform,0.7266666666666667,0.0,0.1554186163819521,2425.7433333333333,633.0433333333333,0.0,shared,full,t
antique,inv,90,0.01,weighted,0.9133333333333333,0.0,0.048092592934685915,2411.4966666666664,633.0433333333333,0.0,shared,full,t
antique,inv,90,0.01,active_judge,0.86,0.0,0.09829038443499542,2407.5933333333332,633.0433333333333,0.0,shared,full,t
antique,inv,90,0.01,strat_pilot,0.91,0.0,0.04768875471121745,2415.6433333333334,633.0433333333333,0.0,shared,full,t
antique,inv,90,0.01,weighted_cv,0.91,0.0,0.055566803879616204,2413.693333333333,633.0433333333333,0.0,shared,full,t
antique,inv,90,0.01,active_cv,0.7766666666666666,0.0,0.12302173870104188,2404.88,633.0433333333333,0.0,shared,full,t
