collection,judge,budget_full_eq,eps,method,act,wrong,var_est
antique,llm,30,0.01,uniform,0.01,0.0,0.4569501095670923
antique,llm,30,0.01,weighted,0.22,0.0,0.11911239827022894
antique,llm,30,0.01,active_judge,0.05,0.0,0.3466789823143529
antique,llm,30,0.01,strat_pilot,0.22333333333333333,0.0,0.11769996885445752
antique,llm,30,0.01,weighted_cv,0.37333333333333335,0.0,0.0761465531884645
antique,llm,30,0.01,active_cv,0.22,0.0,0.15040653971105106
antique,llm,30,0.01,weighted_cvl,0.35,0.0,0.0818422155359764
antique,llm,30,0.02,uniform,0.02666666666666667,0.0,0.4964246931519678
antique,llm,30,0.02,weighted,0.28,0.0,0.11378754769328168
antique,llm,30,0.02,active_judge,0.07666666666666666,0.0,0.3278826000287536
antique,llm,30,0.02,strat_pilot,0.33,0.0,0.11578305144818778
antique,llm,30,0.02,weighted_cv,0.51,0.0,0.0736743028269008
antique,llm,30,0.02,active_cv,0.2733333333333333,0.0,0.14875836390588618
antique,llm,30,0.02,weighted_cvl,0.5,0.0,0.0788059621769846
antique,llm,60,0.01,uniform,0.2,0.0,0.3806227268984728
antique,llm,60,0.01,weighted,0.8633333333333333,0.0,0.09196551409332301
antique,llm,60,0.01,active_judge,0.47,0.0,0.23968695991078537
antique,llm,60,0.01,strat_pilot,0.8233333333333334,0.0,0.09318601553208625
antique,llm,60,0.01,weighted_cv,0.9066666666666666,0.0,0.06356227228863615
antique,llm,60,0.01,active_cv,0.7766666666666666,0.0,0.1093360105615091
antique,llm,60,0.01,weighted_cvl,0.8766666666666667,0.0,0.06732890883917551
antique,llm,60,0.02,uniform,0.2833333333333333,0.0,0.38376354037689625
antique,llm,60,0.02,weighted,0.9133333333333333,0.0,0.09447191780724586
antique,llm,60,0.02,active_judge,0.53,0.0,0.24768749138185397
antique,llm,60,0.02,strat_pilot,0.9033333333333333,0.0,0.09436043059792995
antique,llm,60,0.02,weighted_cv,0.96,0.0,0.064535842567077
antique,llm,60,0.02,active_cv,0.8666666666666667,0.0,0.11504652081503006
antique,llm,60,0.02,weighted_cvl,0.9533333333333334,0.0,0.06853736681478398
antique,llm,90,0.01,uniform,0.5,0.0,0.21400367496738118
antique,llm,90,0.01,weighted,0.9266666666666666,0.0,0.05600179984775134
antique,llm,90,0.01,active_judge,0.8566666666666667,0.0,0.09044822425279253
antique,llm,90,0.01,strat_pilot,0.93,0.0,0.05585024722393906
antique,llm,90,0.01,weighted_cv,0.9266666666666666,0.0,0.044448614564585896
antique,llm,90,0.01,active_cv,0.92,0.0,0.055876671415395006
antique,llm,90,0.01,weighted_cvl,0.9266666666666666,0.0,0.04597057181888001
antique,llm,90,0.02,uniform,0.5933333333333334,0.0,0.20510644157909727
antique,llm,90,0.02,weighted,0.8966666666666666,0.0,0.054876661750351184
antique,llm,90,0.02,active_judge,0.8666666666666667,0.0,0.08987967203546741
antique,llm,90,0.02,strat_pilot,0.9033333333333333,0.0,0.05474110459240331
antique,llm,90,0.02,weighted_cv,0.9133333333333333,0.0,0.04332849208661717
antique,llm,90,0.02,active_cv,0.9066666666666666,0.0,0.055159712312215635
antique,llm,90,0.02,weighted_cvl,0.92,0.0,0.04494707711330932
antique,llm,120,0.01,uniform,0.7733333333333333,0.0,0.13743635505903323
antique,llm,120,0.01,weighted,0.9366666666666666,0.0,0.04180894140218159
antique,llm,120,0.01,active_judge,0.9366666666666666,0.0,0.05120744037624038
antique,llm,120,0.01,strat_pilot,0.9433333333333334,0.0,0.04174224058696691
antique,llm,120,0.01,weighted_cv,0.95,0.0,0.03663809982865711
antique,llm,120,0.01,active_cv,0.9433333333333334,0.0,0.039903048368203055
antique,llm,120,0.01,weighted_cvl,0.94,0.0,0.03747931116210001
antique,llm,120,0.02,uniform,0.8066666666666666,0.0,0.13682336213902452
antique,llm,120,0.02,weighted,0.93,0.0,0.04131673892194044
antique,llm,120,0.02,active_judge,0.92,0.0,0.05051626949074833
antique,llm,120,0.02,strat_pilot,0.93,0.0,0.041234244770292944
antique,llm,120,0.02,weighted_cv,0.93,0.0,0.036440753367471976
antique,llm,120,0.02,active_cv,0.9366666666666666,0.0,0.03948347401707151
antique,llm,120,0.02,weighted_cvl,0.9333333333333333,0.0,0.03726040530612907
antique,llm,150,0.01,uniform,0.8133333333333334,0.0,0.10011442319735711
antique,llm,150,0.01,weighted,0.92,0.0,0.03536219787691426
antique,llm,150,0.01,active_judge,0.9333333333333333,0.0,0.03794992566041491
antique,llm,150,0.01,strat_pilot,0.9266666666666666,0.0,0.035385962730816505
antique,llm,150,0.01,weighted_cv,0.9233333333333333,0.0,0.033337411642244526
antique,llm,150,0.01,active_cv,0.9266666666666666,0.0,0.03387417823214263
antique,llm,150,0.01,weighted_cvl,0.9333333333333333,0.0,0.033484944476413904
antique,llm,150,0.02,uniform,0.9166666666666666,0.0,0.09710538672017917
antique,llm,150,0.02,weighted,0.96,0.0,0.03518939057211829
antique,llm,150,0.02,active_judge,0.9566666666666667,0.0,0.03772817306877137
antique,llm,150,0.02,strat_pilot,0.96,0.0,0.03541361759611341
antique,llm,150,0.02,weighted_cv,0.96,0.0,0.033280596776540536
antique,llm,150,0.02,active_cv,0.9633333333333334,0.0,0.0337245159465285
antique,llm,150,0.02,weighted_cvl,0.9633333333333334,0.0,0.033712876196190074
