collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound,act_iid,act_pilot_iid
antique,llm,5,0.01,uniform,0.02,0.0,0.5264300749550271,728.2233333333334,629.4733333333334,0.0,shared,full,t,0.013333333333333334,0.023333333333333334
antique,llm,5,0.01,weighted,0.22666666666666666,0.0,0.1298185994359951,728.27,629.4733333333334,0.0,shared,full,t,0.18666666666666668,0.22
antique,llm,5,0.01,active_judge,0.12,0.0033333333333333335,0.41473818831839226,728.5933333333334,629.4733333333334,0.0,shared,full,t,0.09333333333333334,0.12333333333333334
antique,llm,5,0.01,strat_pilot,0.13666666666666666,0.0,0.1294089116619406,727.4133333333333,629.4733333333334,0.0,shared,full,t,0.10666666666666667,0.13
antique,llm,5,0.01,weighted_cv,0.31333333333333335,0.0,0.08620565292116963,728.09,629.4733333333334,0.0,shared,full,t,0.23666666666666666,0.29
antique,llm,5,0.01,active_cv,0.25666666666666665,0.0,0.17568732720694621,728.0166666666667,629.4733333333334,0.0,shared,full,t,0.21,0.23666666666666666
antique,llm,5,0.01,weighted_cvl,0.28,0.0,0.08951608905278946,727.85,629.4733333333334,0.0,shared,full,t,0.22333333333333333,0.2733333333333333
antique,llm,5,0.02,uniform,0.04666666666666667,0.0,0.5487369324969723,731.45,630.4733333333334,0.0,shared,full,t,0.043333333333333335,0.05
antique,llm,5,0.02,weighted,0.27,0.0,0.12935904748319174,728.7033333333334,630.4733333333334,0.0,shared,full,t,0.22333333333333333,0.25333333333333335
antique,llm,5,0.02,active_judge,0.12,0.0,0.3907296493140169,730.2166666666667,630.4733333333334,0.0,shared,full,t,0.10333333333333333,0.12666666666666668
antique,llm,5,0.02,strat_pilot,0.23333333333333334,0.0,0.13198497926950598,730.05,630.4733333333334,0.0,shared,full,t,0.18,0.21666666666666667
antique,llm,5,0.02,weighted_cv,0.4,0.0,0.0860966529553281,729.98,630.4733333333334,0.0,shared,full,t,0.33,0.39
antique,llm,5,0.02,active_cv,0.2633333333333333,0.0,0.19251244712871654,729.6533333333333,630.4733333333334,0.0,shared,full,t,0.2,0.25
antique,llm,5,0.02,weighted_cvl,0.37666666666666665,0.0,0.08857801288211659,730.1733333333333,630.4733333333334,0.0,shared,full,t,0.27666666666666667,0.3566666666666667
