collection,judge,budget_full_eq,eps,method,act,wrong,var_est
cast19,llm,120,0.02,uniform,0.17333333333333334,0.0,0.04838474337748598
cast19,llm,120,0.02,weighted,0.51,0.0,0.014476989301665352
cast19,llm,120,0.02,active_judge,0.44666666666666666,0.0,0.015506865516071494
cast19,llm,120,0.02,strat_pilot,0.48333333333333334,0.0,0.014450025443761642
cast19,llm,120,0.02,weighted_cv,0.5266666666666666,0.0,0.013436283425612417
cast19,llm,120,0.02,active_cv,0.5,0.0,0.013665490705382363
cast19,llm,150,0.02,uniform,0.23,0.0,0.03644022334684672
cast19,llm,150,0.02,weighted,0.53,0.0,0.01311656897139091
cast19,llm,150,0.02,active_judge,0.5266666666666666,0.0,0.013316166915095526
cast19,llm,150,0.02,strat_pilot,0.5466666666666666,0.0,0.013101795732931854
cast19,llm,150,0.02,weighted_cv,0.5366666666666666,0.0,0.012826601009350267
cast19,llm,150,0.02,active_cv,0.5433333333333333,0.0,0.012838246412348996
