collection,judge,budget_full_eq,eps,method,act,wrong,var_est
cast19,rr,30,0.02,uniform,0.023333333333333334,0.0,0.26817223506621163
cast19,rr,30,0.02,weighted,0.05,0.0,0.06584262514299091
cast19,rr,30,0.02,active_judge,0.01,0.0,0.1577741411295184
cast19,rr,30,0.02,strat_pilot,0.06333333333333334,0.0,0.0655402897059857
cast19,rr,30,0.02,weighted_cv,0.04,0.0,0.066178201513752
cast19,rr,30,0.02,active_cv,0.023333333333333334,0.0,0.1048743135617815
cast19,rr,30,0.02,weighted_cvl,0.08666666666666667,0.0,0.051158591127772844
cast19,rr,60,0.02,uniform,0.06333333333333334,0.0,0.13140610526396732
cast19,rr,60,0.02,weighted,0.19666666666666666,0.0,0.032429110206413196
cast19,rr,60,0.02,active_judge,0.06,0.0,0.06819335927752879
cast19,rr,60,0.02,strat_pilot,0.19666666666666666,0.0,0.03260711178949465
cast19,rr,60,0.02,weighted_cv,0.26,0.0,0.031304605287318696
cast19,rr,60,0.02,active_cv,0.15,0.0,0.04530373450182683
cast19,rr,60,0.02,weighted_cvl,0.24666666666666667,0.0,0.02656090418539404
cast19,rr,90,0.02,uniform,0.11,0.0,0.07233295864115166
cast19,rr,90,0.02,weighted,0.41,0.0,0.019323619630506942
cast19,rr,90,0.02,active_judge,0.2733333333333333,0.0,0.03385892986810638
cast19,rr,90,0.02,strat_pilot,0.4166666666666667,0.0,0.019604784815634626
cast19,rr,90,0.02,weighted_cv,0.42333333333333334,0.0,0.01901326301599207
cast19,rr,90,0.02,active_cv,0.35333333333333333,0.0,0.023983013030836872
cast19,rr,90,0.02,weighted_cvl,0.42,0.0,0.017166489835121257
cast19,rr,120,0.02,uniform,0.13666666666666666,0.0,0.04826900795257605
cast19,rr,120,0.02,weighted,0.49666666666666665,0.0,0.0145187240002061
cast19,rr,120,0.02,active_judge,0.43666666666666665,0.0,0.0190799982330968
cast19,rr,120,0.02,strat_pilot,0.5,0.0,0.014438036909367647
cast19,rr,120,0.02,weighted_cv,0.4866666666666667,0.0,0.014214630465114224
cast19,rr,120,0.02,active_cv,0.4666666666666667,0.0,0.015745818302846885
cast19,rr,120,0.02,weighted_cvl,0.5166666666666667,0.0,0.013730607589303723
cast19,rr,150,0.02,uniform,0.22,0.0,0.03420942822175746
cast19,rr,150,0.02,weighted,0.5133333333333333,0.0,0.012612987085928012
cast19,rr,150,0.02,active_judge,0.48333333333333334,0.0,0.013862834313045275
cast19,rr,150,0.02,strat_pilot,0.52,0.0,0.012588560481805651
cast19,rr,150,0.02,weighted_cv,0.52,0.0,0.012576030286812504
cast19,rr,150,0.02,active_cv,0.5033333333333333,0.0,0.012970811211478046
cast19,rr,150,0.02,weighted_cvl,0.51,0.0,0.012372930305499965
