collection,judge,budget_full_eq,eps,method,act,wrong,var_est
dl212223,llm,20,0.01,uniform,0.0,0.0,0.3921028775527901
dl212223,llm,20,0.01,weighted,0.0,0.0,0.11055354101173077
dl212223,llm,20,0.01,active_judge,0.0,0.0,0.3206678789723778
dl212223,llm,20,0.01,strat_pilot,0.0,0.0,0.1004165220043279
dl212223,llm,20,0.01,weighted_cv,0.006666666666666667,0.0,0.09584077518328958
dl212223,llm,20,0.01,active_cv,0.0,0.0,0.32850697849769184
dl212223,llm,20,0.02,uniform,0.0033333333333333335,0.0,0.42858900828269203
dl212223,llm,20,0.02,weighted,0.0,0.0,0.13274709118351594
dl212223,llm,20,0.02,active_judge,0.0,0.0,0.369787600591911
dl212223,llm,20,0.02,strat_pilot,0.0033333333333333335,0.0,0.12032640460553502
dl212223,llm,20,0.02,weighted_cv,0.006666666666666667,0.0,0.10157919639966717
dl212223,llm,20,0.02,active_cv,0.0033333333333333335,0.0,0.2872630390598572
dl212223,llm,30,0.01,uniform,0.02,0.0,0.44829796230368363
dl212223,llm,30,0.01,weighted,0.25,0.0,0.10695132977808015
dl212223,llm,30,0.01,active_judge,0.04,0.0,0.37188524144147195
dl212223,llm,30,0.01,strat_pilot,0.3333333333333333,0.0,0.10628442837601902
dl212223,llm,30,0.01,weighted_cv,0.23333333333333334,0.0,0.1039399686885202
dl212223,llm,30,0.01,active_cv,0.08,0.0,0.27901720179552064
dl212223,llm,30,0.02,uniform,0.03666666666666667,0.0,0.44906628605700444
dl212223,llm,30,0.02,weighted,0.47,0.0,0.10845152353623569
dl212223,llm,30,0.02,active_judge,0.08333333333333333,0.0,0.3774804918466306
dl212223,llm,30,0.02,strat_pilot,0.4033333333333333,0.0,0.1081667767302306
dl212223,llm,30,0.02,weighted_cv,0.48,0.0,0.10326845868871266
dl212223,llm,30,0.02,active_cv,0.10333333333333333,0.0,0.28493274809476427
dl212223,llm,45,0.01,uniform,0.08333333333333333,0.0,0.31816296364380814
dl212223,llm,45,0.01,weighted,0.64,0.0,0.07337663479164698
dl212223,llm,45,0.01,active_judge,0.24666666666666667,0.0,0.2141064970614961
dl212223,llm,45,0.01,strat_pilot,0.6566666666666666,0.0,0.07338248941876037
dl212223,llm,45,0.01,weighted_cv,0.6566666666666666,0.0,0.07120861226092029
dl212223,llm,45,0.01,active_cv,0.34,0.0,0.1725844262571127
dl212223,llm,45,0.02,uniform,0.20666666666666667,0.0033333333333333335,0.3230479808472672
dl212223,llm,45,0.02,weighted,0.76,0.0,0.07363559671738279
dl212223,llm,45,0.02,active_judge,0.4,0.0,0.21512635304183722
dl212223,llm,45,0.02,strat_pilot,0.7333333333333333,0.0033333333333333335,0.07398485833632584
dl212223,llm,45,0.02,weighted_cv,0.7466666666666667,0.0,0.07108546402185242
dl212223,llm,45,0.02,active_cv,0.45666666666666667,0.0,0.17338977219856377
dl212223,llm,60,0.01,uniform,0.17333333333333334,0.0,0.20284667625999825
dl212223,llm,60,0.01,weighted,0.7966666666666666,0.0,0.050300103491744234
dl212223,llm,60,0.01,active_judge,0.61,0.0,0.11504789364586067
dl212223,llm,60,0.01,strat_pilot,0.8066666666666666,0.0,0.05014460030746362
dl212223,llm,60,0.01,weighted_cv,0.83,0.0,0.04889257473802128
dl212223,llm,60,0.01,active_cv,0.6933333333333334,0.0,0.09524908976224182
dl212223,llm,60,0.02,uniform,0.29,0.0033333333333333335,0.19562606998993062
dl212223,llm,60,0.02,weighted,0.8466666666666667,0.0,0.04940967265003958
dl212223,llm,60,0.02,active_judge,0.7066666666666667,0.0,0.1132354387276236
dl212223,llm,60,0.02,strat_pilot,0.84,0.0,0.04926847586749203
dl212223,llm,60,0.02,weighted_cv,0.8266666666666667,0.0,0.048121191725978424
dl212223,llm,60,0.02,active_cv,0.7766666666666666,0.0,0.09409977328690916
dl212223,llm,90,0.01,uniform,0.4533333333333333,0.0,0.11953526607698564
dl212223,llm,90,0.01,weighted,0.8466666666666667,0.0,0.032554544918615716
dl212223,llm,90,0.01,active_judge,0.8133333333333334,0.0,0.048654586644939775
dl212223,llm,90,0.01,strat_pilot,0.85,0.0,0.03236893253387994
dl212223,llm,90,0.01,weighted_cv,0.8533333333333334,0.0,0.032515849885210814
dl212223,llm,90,0.01,active_cv,0.83,0.0,0.04413805846414197
dl212223,llm,90,0.02,uniform,0.6133333333333333,0.0,0.1127254250339295
dl212223,llm,90,0.02,weighted,0.8866666666666667,0.0,0.032521232313563894
dl212223,llm,90,0.02,active_judge,0.88,0.0,0.04887743215458787
dl212223,llm,90,0.02,strat_pilot,0.89,0.0,0.03274869691554759
dl212223,llm,90,0.02,weighted_cv,0.8933333333333333,0.0,0.03266874382999285
dl212223,llm,90,0.02,active_cv,0.8866666666666667,0.0,0.04455877643016304
