collection,judge,budget_full_eq,eps,method,act,wrong,var_est
dl212223,llm,60,0.01,uniform,0.0,0.0,0.15532418407431064
dl212223,llm,60,0.01,weighted,0.0,0.0,0.05122917996789873
dl212223,llm,60,0.01,active_judge,0.0,0.0,0.13580002071792838
dl212223,llm,60,0.01,strat_pilot,0.0,0.0,0.050246684051912086
dl212223,llm,60,0.01,weighted_cv,0.0,0.0,0.04994848581296025
dl212223,llm,60,0.01,active_cv,0.0,0.0,0.11096421303766058
dl212223,llm,60,0.02,uniform,0.0,0.0,0.15035121280021221
dl212223,llm,60,0.02,weighted,0.0,0.0,0.05094339195983287
dl212223,llm,60,0.02,active_judge,0.0,0.0,0.13535855877821343
dl212223,llm,60,0.02,strat_pilot,0.0,0.0,0.05053742517262035
dl212223,llm,60,0.02,weighted_cv,0.0,0.0,0.05032180277511075
dl212223,llm,60,0.02,active_cv,0.0,0.0,0.11234711286501849
dl212223,llm,90,0.01,uniform,0.0,0.0,0.08844330304382884
dl212223,llm,90,0.01,weighted,0.0,0.0,0.031670674104036525
dl212223,llm,90,0.01,active_judge,0.0,0.0,0.05546175478590188
dl212223,llm,90,0.01,strat_pilot,0.0,0.0,0.031617240874752595
dl212223,llm,90,0.01,weighted_cv,0.0,0.0,0.03179846184747032
dl212223,llm,90,0.01,active_cv,0.0,0.0,0.04897432729566891
dl212223,llm,90,0.02,uniform,0.0,0.0,0.09040442169479294
dl212223,llm,90,0.02,weighted,0.0,0.0,0.031164364957977284
dl212223,llm,90,0.02,active_judge,0.0,0.0,0.05403296194959448
dl212223,llm,90,0.02,strat_pilot,0.0,0.0,0.03102620451346887
dl212223,llm,90,0.02,weighted_cv,0.0,0.0,0.03151053503874421
dl212223,llm,90,0.02,active_cv,0.0,0.0,0.04768121041677738
