collection,judge,budget_full_eq,eps,method,act,wrong,var_est
dbpedia-entity,inv,30,0.02,uniform,0.02666666666666667,0.0,0.253900217660084
dbpedia-entity,inv,30,0.02,weighted,0.09666666666666666,0.0,0.07431620633750197
dbpedia-entity,inv,30,0.02,active_judge,0.023333333333333334,0.0,0.16991722747892435
dbpedia-entity,inv,30,0.02,strat_pilot,0.08666666666666667,0.0,0.0746288566402166
dbpedia-entity,inv,30,0.02,weighted_cv,0.04666666666666667,0.0,0.11213526892414345
dbpedia-entity,inv,30,0.02,active_cv,0.02,0.0,0.27544551845078336
dbpedia-entity,inv,30,0.02,weighted_cvl,0.08333333333333333,0.0,0.07526604520728682
dbpedia-entity,inv,45,0.02,uniform,0.12,0.0,0.22838343031359395
dbpedia-entity,inv,45,0.02,weighted,0.29333333333333333,0.0,0.0746150038380507
dbpedia-entity,inv,45,0.02,active_judge,0.1,0.0,0.16177545553939404
dbpedia-entity,inv,45,0.02,strat_pilot,0.26,0.0,0.0738780571129869
dbpedia-entity,inv,45,0.02,weighted_cv,0.22666666666666666,0.0,0.11124364432382905
dbpedia-entity,inv,45,0.02,active_cv,0.07333333333333333,0.0,0.2728073881101502
dbpedia-entity,inv,45,0.02,weighted_cvl,0.2633333333333333,0.0,0.07439324735399151
dbpedia-entity,inv,60,0.02,uniform,0.19666666666666666,0.0,0.23380807027678296
dbpedia-entity,inv,60,0.02,weighted,0.4266666666666667,0.0,0.07428377229435433
dbpedia-entity,inv,60,0.02,active_judge,0.19,0.0,0.16664928462813025
dbpedia-entity,inv,60,0.02,strat_pilot,0.38,0.0,0.07338325569304556
dbpedia-entity,inv,60,0.02,weighted_cv,0.3466666666666667,0.0,0.11013220275190004
dbpedia-entity,inv,60,0.02,active_cv,0.08666666666666667,0.0,0.26901074175496603
dbpedia-entity,inv,60,0.02,weighted_cvl,0.44,0.0,0.07358703041821732
dbpedia-entity,inv,90,0.02,uniform,0.2966666666666667,0.0,0.18310236225198956
dbpedia-entity,inv,90,0.02,weighted,0.59,0.0,0.053866223205266156
dbpedia-entity,inv,90,0.02,active_judge,0.4066666666666667,0.0,0.11864206054272342
dbpedia-entity,inv,90,0.02,strat_pilot,0.6266666666666667,0.0,0.053913414143384554
dbpedia-entity,inv,90,0.02,weighted_cv,0.54,0.0,0.07683558273269453
dbpedia-entity,inv,90,0.02,active_cv,0.2966666666666667,0.0,0.18900804198220697
dbpedia-entity,inv,90,0.02,weighted_cvl,0.6033333333333334,0.0,0.053664408794200265
