collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound,act_iid,act_pilot_iid
trec-covid,llm,5,0.01,uniform,0.006666666666666667,0.0,0.9649762469304268,1076.1,832.6133333333333,0.0,shared,full,t,0.0033333333333333335,0.01
trec-covid,llm,5,0.01,uniform_nz,0.04666666666666667,0.0,0.5247132473644363,1075.1866666666667,832.6133333333333,0.0,shared,full,t,0.03,0.05333333333333334
trec-covid,llm,5,0.01,weighted,0.29,0.0,0.1755926169268432,1074.43,832.6133333333333,0.0,shared,full,t,0.15,0.24666666666666667
trec-covid,llm,5,0.01,active_judge,0.06,0.0,0.7016171222133083,1074.4733333333334,832.6133333333333,0.0,shared,full,t,0.043333333333333335,0.06333333333333334
trec-covid,llm,5,0.01,strat_pilot,0.2633333333333333,0.0,0.21336709313099636,1074.5533333333333,832.6133333333333,0.0,shared,full,t,0.12333333333333334,0.25666666666666665
trec-covid,llm,5,0.01,weighted_cv,0.8566666666666667,0.0,0.057040828179139094,1075.2266666666667,832.6133333333333,0.0,shared,full,t,0.5233333333333333,0.7633333333333333
trec-covid,llm,5,0.01,active_cv,0.38333333333333336,0.0,0.1676875847377893,1075.02,832.6133333333333,0.0,shared,full,t,0.23666666666666666,0.3466666666666667
trec-covid,llm,5,0.01,weighted_cvl,0.63,0.0,0.0934932288023772,1074.63,832.6133333333333,0.0,shared,full,t,0.37,0.5766666666666667
trec-covid,llm,5,0.02,uniform,0.02666666666666667,0.0,0.9281006310728056,1072.3933333333334,831.2933333333333,0.0,shared,full,t,0.02,0.02
trec-covid,llm,5,0.02,uniform_nz,0.07666666666666666,0.0,0.49240829650634527,1072.7233333333334,831.2933333333333,0.0,shared,full,t,0.03333333333333333,0.07666666666666666
trec-covid,llm,5,0.02,weighted,0.42,0.0,0.18096827420134834,1073.2666666666667,831.2933333333333,0.0,shared,full,t,0.24666666666666667,0.37
trec-covid,llm,5,0.02,active_judge,0.11666666666666667,0.0,0.6607516313269829,1072.6766666666667,831.2933333333333,0.0,shared,full,t,0.09,0.11
trec-covid,llm,5,0.02,strat_pilot,0.35,0.0,0.18661072456868388,1072.8,831.2933333333333,0.0,shared,full,t,0.20333333333333334,0.31666666666666665
trec-covid,llm,5,0.02,weighted_cv,0.9033333333333333,0.0,0.059071663766162553,1072.9033333333334,831.2933333333333,0.0,shared,full,t,0.6466666666666666,0.8366666666666667
trec-covid,llm,5,0.02,active_cv,0.5066666666666667,0.0,0.16654694448995827,1072.74,831.2933333333333,0.0,shared,full,t,0.32,0.45666666666666667
trec-covid,llm,5,0.02,weighted_cvl,0.6766666666666666,0.0,0.09228724173727573,1072.46,831.2933333333333,0.0,shared,full,t,0.42333333333333334,0.6
