collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound,act_iid,act_pilot_iid
webis-touche2020,llm,2,0.01,uniform,0.11,0.0,0.12489819971692209,432.98333333333335,379.27666666666664,0.0,shared,full,t,0.06,0.11666666666666667
webis-touche2020,llm,2,0.01,uniform_nz,0.11666666666666667,0.0,0.08493879105463063,432.8566666666667,379.27666666666664,0.0,shared,full,t,0.06,0.11666666666666667
webis-touche2020,llm,2,0.01,weighted,0.15333333333333332,0.0,0.06490480412980197,432.4033333333333,379.27666666666664,0.0,shared,full,t,0.08,0.14666666666666667
webis-touche2020,llm,2,0.01,active_judge,0.03666666666666667,0.0,0.2368247175653167,432.7133333333333,379.27666666666664,0.0,shared,full,t,0.013333333333333334,0.04
webis-touche2020,llm,2,0.01,strat_pilot,0.14333333333333334,0.0,0.06961996299517326,432.48,379.27666666666664,0.0,shared,full,t,0.06333333333333334,0.14
webis-touche2020,llm,2,0.01,weighted_cv,0.42333333333333334,0.0,0.03444048632181051,432.4533333333333,379.27666666666664,0.0,shared,full,t,0.20666666666666667,0.35333333333333333
webis-touche2020,llm,2,0.01,active_cv,0.3933333333333333,0.0,0.08739929129018012,432.81333333333333,379.27666666666664,0.0,shared,full,t,0.20333333333333334,0.33666666666666667
webis-touche2020,llm,2,0.01,weighted_cvl,0.36666666666666664,0.0,0.03929840122034019,432.23,379.27666666666664,0.0,shared,full,t,0.17333333333333334,0.3233333333333333
webis-touche2020,llm,2,0.02,uniform,0.14333333333333334,0.0,0.13670019802473504,433.0966666666667,379.23,0.0,shared,full,t,0.08333333333333333,0.14333333333333334
webis-touche2020,llm,2,0.02,uniform_nz,0.18333333333333332,0.0,0.08818729589710929,433.35,379.23,0.0,shared,full,t,0.09333333333333334,0.16666666666666666
webis-touche2020,llm,2,0.02,weighted,0.21666666666666667,0.0,0.0662023717596259,432.5133333333333,379.23,0.0,shared,full,t,0.08,0.19333333333333333
webis-touche2020,llm,2,0.02,active_judge,0.07333333333333333,0.0,0.251954762230743,432.87,379.23,0.0,shared,full,t,0.03,0.08666666666666667
webis-touche2020,llm,2,0.02,strat_pilot,0.21666666666666667,0.0,0.06868727081961877,432.76666666666665,379.23,0.0,shared,full,t,0.07666666666666666,0.19
webis-touche2020,llm,2,0.02,weighted_cv,0.48333333333333334,0.0,0.03509201594665129,432.3233333333333,379.23,0.0,shared,full,t,0.26,0.43333333333333335
webis-touche2020,llm,2,0.02,active_cv,0.4266666666666667,0.0,0.09230183165346767,432.62666666666667,379.23,0.0,shared,full,t,0.26,0.37333333333333335
webis-touche2020,llm,2,0.02,weighted_cvl,0.43666666666666665,0.0,0.03707917155185013,433.07,379.23,0.0,shared,full,t,0.15666666666666668,0.38333333333333336
