collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound,act_iid,act_pilot_iid
trec-covid,llm,10,0.01,uniform,0.13,0.0,0.3465745476822809,2147.633333333333,1666.57,0.0,shared,full,t,0.03,0.13666666666666666
trec-covid,llm,10,0.01,uniform_nz,0.52,0.0,0.15709308908647202,2146.4666666666667,1666.57,0.0,shared,full,t,0.14666666666666667,0.44333333333333336
trec-covid,llm,10,0.01,weighted,0.9566666666666667,0.0,0.05690961121797154,2145.52,1666.57,0.0,shared,full,t,0.43666666666666665,0.8933333333333333
trec-covid,llm,10,0.01,active_judge,0.5766666666666667,0.0,0.1224915489662455,2145.26,1666.57,0.0,shared,full,t,0.22,0.5566666666666666
trec-covid,llm,10,0.01,strat_pilot,0.94,0.0,0.05888001598052407,2145.9966666666664,1666.57,0.0,shared,full,t,0.38666666666666666,0.88
trec-covid,llm,10,0.01,weighted_cv,1.0,0.0,0.026989820786919173,2144.8966666666665,1666.57,0.0,shared,full,t,0.82,1.0
trec-covid,llm,10,0.01,active_cv,0.99,0.0,0.04133938702505777,2145.4766666666665,1666.57,0.0,shared,full,t,0.6,0.97
trec-covid,llm,10,0.01,weighted_cvl,0.9966666666666667,0.0,0.034395719757489354,2148.096666666667,1666.57,0.0,shared,full,t,0.68,0.9866666666666667
trec-covid,llm,10,0.02,uniform,0.19666666666666666,0.0,0.375907912704753,2148.2,1666.5733333333333,0.0,shared,full,t,0.04,0.20666666666666667
trec-covid,llm,10,0.02,uniform_nz,0.61,0.0,0.15795987618275412,2146.5433333333335,1666.5733333333333,0.0,shared,full,t,0.20333333333333334,0.5766666666666667
trec-covid,llm,10,0.02,weighted,0.98,0.0,0.05462344971394605,2146.766666666667,1666.5733333333333,0.0,shared,full,t,0.5733333333333334,0.9533333333333334
trec-covid,llm,10,0.02,active_judge,0.6933333333333334,0.0,0.12016892085252592,2145.8333333333335,1666.5733333333333,0.0,shared,full,t,0.26,0.6533333333333333
trec-covid,llm,10,0.02,strat_pilot,0.9833333333333333,0.0,0.05864054670116779,2146.7933333333335,1666.5733333333333,0.0,shared,full,t,0.5366666666666666,0.9633333333333334
trec-covid,llm,10,0.02,weighted_cv,1.0,0.0,0.02605335127039198,2147.576666666667,1666.5733333333333,0.0,shared,full,t,0.9433333333333334,1.0
trec-covid,llm,10,0.02,active_cv,0.9866666666666667,0.0,0.04244545101412063,2147.73,1666.5733333333333,0.0,shared,full,t,0.6766666666666666,0.9633333333333334
trec-covid,llm,10,0.02,weighted_cvl,1.0,0.0,0.03343854020771862,2147.57,1666.5733333333333,0.0,shared,full,t,0.84,1.0
