collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound,act_iid,act_pilot_iid
webis-touche2020,llm,2,0.01,uniform,0.19333333333333333,0.0,0.12067287230138495,810.4333333333333,758.37,0.0,shared,full,t,0.056666666666666664,0.18333333333333332
webis-touche2020,llm,2,0.01,uniform_nz,0.30666666666666664,0.0,0.07717631304949847,810.58,758.37,0.0,shared,full,t,0.06333333333333334,0.2633333333333333
webis-touche2020,llm,2,0.01,weighted,0.36333333333333334,0.0,0.06469629780670698,811.1633333333333,758.37,0.0,shared,full,t,0.043333333333333335,0.32
webis-touche2020,llm,2,0.01,active_judge,0.11333333333333333,0.0,0.21208225209314036,811.1066666666667,758.37,0.0,shared,full,t,0.01,0.12
webis-touche2020,llm,2,0.01,strat_pilot,0.3466666666666667,0.0,0.06807934115790723,810.8166666666667,758.37,0.0,shared,full,t,0.04666666666666667,0.2733333333333333
webis-touche2020,llm,2,0.01,weighted_cv,0.7,0.0,0.03472864930637014,810.6633333333333,758.37,0.0,shared,full,t,0.13666666666666666,0.6233333333333333
webis-touche2020,llm,2,0.01,active_cv,0.5933333333333334,0.0,0.0766348149659341,810.91,758.37,0.0,shared,full,t,0.20333333333333334,0.55
webis-touche2020,llm,2,0.01,weighted_cvl,0.6766666666666666,0.0,0.033458296999632264,810.4666666666667,758.37,0.0,shared,full,t,0.13,0.6033333333333334
webis-touche2020,llm,2,0.02,uniform,0.26,0.0,0.13179707670445684,811.2066666666667,757.9533333333334,0.0,shared,full,t,0.07333333333333333,0.26666666666666666
webis-touche2020,llm,2,0.02,uniform_nz,0.35333333333333333,0.0,0.08437635817272104,810.6433333333333,757.9533333333334,0.0,shared,full,t,0.09,0.31666666666666665
webis-touche2020,llm,2,0.02,weighted,0.43666666666666665,0.0,0.06606098135407858,809.99,757.9533333333334,0.0,shared,full,t,0.09666666666666666,0.3933333333333333
webis-touche2020,llm,2,0.02,active_judge,0.17,0.0,0.2552401352142827,810.3433333333334,757.9533333333334,0.0,shared,full,t,0.03666666666666667,0.15666666666666668
webis-touche2020,llm,2,0.02,strat_pilot,0.48,0.0,0.061572158934224235,810.6866666666666,757.9533333333334,0.0,shared,full,t,0.08,0.44
webis-touche2020,llm,2,0.02,weighted_cv,0.76,0.0,0.034547061905317214,810.98,757.9533333333334,0.0,shared,full,t,0.18333333333333332,0.71
webis-touche2020,llm,2,0.02,active_cv,0.6133333333333333,0.0,0.08652601660536688,810.4866666666667,757.9533333333334,0.0,shared,full,t,0.2733333333333333,0.5766666666666667
webis-touche2020,llm,2,0.02,weighted_cvl,0.81,0.0,0.03404077620721927,810.5933333333334,757.9533333333334,0.0,shared,full,t,0.21333333333333335,0.7333333333333333
