collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound,act_iid,act_pilot_iid
webis-touche2020,rr,10,0.01,uniform,0.5,0.0,0.07034748325529364,655.4066666666666,378.74666666666667,0.0,shared,full,t,0.30666666666666664,0.4666666666666667
webis-touche2020,rr,10,0.01,uniform_nz,0.7633333333333333,0.0,0.04761692153743952,656.1533333333333,378.74666666666667,0.0,shared,full,t,0.5666666666666667,0.6933333333333334
webis-touche2020,rr,10,0.01,weighted,0.8433333333333334,0.0,0.03659132019759643,655.39,378.74666666666667,0.0,shared,full,t,0.6266666666666667,0.7833333333333333
webis-touche2020,rr,10,0.01,active_judge,0.6266666666666667,0.0,0.07287106279464581,654.7566666666667,378.74666666666667,0.0,shared,full,t,0.3233333333333333,0.5466666666666666
webis-touche2020,rr,10,0.01,strat_pilot,0.8466666666666667,0.0,0.03723198690003145,655.0233333333333,378.74666666666667,0.0,shared,full,t,0.6166666666666667,0.8066666666666666
webis-touche2020,rr,10,0.01,weighted_cv,0.84,0.0,0.03394481533302689,654.81,378.74666666666667,0.0,shared,full,t,0.65,0.7866666666666666
webis-touche2020,rr,10,0.01,active_cv,0.69,0.0,0.057197765552435956,654.9466666666667,378.74666666666667,0.0,shared,full,t,0.49666666666666665,0.63
webis-touche2020,rr,10,0.01,weighted_cvl,0.8533333333333334,0.0,0.03366946024850322,655.8766666666667,378.74666666666667,0.0,shared,full,t,0.6166666666666667,0.8066666666666666
webis-touche2020,rr,10,0.02,uniform,0.6466666666666666,0.0,0.06665977188070778,656.4333333333333,379.83,0.0,shared,full,t,0.43666666666666665,0.6166666666666667
webis-touche2020,rr,10,0.02,uniform_nz,0.8366666666666667,0.0,0.04489850718083068,655.53,379.83,0.0,shared,full,t,0.5766666666666667,0.8
webis-touche2020,rr,10,0.02,weighted,0.95,0.0,0.036554220402567644,655.5866666666667,379.83,0.0,shared,full,t,0.7666666666666667,0.9033333333333333
webis-touche2020,rr,10,0.02,active_judge,0.82,0.0,0.06755541234408062,654.1966666666667,379.83,0.0,shared,full,t,0.49,0.77
webis-touche2020,rr,10,0.02,strat_pilot,0.9666666666666667,0.0,0.03755752369928608,654.98,379.83,0.0,shared,full,t,0.79,0.95
webis-touche2020,rr,10,0.02,weighted_cv,0.9733333333333334,0.0,0.03340872087242035,655.9166666666666,379.83,0.0,shared,full,t,0.81,0.9333333333333333
webis-touche2020,rr,10,0.02,active_cv,0.82,0.0,0.05376888677353764,654.3033333333333,379.83,0.0,shared,full,t,0.6133333333333333,0.7666666666666667
webis-touche2020,rr,10,0.02,weighted_cvl,0.9566666666666667,0.0,0.032192213022920815,656.1166666666667,379.83,0.0,shared,full,t,0.8066666666666666,0.9466666666666667
