collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound,act_iid,act_pilot_iid
webis-touche2020,rr,5,0.01,uniform,0.44666666666666666,0.0,0.09572882877556341,893.8033333333333,758.7833333333333,0.0,shared,full,t,0.13333333333333333,0.43
webis-touche2020,rr,5,0.01,uniform_nz,0.6533333333333333,0.0,0.06692976287807195,894.0566666666666,758.7833333333333,0.0,shared,full,t,0.22666666666666666,0.6
webis-touche2020,rr,5,0.01,weighted,0.8433333333333334,0.0,0.05098099648029541,893.5666666666667,758.7833333333333,0.0,shared,full,t,0.31333333333333335,0.78
webis-touche2020,rr,5,0.01,active_judge,0.53,0.0,0.1153490256042196,895.0,758.7833333333333,0.0,shared,full,t,0.13333333333333333,0.4766666666666667
webis-touche2020,rr,5,0.01,strat_pilot,0.8533333333333334,0.0,0.053390089752205154,894.5966666666667,758.7833333333333,0.0,shared,full,t,0.31333333333333335,0.7933333333333333
webis-touche2020,rr,5,0.01,weighted_cv,0.8633333333333333,0.0,0.04590539273376352,893.7266666666667,758.7833333333333,0.0,shared,full,t,0.3333333333333333,0.7766666666666666
webis-touche2020,rr,5,0.01,active_cv,0.6733333333333333,0.0,0.07605882086958214,894.9266666666666,758.7833333333333,0.0,shared,full,t,0.2733333333333333,0.64
webis-touche2020,rr,5,0.01,weighted_cvl,0.8666666666666667,0.0,0.04359008806195827,893.39,758.7833333333333,0.0,shared,full,t,0.3333333333333333,0.8266666666666667
webis-touche2020,rr,5,0.02,uniform,0.5866666666666667,0.0,0.10589268808995854,894.4766666666667,759.32,0.0,shared,full,t,0.21333333333333335,0.5833333333333334
webis-touche2020,rr,5,0.02,uniform_nz,0.81,0.0,0.06435174828161583,894.93,759.32,0.0,shared,full,t,0.25666666666666665,0.7766666666666666
webis-touche2020,rr,5,0.02,weighted,0.9633333333333334,0.0,0.05089843013692492,895.4533333333334,759.32,0.0,shared,full,t,0.43,0.93
webis-touche2020,rr,5,0.02,active_judge,0.7133333333333334,0.0,0.12112919856971324,894.5566666666666,759.32,0.0,shared,full,t,0.2,0.6566666666666666
webis-touche2020,rr,5,0.02,strat_pilot,0.9666666666666667,0.0,0.050771638227373427,894.85,759.32,0.0,shared,full,t,0.42,0.9433333333333334
webis-touche2020,rr,5,0.02,weighted_cv,0.9666666666666667,0.0,0.04540720185390494,895.1333333333333,759.32,0.0,shared,full,t,0.5033333333333333,0.93
webis-touche2020,rr,5,0.02,active_cv,0.8166666666666667,0.0,0.07710335276184498,895.4266666666666,759.32,0.0,shared,full,t,0.38666666666666666,0.8133333333333334
webis-touche2020,rr,5,0.02,weighted_cvl,0.9533333333333334,0.0,0.04163505441732964,895.2433333333333,759.32,0.0,shared,full,t,0.5466666666666666,0.94
