collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound,act_iid,act_pilot_iid
dbpedia-entity,rr,120,0.01,uniform,0.21333333333333335,0.0,0.10426843623897251,4523.683333333333,1030.9966666666667,0.0,shared,full,t,0.14666666666666667,0.17333333333333334
dbpedia-entity,rr,120,0.01,uniform_nz,0.41333333333333333,0.0,0.053394457699710345,4523.716666666666,1030.9966666666667,0.0,shared,full,t,0.30333333333333334,0.33666666666666667
dbpedia-entity,rr,120,0.01,weighted,0.5633333333333334,0.0,0.03587757472753142,4521.066666666667,1030.9966666666667,0.0,shared,full,t,0.37,0.44
dbpedia-entity,rr,120,0.01,active_judge,0.29333333333333333,0.0033333333333333335,0.07718900076461262,4520.153333333334,1030.9966666666667,0.0,shared,full,t,0.22333333333333333,0.24666666666666667
dbpedia-entity,rr,120,0.01,strat_pilot,0.5433333333333333,0.0,0.03599429544697458,4521.41,1030.9966666666667,0.0,shared,full,t,0.4,0.43
dbpedia-entity,rr,120,0.01,weighted_cv,0.58,0.0,0.03270709976789487,4524.92,1030.9966666666667,0.0,shared,full,t,0.41,0.4533333333333333
dbpedia-entity,rr,120,0.01,active_cv,0.5133333333333333,0.0,0.041307772569483175,4520.423333333333,1030.9966666666667,0.0,shared,full,t,0.37,0.41
dbpedia-entity,rr,120,0.01,weighted_cvl,0.6266666666666667,0.0,0.029460257794892815,4520.543333333333,1030.9966666666667,0.0,shared,full,t,0.4266666666666667,0.5
dbpedia-entity,rr,120,0.02,uniform,0.4666666666666667,0.0,0.09748051037267609,4566.8533333333335,1029.34,0.0,shared,full,t,0.37,0.43333333333333335
dbpedia-entity,rr,120,0.02,uniform_nz,0.6033333333333334,0.0,0.05266143682345176,4560.386666666666,1029.34,0.0,shared,full,t,0.49666666666666665,0.5466666666666666
dbpedia-entity,rr,120,0.02,weighted,0.8,0.0,0.036268744568753085,4558.086666666667,1029.34,0.0,shared,full,t,0.6366666666666667,0.6866666666666666
dbpedia-entity,rr,120,0.02,active_judge,0.5333333333333333,0.0,0.07774308078517361,4557.44,1029.34,0.0,shared,full,t,0.44333333333333336,0.47333333333333333
dbpedia-entity,rr,120,0.02,strat_pilot,0.79,0.0,0.036446372486099735,4560.62,1029.34,0.0,shared,full,t,0.6333333333333333,0.69
dbpedia-entity,rr,120,0.02,weighted_cv,0.8066666666666666,0.0,0.033268096466864835,4559.5233333333335,1029.34,0.0,shared,full,t,0.67,0.71
dbpedia-entity,rr,120,0.02,active_cv,0.75,0.0,0.04201828420338895,4558.583333333333,1029.34,0.0,shared,full,t,0.6233333333333333,0.6633333333333333
dbpedia-entity,rr,120,0.02,weighted_cvl,0.8366666666666667,0.0,0.029445919797039827,4557.693333333334,1029.34,0.0,shared,full,t,0.72,0.7566666666666667
