collection,judge,judge_acc,pair,involves_rr,rho,err_in,err_out,band_frac,bias_diff,true_gap,ess_gain,N,mu_a,mu_b
trec-covid,mistral,0.7358943577430972,glob_probe_vs_trunc,False,0.647216527537207,0.28485395965070764,0.18246445497630331,0.797358943577431,-0.06064169078448469,0.4881026339362681,0.9368233982844468,50,0.8483657967498361,0.36026316281356796
trec-covid,mistral,0.7358943577430972,glob_probe_vs_ad_probe,False,0.7814789364076098,0.34438775510204084,0.25576464351974554,0.09411764705882353,-0.01603053644932957,0.016193995523809544,1.1276930417849922,50,0.8483657967498361,0.8321718012260265
trec-covid,mistral,0.7358943577430972,glob_probe_vs_rr_thresh,True,0.6807787571359133,0.22948073701842547,0.26989910313901344,0.14333733493397358,0.0015989381672984653,0.0025355152327195605,1.1487701976191584,50,0.8483657967498361,0.8458302815171167
trec-covid,mistral,0.7358943577430972,trunc_vs_ad_probe,False,0.6642161911617213,0.2768863093205872,0.23381877022653721,0.7032412965186075,0.0446111543351551,-0.47190863841245856,0.9609452624839817,50,0.36026316281356796,0.8321718012260265
trec-covid,mistral,0.7358943577430972,trunc_vs_rr_thresh,True,0.6259443072707864,0.28783690393918454,0.21007081038552322,0.6948379351740697,0.06224062895178314,-0.48556711870354863,0.8787557763621875,50,0.36026316281356796,0.8458302815171167
trec-covid,mistral,0.7358943577430972,ad_probe_vs_rr_thresh,True,0.7321372436565547,0.27906976744186046,0.26092020966802565,0.17551020408163265,0.01762947461662804,-0.013658480291089983,1.2364208521922901,50,0.8321718012260265,0.8458302815171167
webis-touche2020,mistral,0.5123789020452099,glob_probe_vs_trunc,False,-0.5294137095298074,0.390625,0.49879951980792314,0.10333692142088267,-0.05137404924806183,0.049822847875753896,0.9543949532253144,49,0.7378438551144874,0.6880210072387334
webis-touche2020,mistral,0.5123789020452099,glob_probe_vs_ad_probe,False,0.2505571637449565,0.25925925925925924,0.49445676274944567,0.02906350914962325,-0.004643835651316313,0.006155759102015275,1.0113905253770648,49,0.7378438551144874,0.7316880960124721
webis-touche2020,mistral,0.5123789020452099,glob_probe_vs_rr_thresh,True,-0.3564787760274072,0.5327313769751693,0.4734982332155477,0.23842841765339073,-0.07593705731669244,0.07546367418494886,0.983776461617581,49,0.7378438551144874,0.6623801809295387
webis-touche2020,mistral,0.5123789020452099,trunc_vs_ad_probe,False,-0.452288125378167,0.4076086956521739,0.496415770609319,0.09903121636167922,0.046730213596745514,-0.043667088773738615,0.885366881013707,49,0.6880210072387334,0.7316880960124721
webis-touche2020,mistral,0.5123789020452099,trunc_vs_rr_thresh,True,-0.3321638816333276,0.5188866799204771,0.47601476014760147,0.2707212055974166,-0.02456300806863062,0.025640826309194967,0.9725209446133818,49,0.6880210072387334,0.6623801809295387
webis-touche2020,mistral,0.5123789020452099,ad_probe_vs_rr_thresh,True,-0.2757837333477072,0.5265588914549654,0.47578947368421054,0.23304628632938643,-0.07129322166537613,0.06930791508293359,0.9696669043070864,49,0.7316880960124721,0.6623801809295387
dbpedia-entity,mistral,0.7454916638312351,glob_probe_vs_trunc,False,0.6599589130650421,0.26000230600714863,0.25158294639088224,0.4227020177405205,-0.008522056772540428,0.05922475115395465,1.5065646531256434,399,0.4683993823433166,0.40917463118936226
dbpedia-entity,mistral,0.7454916638312351,glob_probe_vs_ad_probe,False,0.5523568346664206,0.2575527426160338,0.2541629548413623,0.28877083536407055,-0.00080318093968627,0.01485148112080158,1.3170012723966618,399,0.4683993823433166,0.4535479012225147
dbpedia-entity,mistral,0.7454916638312351,glob_probe_vs_rr_thresh,True,0.4005985034140167,0.20706308481738606,0.27807371148862653,0.32293595867043573,-0.020661180866500563,-0.057758896280798035,1.0808803308618968,399,0.4683993823433166,0.5261582786241147
dbpedia-entity,mistral,0.7454916638312351,trunc_vs_ad_probe,False,0.6330570822859565,0.28990311065782765,0.24692697035430225,0.1911492348182084,0.0077188758328541555,-0.04437327003315306,1.4653473313335046,399,0.40917463118936226,0.4535479012225147
dbpedia-entity,mistral,0.7454916638312351,trunc_vs_rr_thresh,True,0.6237254186941239,0.30729093216753633,0.22760110225664706,0.34559898625597035,-0.012139124093960138,-0.11698364743475266,1.4462103052581021,399,0.40917463118936226,0.5261582786241147
dbpedia-entity,mistral,0.7454916638312351,ad_probe_vs_rr_thresh,True,0.4813492206304689,0.2872520375211441,0.2402425972172672,0.3169412223413588,-0.019857999926814293,-0.0726103774015996,1.1599714013994724,399,0.4535479012225147,0.5261582786241147
