collection,judge,judge_acc,pair,involves_rr,rho,err_in,err_out,band_frac,bias_diff,true_gap,ess_gain,N,mu_a,mu_b
trec-covid,mpnet,0.44129651860744296,glob_probe_vs_trunc,False,0.48130926108311384,0.5841613971695272,0.4585308056872038,0.797358943577431,-0.43123732656502073,0.4881026339362681,1.0389489957358469,50,0.8483657967498361,0.36026316281356796
trec-covid,mpnet,0.44129651860744296,glob_probe_vs_ad_probe,False,-0.2831385959456107,0.5178571428571429,0.5629472568248078,0.09411764705882353,-0.029157147925059843,0.016193995523809544,0.9553853208698431,50,0.8483657967498361,0.8321718012260265
trec-covid,mpnet,0.44129651860744296,glob_probe_vs_rr_thresh,True,0.08568665270017682,0.4120603015075377,0.5832399103139013,0.14333733493397358,-0.018382926718733268,0.0025355152327195605,0.8428981902320078,50,0.8483657967498361,0.8458302815171167
trec-covid,mpnet,0.44129651860744296,trunc_vs_ad_probe,False,0.5723700161180041,0.593035165585524,0.4773462783171521,0.7032412965186075,0.402080178639961,-0.47190863841245856,1.100864458944073,50,0.36026316281356796,0.8321718012260265
trec-covid,mpnet,0.44129651860744296,trunc_vs_rr_thresh,True,0.4728018830509151,0.6164478230822391,0.42722265932336745,0.6948379351740697,0.4128543998462875,-0.48556711870354863,1.0165026524266882,50,0.36026316281356796,0.8458302815171167
trec-covid,mpnet,0.44129651860744296,ad_probe_vs_rr_thresh,True,-0.10641702716657332,0.5102599179206566,0.569015725101922,0.17551020408163265,0.010774221206326571,-0.013658480291089983,0.9449521876648466,50,0.8321718012260265,0.8458302815171167
webis-touche2020,mpnet,0.6194833153928956,glob_probe_vs_trunc,False,0.49046436673649374,0.4010416666666667,0.37815126050420167,0.10333692142088267,-0.0277389528998799,0.049822847875753896,1.0162179215614,49,0.7378438551144874,0.6880210072387334
webis-touche2020,mpnet,0.6194833153928956,glob_probe_vs_ad_probe,False,-0.19045400557329845,0.42592592592592593,0.37915742793791574,0.02906350914962325,-0.013270692687842362,0.006155759102015275,0.8135518668734059,49,0.7378438551144874,0.7316880960124721
webis-touche2020,mpnet,0.6194833153928956,glob_probe_vs_rr_thresh,True,0.15613600684568532,0.48081264108352145,0.3491166077738516,0.23842841765339073,0.014116143182029686,0.07546367418494886,0.9007612257454422,49,0.7378438551144874,0.6623801809295387
webis-touche2020,mpnet,0.6194833153928956,trunc_vs_ad_probe,False,0.6101411573827024,0.3804347826086957,0.3805256869772999,0.09903121636167922,0.014468260212037539,-0.043667088773738615,1.0309566705554314,49,0.6880210072387334,0.7316880960124721
webis-touche2020,mpnet,0.6194833153928956,trunc_vs_rr_thresh,True,0.48377436898345966,0.43737574552683894,0.359409594095941,0.2707212055974166,0.041855096081909585,0.025640826309194967,1.0031433563989125,49,0.6880210072387334,0.6623801809295387
webis-touche2020,mpnet,0.6194833153928956,ad_probe_vs_rr_thresh,True,0.3492188919860676,0.48498845265588914,0.3487719298245614,0.23304628632938643,0.027386835869872048,0.06930791508293359,0.9663397484908955,49,0.7316880960124721,0.6623801809295387
dbpedia-entity,mpnet,0.6438049871190396,glob_probe_vs_trunc,False,0.1418800426004349,0.38406549060302086,0.3360067539046011,0.4227020177405205,-0.07178241867314923,0.05922475115395465,0.9581619212659257,399,0.4683993823433166,0.40917463118936226
dbpedia-entity,mpnet,0.6438049871190396,glob_probe_vs_ad_probe,False,0.13223963195050667,0.34177215189873417,0.3622284657027342,0.28877083536407055,-0.10897498034260675,0.01485148112080158,0.9456594381485062,399,0.4683993823433166,0.4535479012225147
dbpedia-entity,mpnet,0.6438049871190396,glob_probe_vs_rr_thresh,True,-0.05373100432981836,0.33504376697856925,0.36646991073999424,0.32293595867043573,0.10471496395847649,-0.057758896280798035,0.9225207039334098,399,0.4683993823433166,0.5261582786241147
dbpedia-entity,mpnet,0.6438049871190396,trunc_vs_ad_probe,False,0.16359827781950992,0.46149923508414076,0.3314654133526151,0.1911492348182084,-0.03719256166945753,-0.04437327003315306,0.9550819642843756,399,0.40917463118936226,0.4535479012225147
dbpedia-entity,mpnet,0.6438049871190396,trunc_vs_rr_thresh,True,0.22743836909902965,0.45649414751092937,0.3034184851418783,0.34559898625597035,0.17649738263162568,-0.11698364743475266,0.9936697541117775,399,0.40917463118936226,0.5261582786241147
dbpedia-entity,mpnet,0.6438049871190396,ad_probe_vs_rr_thresh,True,0.04429766911336688,0.4368752883284638,0.31894398858366035,0.3169412223413588,0.21368994430108323,-0.0726103774015996,0.9203958394185162,399,0.4535479012225147,0.5261582786241147
