collection,judge,eps,method,pilot,J50_ref,J50,post_pilot_share,var_ratio,cost_ratio,saving_pred,saving_obs
antique,inv,0.01,active_cv,631.7119907407409,850.5957333333333,1484.4374554707379,0.25732993244020397,3.9345356731223426,3.8957916866268687,-0.7551438665079409,-0.7451738790805964
antique,inv,0.01,active_judge,631.7119907407409,850.5957333333333,1268.5383333333336,0.25732993244020397,2.8504655710421534,2.90942732909093,-0.4761801803792008,-0.49135280559444805
antique,inv,0.01,ai_calib,631.7119907407409,850.5957333333333,1273.2382424242428,0.25732993244020397,3.1288606961951486,2.9308994998206543,-0.5478195791265031,-0.4968782378376726
antique,inv,0.01,ai_resid,631.7119907407409,850.5957333333333,925.2787037037037,0.25732993244020397,1.3077458748290363,1.341199257129743,-0.07919222517850737,-0.0878007817858446
antique,inv,0.01,ai_robust_0.3,631.7119907407409,850.5957333333333,943.2206214689267,0.25732993244020397,1.3277275205226537,1.4231693365550484,-0.08433410071489005,-0.10889413678647664
antique,inv,0.01,ai_robust_0.5,631.7119907407409,850.5957333333333,913.6396491228071,0.25732993244020397,1.3295891283547714,1.288024661140856,-0.08481314813255904,-0.07411736659248902
antique,inv,0.01,strat_pilot,631.7119907407409,850.5957333333333,876.682987012987,0.25732993244020397,1.0095813973194119,1.1191831488746509,-0.00246558032488701,-0.030669391647924593
antique,inv,0.01,uniform,631.7119907407409,850.5957333333333,1575.6395029239766,0.25732993244020397,3.9946443742473803,4.312460582968763,-0.7706116345075152,-0.8523952580261904
antique,inv,0.01,uniform_nz,631.7119907407409,850.5957333333333,1220.1705376344087,0.25732993244020397,2.7841145411027193,2.688452508731833,-0.45910607432754824,-0.4344893700004553
antique,inv,0.01,weighted_cv,631.7119907407409,850.5957333333333,934.3819713261648,0.25732993244020397,1.3287511854717549,1.3827887672259997,-0.08459752034708364,-0.09850300760913555
antique,inv,0.01,weighted_cvl,631.7119907407409,850.5957333333333,870.4550228310502,0.25732993244020397,1.0100718350666968,1.0907298516668773,-0.002591784637261976,-0.02334750659974727
antique,inv,0.02,active_cv,631.1158796296295,835.5223611111111,1261.2228395061727,0.24464513578027247,3.8561551007873356,3.08261731873521,-0.6987444524416355,-0.5095021967203224
antique,inv,0.02,active_judge,631.1158796296295,835.5223611111111,1135.8186243386242,0.24464513578027247,3.120762193485787,2.4691132152515367,-0.5188341547829989,-0.3594114020218049
antique,inv,0.02,ai_calib,631.1158796296295,835.5223611111111,1171.3289743589744,0.24464513578027247,3.0188147449137284,2.6428374032664226,-0.4938932073846352,-0.4019121795870242
antique,inv,0.02,ai_resid,631.1158796296295,835.5223611111111,868.316761904762,0.24464513578027247,1.2801902206752886,1.1604371865117298,-0.06854717458141049,-0.039250177278367104
antique,inv,0.02,ai_robust_0.3,631.1158796296295,835.5223611111111,885.6138095238096,0.24464513578027247,1.286647402887379,1.2450580238437134,-0.07012689280044533,-0.0599522535172905
antique,inv,0.02,ai_robust_0.5,631.1158796296295,835.5223611111111,873.2590566037736,0.24464513578027247,1.2761721221976814,1.1846159437761337,-0.06756416633377776,-0.04516539263231545
antique,inv,0.02,strat_pilot,631.1158796296295,835.5223611111111,823.2256272401434,0.24464513578027247,0.9875621082501999,0.9398417614654663,0.0030428697159501873,0.014717420434583017
antique,inv,0.02,uniform,631.1158796296295,835.5223611111111,1404.5272508591067,0.24464513578027247,4.120231368487997,3.7836929906723396,-0.7633494268096114,-0.6810169496736271
antique,inv,0.02,uniform_nz,631.1158796296295,835.5223611111111,1107.2803225806451,0.24464513578027247,2.6625030613623584,2.3294977708138584,-0.4067232871821128,-0.32525516266032595
antique,inv,0.02,weighted_cv,631.1158796296295,835.5223611111111,878.550606060606,0.24464513578027247,1.3073565237252327,1.210503329628484,-0.07519327847971209,-0.05149861565915992
antique,inv,0.02,weighted_cvl,631.1158796296295,835.5223611111111,822.3333333333334,0.24464513578027247,0.9911923743365018,0.9354764698155005,0.0021547427763483396,0.01578536780300943
antique,llm,0.01,active_cv,631.7119907407409,850.5957333333333,902.0344444444445,0.25732993244020397,1.488631419424414,1.2350047130126693,-0.1257394901486454,-0.060473746922679705
antique,llm,0.01,active_judge,631.7119907407409,850.5957333333333,1236.2576785714286,0.25732993244020397,3.129337084935917,2.761948789206911,-0.5479421682089803,-0.4534021628897136
antique,llm,0.01,ai_calib,631.7119907407409,850.5957333333333,806.934065934066,0.25732993244020397,0.8887279139858265,0.8005257636674522,0.028633638376507828,0.051330691759015834
