collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,docs_pilot,dup_frac,var_est,sampling,pilot_cost,cv_pred,bound
antique,inv,30,0.01,weighted_cv,0.6766666666666666,0.0,1235.31,633.0366666666666,0.0,0.14720025987370228,shared,full,binary,t
antique,inv,30,0.01,ai_calib,0.3566666666666667,0.0,1235.3,633.0366666666666,0.0,0.3313404193463633,shared,full,binary,t
antique,inv,30,0.01,ai_resid,0.68,0.0,1236.17,633.0366666666666,0.0,0.14570187303327545,shared,full,binary,t
antique,inv,30,0.01,ai_robust_0.5,0.6666666666666666,0.0,1235.35,633.0366666666666,0.0,0.1472758962173388,shared,full,binary,t
antique,inv,30,0.01,ai_robust_0.3,0.6566666666666666,0.0,1232.91,633.0366666666666,0.0,0.14445572212280813,shared,full,binary,t
antique,inv,30,0.02,weighted_cv,0.7366666666666667,0.0,1224.08,628.6333333333333,0.0,0.14448188208885168,shared,full,binary,t
antique,inv,30,0.02,ai_calib,0.3933333333333333,0.0,1224.0666666666666,628.6333333333333,0.0,0.3212590033514947,shared,full,binary,t
antique,inv,30,0.02,ai_resid,0.75,0.0,1225.1533333333334,628.6333333333333,0.0,0.14659691370853709,shared,full,binary,t
antique,inv,30,0.02,ai_robust_0.5,0.77,0.0,1225.6433333333334,628.6333333333333,0.0,0.1452133484233952,shared,full,binary,t
antique,inv,30,0.02,ai_robust_0.3,0.7966666666666666,0.0,1224.52,628.6333333333333,0.0,0.14415816304748497,shared,full,binary,t
antique,inv,60,0.01,weighted_cv,0.9,0.0,1823.0033333333333,630.6433333333333,0.0,0.08509241781682864,shared,full,binary,t
antique,inv,60,0.01,ai_calib,0.6533333333333333,0.0,1826.0366666666666,630.6433333333333,0.0,0.17948271343067854,shared,full,binary,t
antique,inv,60,0.01,ai_resid,0.9033333333333333,0.0,1827.7066666666667,630.6433333333333,0.0,0.08540731894789853,shared,full,binary,t
antique,inv,60,0.01,ai_robust_0.5,0.8966666666666666,0.0,1826.3433333333332,630.6433333333333,0.0,0.0848392652722568,shared,full,binary,t
antique,inv,60,0.01,ai_robust_0.3,0.88,0.0,1824.9733333333334,630.6433333333333,0.0,0.08551290197512244,shared,full,binary,t
antique,inv,60,0.02,weighted_cv,0.93,0.0,1828.57,633.2933333333333,0.0,0.08532720141347083,shared,full,binary,t
antique,inv,60,0.02,ai_calib,0.78,0.0,1828.7233333333334,633.2933333333333,0.0,0.18287372306116928,shared,full,binary,t
antique,inv,60,0.02,ai_resid,0.9266666666666666,0.0,1826.05,633.2933333333333,0.0,0.08520110564091579,shared,full,binary,t
antique,inv,60,0.02,ai_robust_0.5,0.9366666666666666,0.0,1825.7633333333333,633.2933333333333,0.0,0.08438053364625332,shared,full,binary,t
antique,inv,60,0.02,ai_robust_0.3,0.9333333333333333,0.0,1826.0666666666666,633.2933333333333,0.0,0.08485805849522994,shared,full,binary,t
antique,inv,90,0.01,weighted_cv,0.9033333333333333,0.0,2381.4266666666667,631.46,0.0,0.05442862377396922,shared,full,binary,t
antique,inv,90,0.01,ai_calib,0.8833333333333333,0.0,2376.2166666666667,631.46,0.0,0.0997518181694642,shared,full,binary,t
antique,inv,90,0.01,ai_resid,0.9133333333333333,0.0,2380.9166666666665,631.46,0.0,0.05496771078174935,shared,full,binary,t
antique,inv,90,0.01,ai_robust_0.5,0.9066666666666666,0.0,2383.02,631.46,0.0,0.05483756093707863,shared,full,binary,t
antique,inv,90,0.01,ai_robust_0.3,0.91,0.0,2383.63,631.46,0.0,0.054413910029980264,shared,full,binary,t
antique,inv,90,0.02,weighted_cv,0.94,0.0,2412.45,630.42,0.0,0.055416522252575276,shared,full,binary,t
antique,inv,90,0.02,ai_calib,0.92,0.0,2409.483333333333,630.42,0.0,0.10175046485602582,shared,full,binary,t
antique,inv,90,0.02,ai_resid,0.95,0.0,2414.3633333333332,630.42,0.0,0.056390487631012814,shared,full,binary,t
antique,inv,90,0.02,ai_robust_0.5,0.9433333333333334,0.0,2412.32,630.42,0.0,0.055031036915373414,shared,full,binary,t
antique,inv,90,0.02,ai_robust_0.3,0.9466666666666667,0.0,2413.713333333333,630.42,0.0,0.055797206921057226,shared,full,binary,t
antique,inv,120,0.01,weighted_cv,0.9333333333333333,0.0,2986.963333333333,633.76,0.0,0.04149923529280141,shared,full,binary,t
antique,inv,120,0.01,ai_calib,0.93,0.0,2976.2033333333334,633.76,0.0,0.06376985043257036,shared,full,binary,t
antique,inv,120,0.01,ai_resid,0.9333333333333333,0.0,2990.86,633.76,0.0,0.041766445246040104,shared,full,binary,t
antique,inv,120,0.01,ai_robust_0.5,0.9366666666666666,0.0,2987.4966666666664,633.76,0.0,0.04170823474237609,shared,full,binary,t
antique,inv,120,0.01,ai_robust_0.3,0.93,0.0,2985.266666666667,633.76,0.0,0.041891132315423775,shared,full,binary,t
antique,inv,120,0.02,weighted_cv,0.9266666666666666,0.0,3019.443333333333,633.6633333333333,0.0,0.04154409387041215,shared,full,binary,t
antique,inv,120,0.02,ai_calib,0.9133333333333333,0.0,3007.7433333333333,633.6633333333333,0.0,0.06351974510199196,shared,full,binary,t
antique,inv,120,0.02,ai_resid,0.9333333333333333,0.0,3020.1033333333335,633.6633333333333,0.0,0.04145510156899039,shared,full,binary,t
antique,inv,120,0.02,ai_robust_0.5,0.93,0.0,3018.5833333333335,633.6633333333333,0.0,0.04157756669304022,shared,full,binary,t
antique,inv,120,0.02,ai_robust_0.3,0.9266666666666666,0.0,3017.6366666666668,633.6633333333333,0.0,0.041674525160436356,shared,full,binary,t
antique,inv,150,0.01,weighted_cv,0.9266666666666666,0.0,3527.1433333333334,631.3333333333334,0.0,0.03508007094844563,shared,full,binary,t
antique,inv,150,0.01,ai_calib,0.9133333333333333,0.0,3486.0066666666667,631.3333333333334,0.0,0.04455654139367601,shared,full,binary,t
