collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,docs_pilot,dup_frac,var_est,sampling,pilot_cost,cv_pred,bound
antique,inv,5,0.01,weighted_cv,0.14666666666666667,0.0,731.43,630.5733333333334,0.0,0.16784233988314762,shared,full,binary,t
antique,inv,5,0.01,ai_calib,0.03333333333333333,0.0,730.5366666666666,630.5733333333334,0.0,0.41825864993417206,shared,full,binary,t
antique,inv,5,0.01,ai_resid,0.14666666666666667,0.0,731.4633333333334,630.5733333333334,0.0,0.16638120137003548,shared,full,binary,t
antique,inv,5,0.01,ai_robust_0.5,0.16,0.0,731.53,630.5733333333334,0.0,0.17216024943713118,shared,full,binary,t
antique,inv,5,0.01,ai_robust_0.3,0.18666666666666668,0.0,731.2666666666667,630.5733333333334,0.0,0.17294983383988063,shared,full,binary,t
antique,inv,5,0.02,weighted_cv,0.19666666666666666,0.0,731.3866666666667,631.4233333333333,0.0,0.17030664358640135,shared,full,binary,t
antique,inv,5,0.02,ai_calib,0.043333333333333335,0.0,730.43,631.4233333333333,0.0,0.3952795114646367,shared,full,binary,t
antique,inv,5,0.02,ai_resid,0.14333333333333334,0.0,730.0133333333333,631.4233333333333,0.0,0.16569535260784932,shared,full,binary,t
antique,inv,5,0.02,ai_robust_0.5,0.20333333333333334,0.0,730.75,631.4233333333333,0.0,0.1660270677336642,shared,full,binary,t
antique,inv,5,0.02,ai_robust_0.3,0.20333333333333334,0.0,730.4733333333334,631.4233333333333,0.0,0.16595681369571602,shared,full,binary,t
