collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,var_est
antique,llm,30,0.01,weighted_cv,0.4033333333333333,0.0,590.4816666666667,0.07413866337370052
antique,llm,30,0.01,ai_calib,0.32,0.0,589.9516666666667,0.09515729223377885
antique,llm,30,0.01,ai_resid,0.43666666666666665,0.0,589.525,0.07212239686582178
antique,llm,30,0.01,ai_robust_0.5,0.43666666666666665,0.0,590.0666666666667,0.07305387766798348
antique,llm,30,0.01,ai_robust_0.3,0.44333333333333336,0.0,589.7933333333333,0.07223596363071805
antique,llm,30,0.02,weighted_cv,0.48333333333333334,0.0,588.0283333333333,0.07430051274671631
antique,llm,30,0.02,ai_calib,0.3433333333333333,0.0,589.28,0.09747931656530966
antique,llm,30,0.02,ai_resid,0.48333333333333334,0.0,587.7733333333333,0.07200275722708677
antique,llm,30,0.02,ai_robust_0.5,0.48,0.0,587.725,0.07251091870939722
antique,llm,30,0.02,ai_robust_0.3,0.5033333333333333,0.0,588.1283333333333,0.07251529539080909
antique,llm,60,0.01,weighted_cv,0.9,0.0,1176.4016666666666,0.06331669321629058
antique,llm,60,0.01,ai_calib,0.8733333333333333,0.0,1176.155,0.08098127263300695
antique,llm,60,0.01,ai_resid,0.8866666666666667,0.0,1176.2483333333332,0.06287109983355124
antique,llm,60,0.01,ai_robust_0.5,0.9,0.0,1177.4,0.06322167578048303
antique,llm,60,0.01,ai_robust_0.3,0.8966666666666666,0.0,1175.3333333333333,0.06297090641719
antique,llm,60,0.02,weighted_cv,0.9233333333333333,0.0,1171.9666666666667,0.06445998402747634
antique,llm,60,0.02,ai_calib,0.9,0.0,1171.4433333333334,0.08068006476391666
antique,llm,60,0.02,ai_resid,0.9266666666666666,0.0,1170.34,0.06377783749137524
antique,llm,60,0.02,ai_robust_0.5,0.9233333333333333,0.0,1170.8,0.06361446474461652
antique,llm,60,0.02,ai_robust_0.3,0.9166666666666666,0.0,1171.7016666666666,0.06330568708195933
antique,llm,90,0.01,weighted_cv,0.8866666666666667,0.0,1721.885,0.04430178544524513
antique,llm,90,0.01,ai_calib,0.89,0.0,1722.3466666666666,0.04851057729759995
antique,llm,90,0.01,ai_resid,0.88,0.0,1722.7233333333334,0.04382129988321629
antique,llm,90,0.01,ai_robust_0.5,0.88,0.0,1723.53,0.04371434327128398
antique,llm,90,0.01,ai_robust_0.3,0.8766666666666667,0.0,1720.0333333333333,0.043623873020950596
antique,llm,90,0.02,weighted_cv,0.94,0.0,1748.9316666666666,0.044432276714265674
antique,llm,90,0.02,ai_calib,0.9366666666666666,0.0,1748.2666666666667,0.04849864786613413
antique,llm,90,0.02,ai_resid,0.94,0.0,1750.715,0.04401521309347335
antique,llm,90,0.02,ai_robust_0.5,0.94,0.0,1750.5466666666666,0.04398528783097486
antique,llm,90,0.02,ai_robust_0.3,0.9366666666666666,0.0,1750.655,0.0440905846024848
antique,llm,120,0.01,weighted_cv,0.9466666666666667,0.0,2308.465,0.036810202269296634
antique,llm,120,0.01,ai_calib,0.9433333333333334,0.0,2306.5933333333332,0.037649509539232746
antique,llm,120,0.01,ai_resid,0.95,0.0,2308.8433333333332,0.03665749636813808
antique,llm,120,0.01,ai_robust_0.5,0.9466666666666667,0.0,2308.2066666666665,0.03647526172012308
antique,llm,120,0.01,ai_robust_0.3,0.95,0.0,2308.3983333333335,0.03666850775318952
antique,llm,120,0.02,weighted_cv,0.95,0.0,2314.305,0.03666897646778518
antique,llm,120,0.02,ai_calib,0.95,0.0,2313.8616666666667,0.03759850545214502
antique,llm,120,0.02,ai_resid,0.9466666666666667,0.0,2314.1833333333334,0.036393618023983776
antique,llm,120,0.02,ai_robust_0.5,0.9433333333333334,0.0,2313.6216666666664,0.0364078441097632
antique,llm,120,0.02,ai_robust_0.3,0.95,0.0,2315.931666666667,0.036353585465110735
antique,llm,150,0.01,weighted_cv,0.9233333333333333,0.0,2762.6883333333335,0.03303095584164523
antique,llm,150,0.01,ai_calib,0.9233333333333333,0.0,2762.575,0.0331851619325139
antique,llm,150,0.01,ai_resid,0.92,0.0,2762.255,0.032879197917022644
antique,llm,150,0.01,ai_robust_0.5,0.93,0.0,2763.4133333333334,0.03302203523311835
antique,llm,150,0.01,ai_robust_0.3,0.9333333333333333,0.0,2765.5233333333335,0.03299525212389067
antique,llm,150,0.02,weighted_cv,0.94,0.0,2727.4583333333335,0.032938191413889185
antique,llm,150,0.02,ai_calib,0.94,0.0,2723.8016666666667,0.033088422770990174
antique,llm,150,0.02,ai_resid,0.94,0.0,2726.3416666666667,0.03280594220928128
antique,llm,150,0.02,ai_robust_0.5,0.9366666666666666,0.0,2726.153333333333,0.03288767430364097
antique,llm,150,0.02,ai_robust_0.3,0.94,0.0,2725.5316666666668,0.032785600710944086
