collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,docs_pilot,dup_frac,var_est,sampling,pilot_cost,cv_pred,bound
cast19,llm,30,0.01,weighted_cv,0.0,0.0,1708.9466666666667,973.2066666666667,0.0,0.033903562180713845,shared,full,binary,bet
cast19,llm,30,0.01,ai_calib,0.0,0.0,1707.19,973.2066666666667,0.0,0.045914035146482145,shared,full,binary,bet
cast19,llm,30,0.01,ai_resid,0.0,0.0,1709.93,973.2066666666667,0.0,0.035499842836313,shared,full,binary,bet
cast19,llm,30,0.01,ai_robust_0.5,0.0,0.0,1707.3933333333334,973.2066666666667,0.0,0.03299836885329313,shared,full,binary,bet
cast19,llm,30,0.01,ai_robust_0.3,0.0,0.0,1707.7366666666667,973.2066666666667,0.0,0.03350112773596002,shared,full,binary,bet
cast19,llm,30,0.02,weighted_cv,0.0,0.0,1716.4666666666667,970.1966666666667,0.0,0.033370232994833327,shared,full,binary,bet
cast19,llm,30,0.02,ai_calib,0.0,0.0,1718.6866666666667,970.1966666666667,0.0,0.04556094742707815,shared,full,binary,bet
cast19,llm,30,0.02,ai_resid,0.0,0.0,1716.2466666666667,970.1966666666667,0.0,0.03699408523445171,shared,full,binary,bet
cast19,llm,30,0.02,ai_robust_0.5,0.0,0.0,1718.45,970.1966666666667,0.0,0.03390025602890043,shared,full,binary,bet
cast19,llm,30,0.02,ai_robust_0.3,0.0,0.0,1716.3866666666668,970.1966666666667,0.0,0.034013270186132066,shared,full,binary,bet
cast19,llm,45,0.01,weighted_cv,0.0,0.0,2074.5866666666666,976.61,0.0,0.0231002280503773,shared,full,binary,bet
cast19,llm,45,0.01,ai_calib,0.0,0.0,2073.556666666667,976.61,0.0,0.027757223659993044,shared,full,binary,bet
cast19,llm,45,0.01,ai_resid,0.0,0.0,2074.5533333333333,976.61,0.0,0.024742327405857054,shared,full,binary,bet
cast19,llm,45,0.01,ai_robust_0.5,0.0,0.0,2074.72,976.61,0.0,0.02254505037580078,shared,full,binary,bet
cast19,llm,45,0.01,ai_robust_0.3,0.0,0.0,2072.73,976.61,0.0,0.022799753885984295,shared,full,binary,bet
cast19,llm,45,0.02,weighted_cv,0.0,0.0,2076.403333333333,975.8333333333334,0.0,0.023768118930481166,shared,full,binary,bet
cast19,llm,45,0.02,ai_calib,0.0,0.0,2079.4066666666668,975.8333333333334,0.0,0.028244533909166567,shared,full,binary,bet
cast19,llm,45,0.02,ai_resid,0.0,0.0,2076.72,975.8333333333334,0.0,0.02412306606425583,shared,full,binary,bet
cast19,llm,45,0.02,ai_robust_0.5,0.0,0.0,2077.46,975.8333333333334,0.0,0.023344059582907986,shared,full,binary,bet
cast19,llm,45,0.02,ai_robust_0.3,0.0,0.0,2079.0933333333332,975.8333333333334,0.0,0.023523780761898073,shared,full,binary,bet
cast19,llm,60,0.01,weighted_cv,0.0,0.0,2409.4566666666665,971.22,0.0,0.019513448511891334,shared,full,binary,bet
cast19,llm,60,0.01,ai_calib,0.0,0.0,2405.61,971.22,0.0,0.02168684065939153,shared,full,binary,bet
cast19,llm,60,0.01,ai_resid,0.0,0.0,2405.3166666666666,971.22,0.0,0.020554854461226492,shared,full,binary,bet
cast19,llm,60,0.01,ai_robust_0.5,0.0,0.0,2407.1433333333334,971.22,0.0,0.019346969797042698,shared,full,binary,bet
cast19,llm,60,0.01,ai_robust_0.3,0.0,0.0,2404.5433333333335,971.22,0.0,0.019427486226526867,shared,full,binary,bet
cast19,llm,60,0.02,weighted_cv,0.0,0.0,2456.34,972.8566666666667,0.0,0.019800408458476464,shared,full,binary,bet
cast19,llm,60,0.02,ai_calib,0.0,0.0,2454.74,972.8566666666667,0.0,0.0219392748443832,shared,full,binary,bet
cast19,llm,60,0.02,ai_resid,0.0,0.0,2457.2266666666665,972.8566666666667,0.0,0.022378620611154042,shared,full,binary,bet
cast19,llm,60,0.02,ai_robust_0.5,0.0,0.0,2457.233333333333,972.8566666666667,0.0,0.019610046728070863,shared,full,binary,bet
cast19,llm,60,0.02,ai_robust_0.3,0.0,0.0,2455.56,972.8566666666667,0.0,0.01978436797577978,shared,full,binary,bet
cast19,llm,90,0.01,weighted_cv,0.0,0.0,3202.51,974.5066666666667,0.0,0.015528058520576735,shared,full,binary,bet
cast19,llm,90,0.01,ai_calib,0.0,0.0,3197.63,974.5066666666667,0.0,0.015575928672112598,shared,full,binary,bet
cast19,llm,90,0.01,ai_resid,0.0,0.0,3200.5266666666666,974.5066666666667,0.0,0.016142433122635823,shared,full,binary,bet
cast19,llm,90,0.01,ai_robust_0.5,0.0,0.0,3201.8933333333334,974.5066666666667,0.0,0.015367379893555444,shared,full,binary,bet
cast19,llm,90,0.01,ai_robust_0.3,0.0,0.0,3204.2766666666666,974.5066666666667,0.0,0.015418615195863659,shared,full,binary,bet
cast19,llm,90,0.02,weighted_cv,0.0,0.0,3175.2533333333336,975.8066666666666,0.0,0.015178956165377804,shared,full,binary,bet
cast19,llm,90,0.02,ai_calib,0.0,0.0,3170.556666666667,975.8066666666666,0.0,0.015356626040108885,shared,full,binary,bet
cast19,llm,90,0.02,ai_resid,0.0,0.0,3172.15,975.8066666666666,0.0,0.01647049669996281,shared,full,binary,bet
cast19,llm,90,0.02,ai_robust_0.5,0.0,0.0,3176.7433333333333,975.8066666666666,0.0,0.015125200520740307,shared,full,binary,bet
cast19,llm,90,0.02,ai_robust_0.3,0.0,0.0,3175.94,975.8066666666666,0.0,0.015197419817241566,shared,full,binary,bet
