collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,docs_pilot,dup_frac,var_est,sampling,pilot_cost,cv_pred,bound
dbpedia-entity,rr,120,0.01,weighted_cv,0.45666666666666667,0.0,4517.77,1028.5833333333333,0.0,0.03325049347355386,shared,full,binary,t
dbpedia-entity,rr,120,0.01,ai_calib,0.36666666666666664,0.0,4516.216666666666,1028.5833333333333,0.0,0.041552901569563906,shared,full,binary,t
dbpedia-entity,rr,120,0.01,ai_resid,0.4866666666666667,0.0,4519.036666666667,1028.5833333333333,0.0,0.03242343705715156,shared,full,binary,t
dbpedia-entity,rr,120,0.01,ai_robust_0.5,0.4633333333333333,0.0,4518.966666666666,1028.5833333333333,0.0,0.032092795167876685,shared,full,binary,t
dbpedia-entity,rr,120,0.01,ai_robust_0.3,0.44666666666666666,0.0,4522.98,1028.5833333333333,0.0,0.032029461886132315,shared,full,binary,t
dbpedia-entity,rr,120,0.02,weighted_cv,0.6566666666666666,0.0,4600.566666666667,1030.2833333333333,0.0,0.03412625538913544,shared,full,binary,t
dbpedia-entity,rr,120,0.02,ai_calib,0.57,0.0,4603.64,1030.2833333333333,0.0,0.04267673322745209,shared,full,binary,t
dbpedia-entity,rr,120,0.02,ai_resid,0.6433333333333333,0.0,4596.29,1030.2833333333333,0.0,0.032977559543330856,shared,full,binary,t
dbpedia-entity,rr,120,0.02,ai_robust_0.5,0.6433333333333333,0.0,4603.256666666667,1030.2833333333333,0.0,0.03311058869674563,shared,full,binary,t
dbpedia-entity,rr,120,0.02,ai_robust_0.3,0.6433333333333333,0.0,4599.42,1030.2833333333333,0.0,0.032766857365379695,shared,full,binary,t
dbpedia-entity,rr,150,0.01,weighted_cv,0.47333333333333333,0.0,5423.5233333333335,1026.34,0.0,0.02639044536580719,shared,full,binary,t
dbpedia-entity,rr,150,0.01,ai_calib,0.42,0.0,5418.376666666667,1026.34,0.0,0.03211252488617769,shared,full,binary,t
dbpedia-entity,rr,150,0.01,ai_resid,0.4666666666666667,0.0,5421.016666666666,1026.34,0.0,0.025831866389847555,shared,full,binary,t
dbpedia-entity,rr,150,0.01,ai_robust_0.5,0.45666666666666667,0.0,5415.553333333333,1026.34,0.0,0.02598268386384863,shared,full,binary,t
dbpedia-entity,rr,150,0.01,ai_robust_0.3,0.45,0.0,5417.2266666666665,1026.34,0.0,0.025814937358958595,shared,full,binary,t
dbpedia-entity,rr,150,0.02,weighted_cv,0.7,0.0,5348.006666666667,1026.76,0.0,0.02684444134306625,shared,full,binary,t
dbpedia-entity,rr,150,0.02,ai_calib,0.6266666666666667,0.0,5340.07,1026.76,0.0,0.032191129766416596,shared,full,binary,t
dbpedia-entity,rr,150,0.02,ai_resid,0.72,0.0,5335.29,1026.76,0.0,0.026132886928044927,shared,full,binary,t
dbpedia-entity,rr,150,0.02,ai_robust_0.5,0.6933333333333334,0.0,5339.553333333333,1026.76,0.0,0.026270194160782447,shared,full,binary,t
dbpedia-entity,rr,150,0.02,ai_robust_0.3,0.7166666666666667,0.0,5337.866666666667,1026.76,0.0,0.02597754078548558,shared,full,binary,t
