collection,judge,eps,method,pilot,J50_ref,J50,post_pilot_share,vr_pred_med,vr_pred_q25,vr_pred_q75,cost_ratio_obs,saving_pred_med,saving_obs,L_post_obs,L_post_pred_med,L_post_pred_q25,L_post_pred_q75,share_pred_med,saving_pred_pilot_med,frac_draws_recommend_pilot,L_post_pred_v2_med,saving_pred_v2_med,frac_draws_recommend_v2,L_post_pred_v3_med,saving_pred_v3_med,frac_draws_recommend_v3,L_post_pred_v4_med,saving_pred_v4_med,frac_draws_recommend_v4,slack_xfit_med,frac_draws_recommend,cell_truth,slack_pilot_med,slack_true_med
trec-covid,llm,0.02,active_cv,832.4444444444445,1136.3180952380953,1068.0149999999999,0.2674195298544283,0.8429687200921852,0.6370624382883276,1.062996389694288,0.7752253442846958,0.04199323104538699,0.06010913275457763,303.8736507936509,577.427422967395,355.9084569676914,939.6745837331213,0.40955951940137525,0.056337250063707885,0.5266666666666666,369.5535506991334,0.04211612310116705,0.45666666666666667,368.89749619789984,0.04197675425816494,0.46,378.08206024306065,0.04190758076723473,0.4266666666666667,0.10507787858296215,0.4633333333333333,1,0.1064577757540742,0.02
trec-covid,llm,0.02,active_judge,832.4444444444445,1136.3180952380953,1457.7835695538058,0.2674195298544283,4.091052792695194,3.71256047989509,4.467795574607238,2.057891901703598,-0.8266078845777663,-0.28290095499038337,303.8736507936509,577.427422967395,355.9084569676914,939.6745837331213,0.40955951940137525,-1.17811492728817,0.0,369.5535506991334,-0.8735843010683328,0.0,368.89749619789984,-0.8773744699357255,0.0,378.08206024306065,-0.8663781530231022,0.0,0.10507787858296215,0.0,0,0.1064577757540742,0.02
trec-covid,llm,0.02,strat_pilot,832.4444444444445,1136.3180952380953,1160.6427631578947,0.2674195298544283,1.0268153220259362,1.0078884161802968,1.067746837043221,1.0800486250001233,-0.007170940809070977,-0.021406565663026456,303.8736507936509,577.427422967395,355.9084569676914,939.6745837331213,0.40955951940137525,-0.011364675116459645,0.0,369.5535506991334,-0.008549914233807795,0.0,368.89749619789984,-0.008533803913551935,0.0,378.08206024306065,-0.009031063717990196,0.0,0.10507787858296215,0.0,0,0.1064577757540742,0.02
trec-covid,llm,0.02,uniform,832.4444444444445,1136.3180952380953,2114.372868217054,0.2674195298544283,3.9462171020837076,2.962630049152524,8.670210758492267,4.218623169282679,-0.7878759922883012,-0.8607226947081439,303.8736507936509,577.427422967395,355.9084569676914,939.6745837331213,0.40955951940137525,-1.3347088166186052,0.0,369.5535506991334,-1.0322004165551042,0.0,368.89749619789984,-1.0129636131831359,0.0,378.08206024306065,-1.0216793156546506,0.0,0.10507787858296215,0.0,0,0.1064577757540742,0.02
trec-covid,llm,0.02,uniform_nz,832.4444444444445,1136.3180952380953,1538.6104219409283,0.2674195298544283,2.1910023194228323,1.6564512335183093,4.235702032723333,2.3238802563240815,-0.3184972803155874,-0.3540314357297458,303.8736507936509,577.427422967395,355.9084569676914,939.6745837331213,0.40955951940137525,-0.5379822136776716,0.0,369.5535506991334,-0.40614114091494385,0.0,368.89749619789984,-0.408432304666441,0.0,378.08206024306065,-0.4126991233195781,0.0,0.10507787858296215,0.0,0,0.1064577757540742,0.02
trec-covid,llm,0.02,weighted_cv,832.4444444444445,1136.3180952380953,940.4949411764705,0.2674195298544283,0.25071404165373856,0.20728018069811163,0.28982061615144983,0.3555770513495397,0.20037369870748195,0.1723312819555105,303.8736507936509,577.427422967395,355.9084569676914,939.6745837331213,0.40955951940137525,0.3088492130535079,1.0,369.5535506991334,0.2306543497490744,1.0,368.89749619789984,0.2328050342868942,1.0,378.08206024306065,0.2297618369647177,0.9366666666666666,0.10507787858296215,1.0,1,0.1064577757540742,0.02
trec-covid,llm,0.02,weighted_cvl,832.4444444444445,1136.3180952380953,967.634367816092,0.2674195298544283,0.36563329201832107,0.25725105696418227,0.6216548413001188,0.4448886009647802,0.169642046803762,0.14844762934683242,303.8736507936509,577.427422967395,355.9084569676914,939.6745837331213,0.40955951940137525,0.21081454719495976,0.9533333333333334,369.5535506991334,0.153831092033468,0.9466666666666667,368.89749619789984,0.1541671387078021,0.9466666666666667,378.08206024306065,0.1541594314029452,0.8833333333333333,0.10507787858296215,0.8766666666666667,1,0.1064577757540742,0.02
webis-touche2020,llm,0.02,active_cv,379.29296296296303,476.3529032258064,447.3352380952381,0.20375637391010903,1.32210872952288,1.0682964435134632,1.551385367430664,0.701033556666252,-0.06563170673237408,0.060916318414486526,97.05994026284338,305.3276989906901,189.02266733396397,718.1245833569678,0.44598062557942003,-0.11949510921650124,0.11666666666666667,193.4208372198425,-0.08849809313643053,0.10333333333333333,95.56128565406706,-0.05800930001114727,0.043333333333333335,380.1986615961379,-0.0867154176825307,0.1,0.0367437879215204,0.056666666666666664,1,0.05663142296163225,0.02
webis-touche2020,llm,0.02,active_judge,379.29296296296303,476.3529032258064,636.57197740113,0.20375637391010903,4.6614626914303665,4.247080446956193,5.06570975629676,2.650722983565021,-0.7460463612129999,-0.33634532946128526,97.05994026284338,305.3276989906901,189.02266733396397,718.1245833569678,0.44598062557942003,-1.6205521096338045,0.0,193.4208372198425,-1.2329967747306445,0.0,95.56128565406706,-0.7033672299514884,0.0,380.1986615961379,-1.272135699383495,0.0,0.0367437879215204,0.0,0,0.05663142296163225,0.02
webis-touche2020,llm,0.02,strat_pilot,379.29296296296303,476.3529032258064,474.19492063492066,0.20375637391010903,1.0109619883708878,1.0030185286548312,1.0208073799759525,0.9777664957855752,-0.0022335750012968812,0.004530218198046332,97.05994026284338,305.3276989906901,189.02266733396397,718.1245833569678,0.44598062557942003,-0.004308576569597257,0.0033333333333333335,193.4208372198425,-0.003255927989593061,0.0033333333333333335,95.56128565406706,-0.0021741995429776545,0.0,380.1986615961379,-0.0038552079739643643,0.0033333333333333335,0.0367437879215204,0.0,0,0.05663142296163225,0.02
