collection,judge,eps,method,pilot,J50_ref,J50,post_pilot_share,vr_pred_med,vr_pred_q25,vr_pred_q75,cost_ratio_obs,saving_pred_med,saving_obs,L_post_obs,L_post_pred_med,L_post_pred_q25,L_post_pred_q75,share_pred_med,saving_pred_pilot_med,frac_draws_recommend_pilot,L_post_pred_v2_med,saving_pred_v2_med,frac_draws_recommend_v2,L_post_pred_v3_med,saving_pred_v3_med,frac_draws_recommend_v3,frac_draws_recommend,cell_truth,slack_pilot_med,slack_true_med
trec-covid,rr,0.02,active_cv,832.4444444444445,1136.3180952380953,994.3660273972603,0.2674195298544283,0.4622803015337057,0.36487578039613633,0.5834462497093039,0.5328582538496259,0.14379674895732136,0.12492282613090966,303.8736507936509,577.427422967395,355.9084569676914,939.6745837331213,0.40955951940137525,0.2020772367545855,0.9566666666666667,369.5535506991334,0.15297840356621628,0.93,368.89749619789984,0.1520326105997875,0.9333333333333333,0.9533333333333334,1,0.1064577757540742,0.02
trec-covid,rr,0.02,active_judge,832.4444444444445,1136.3180952380953,1476.8224806201551,0.2674195298544283,2.344771330049958,2.2044153191042897,2.4964529148215826,2.120545939053082,-0.35961811684367406,-0.29965586820186396,303.8736507936509,577.427422967395,355.9084569676914,939.6745837331213,0.40955951940137525,-0.5371977397752383,0.0,369.5535506991334,-0.4033641754372075,0.0,368.89749619789984,-0.40829200655351994,0.0,0.0,0,0.1064577757540742,0.02
trec-covid,rr,0.02,strat_pilot,832.4444444444445,1136.3180952380953,1160.6427631578947,0.2674195298544283,1.0268153220259362,1.0078884161802968,1.067746837043221,1.0800486250001233,-0.007170940809070977,-0.021406565663026456,303.8736507936509,577.427422967395,355.9084569676914,939.6745837331213,0.40955951940137525,-0.011364675116459645,0.0,369.5535506991334,-0.008549914233807795,0.0,368.89749619789984,-0.008533803913551935,0.0,0.0,0,0.1064577757540742,0.02
trec-covid,rr,0.02,uniform,832.4444444444445,1136.3180952380953,2114.372868217054,0.2674195298544283,3.9462171020837076,2.962630049152524,8.670210758492267,4.218623169282679,-0.7878759922883012,-0.8607226947081439,303.8736507936509,577.427422967395,355.9084569676914,939.6745837331213,0.40955951940137525,-1.3347088166186052,0.0,369.5535506991334,-1.0322004165551042,0.0,368.89749619789984,-1.0129636131831359,0.0,0.0,0,0.1064577757540742,0.02
trec-covid,rr,0.02,uniform_nz,832.4444444444445,1136.3180952380953,1538.6104219409283,0.2674195298544283,2.1910023194228323,1.6564512335183093,4.235702032723333,2.3238802563240815,-0.3184972803155874,-0.3540314357297458,303.8736507936509,577.427422967395,355.9084569676914,939.6745837331213,0.40955951940137525,-0.5379822136776716,0.0,369.5535506991334,-0.40614114091494385,0.0,368.89749619789984,-0.408432304666441,0.0,0.0,0,0.1064577757540742,0.02
trec-covid,rr,0.02,weighted_cv,832.4444444444445,1136.3180952380953,989.8644736842106,0.2674195298544283,0.38336876510303,0.3424170512348476,0.4280611880892293,0.518044354384198,0.16489923492970326,0.12888435216126526,303.8736507936509,577.427422967395,355.9084569676914,939.6745837331213,0.40955951940137525,0.25356221736422174,1.0,369.5535506991334,0.19145354326192265,0.9933333333333333,368.89749619789984,0.18974282941879872,0.9933333333333333,1.0,1,0.1064577757540742,0.02
trec-covid,rr,0.02,weighted_cvl,832.4444444444445,1136.3180952380953,1074.1579545454547,0.2674195298544283,0.706865975594648,0.4369123394254394,1.0,0.7954408336152473,0.07838976299081571,0.054703116102024274,303.8736507936509,577.427422967395,355.9084569676914,939.6745837331213,0.40955951940137525,0.11000805759954228,0.6133333333333333,369.5535506991334,0.08435484874510582,0.5966666666666667,368.89749619789984,0.08514399469795504,0.5966666666666667,0.5433333333333333,1,0.1064577757540742,0.02
webis-touche2020,rr,0.02,active_cv,379.29296296296303,476.3529032258064,475.07716049382714,0.20375637391010903,1.60618853034357,1.3139552371374883,1.9912355895746736,0.9868561352034165,-0.12351477684870393,0.0026781462301165293,97.05994026284338,305.3276989906901,189.02266733396397,718.1245833569678,0.44598062557942003,-0.24749328086765204,0.02666666666666667,193.4208372198425,-0.1904604360870492,0.02,95.56128565406706,-0.11086828745977004,0.01,0.01,0,0.05663142296163225,0.02
webis-touche2020,rr,0.02,active_judge,379.29296296296303,476.3529032258064,546.5045098039216,0.20375637391010903,2.4636280922659273,2.1678503981462707,2.849278004931384,1.722765812426228,-0.29822355283307583,-0.14726814112616227,97.05994026284338,305.3276989906901,189.02266733396397,718.1245833569678,0.44598062557942003,-0.6774607028065791,0.0,193.4208372198425,-0.5237507425972598,0.0,95.56128565406706,-0.30011880115839307,0.0,0.0,0,0.05663142296163225,0.02
webis-touche2020,rr,0.02,strat_pilot,379.29296296296303,476.3529032258064,474.19492063492066,0.20375637391010903,1.0109619883708878,1.0030185286548312,1.0208073799759525,0.9777664957855752,-0.0022335750012968812,0.004530218198046332,97.05994026284338,305.3276989906901,189.02266733396397,718.1245833569678,0.44598062557942003,-0.004308576569597257,0.0033333333333333335,193.4208372198425,-0.003255927989593061,0.0033333333333333335,95.56128565406706,-0.0021741995429776545,0.0,0.0,0,0.05663142296163225,0.02
webis-touche2020,rr,0.02,uniform,379.29296296296303,476.3529032258064,599.6121839080461,0.20375637391010903,1.8057350490041137,1.5392548362073633,2.3072959662906998,2.269929492522323,-0.16417365191736222,-0.2587562285178533,97.05994026284338,305.3276989906901,189.02266733396397,718.1245833569678,0.44598062557942003,-0.37119962065263823,0.0,193.4208372198425,-0.2879187195658197,0.0,95.56128565406706,-0.15898241174426164,0.0,0.0,0,0.05663142296163225,0.02
webis-touche2020,rr,0.02,uniform_nz,379.29296296296303,476.3529032258064,508.5864705882353,0.20375637391010903,1.2647887147550763,1.1605883918720747,1.5561484348880106,1.3320996002587542,-0.053952388370812523,-0.06766741032572043,97.05994026284338,305.3276989906901,189.02266733396397,718.1245833569678,0.44598062557942003,-0.128320869396907,0.0,193.4208372198425,-0.09929379848533354,0.0,95.56128565406706,-0.059692453622737465,0.0,0.0,0,0.05663142296163225,0.02
webis-touche2020,rr,0.02,weighted_cv,379.29296296296303,476.3529032258064,468.48761904761903,0.20375637391010903,0.847678165371138,0.7750424989513202,0.9017123399613904,0.9189646711414845,0.03103654469131219,0.016511464766824302,97.05994026284338,305.3276989906901,189.02266733396397,718.1245833569678,0.44598062557942003,0.06678623773455108,0.6166666666666667,193.4208372198425,0.05106699854698363,0.51,95.56128565406706,0.029528314143299414,0.25,0.19,0,0.05663142296163225,0.02
webis-touche2020,rr,0.02,weighted_cvl,379.29296296296303,476.3529032258064,474.96971631205673,0.20375637391010903,0.7888083645804127,0.7404771780308617,0.8434063920198983,0.9857491472794653,0.04303164183324087,0.0029037020754631993,97.05994026284338,305.3276989906901,189.02266733396397,718.1245833569678,0.44598062557942003,0.09150712689214305,0.8333333333333334,193.4208372198425,0.06970875094049986,0.6833333333333333,95.56128565406706,0.03974606910413388,0.36333333333333334,0.31666666666666665,0,0.05663142296163225,0.02
