collection,judge,budget_full_eq,eps,method,act,wrong,feasible_frac,act_feasible,slack_q25,slack_med,slack_lt_half_eps,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
cast19,llm,120,0.01,static_sum,0.53,0.0,0.8533333333333334,0.62109375,0.008523535883341862,0.01,0.1484375,4441.8533333333335,974.6466666666666,3467.206666666667,0.0,4800.877788424234,0.5990136063088576,full,t,False
cast19,llm,120,0.01,per_pair,0.03666666666666667,0.0,0.8533333333333334,0.04296875,0.008523535883341862,0.01,0.1484375,3994.9166666666665,974.6466666666666,3020.27,0.0,,0.5990136063088576,full,t,False
cast19,llm,120,0.01,adaptive,0.5766666666666667,0.0,0.8533333333333334,0.67578125,0.008523535883341862,0.01,0.1484375,4440.233333333334,974.6466666666666,3465.586666666667,0.0,4415.266400016251,0.5990136063088576,full,t,False
cast19,llm,120,0.01,oracle,0.62,0.0,0.8533333333333334,0.7265625,0.008523535883341862,0.01,0.1484375,4436.303333333333,974.6466666666666,3461.6566666666668,0.0,3853.590884346747,0.5990136063088576,full,t,False
cast19,llm,120,0.01,static_sum_v,0.5166666666666667,0.0,0.8533333333333334,0.60546875,0.008523535883341862,0.01,0.1484375,4432.846666666666,974.6466666666666,3458.2,0.0,4351.471620282077,0.5990136063088576,full,t,False
cast19,llm,120,0.01,oracle_exact,0.8,0.0,0.8533333333333334,0.9375,0.008523535883341862,0.01,0.1484375,4702.29,974.6466666666666,3727.6433333333334,0.0,365.0944569547059,0.5990136063088576,full,t,False
cast19,llm,120,0.01,plugin_exact,0.7333333333333333,0.0,0.8533333333333334,0.859375,0.008523535883341862,0.01,0.1484375,4700.633333333333,974.6466666666666,3725.9866666666667,0.0,1597.1795406558215,0.5990136063088576,full,t,False
cast19,llm,120,0.02,static_sum,0.86,0.0,0.9166666666666666,0.9381818181818182,0.017337507535402818,0.02,0.07272727272727272,4430.796666666667,975.8566666666667,3454.9400000000005,0.0,2465.3867655949707,0.6045792972363208,full,t,False
cast19,llm,120,0.02,per_pair,0.06,0.0,0.9166666666666666,0.06545454545454546,0.017337507535402818,0.02,0.07272727272727272,3988.31,975.8566666666667,3012.4533333333334,0.0,,0.6045792972363208,full,t,False
cast19,llm,120,0.02,adaptive,0.8666666666666667,0.0,0.9166666666666666,0.9454545454545454,0.017337507535402818,0.02,0.07272727272727272,4424.876666666667,975.8566666666667,3449.0200000000004,0.0,2278.9418178157503,0.6045792972363208,full,t,False
cast19,llm,120,0.02,oracle,0.8866666666666667,0.0,0.9166666666666666,0.9672727272727273,0.017337507535402818,0.02,0.07272727272727272,4426.1033333333335,975.8566666666667,3450.246666666667,0.0,2021.2927991149215,0.6045792972363208,full,t,False
cast19,llm,120,0.02,static_sum_v,0.87,0.0,0.9166666666666666,0.9490909090909091,0.017337507535402818,0.02,0.07272727272727272,4420.596666666666,975.8566666666667,3444.74,0.0,2237.211272359539,0.6045792972363208,full,t,False
cast19,llm,120,0.02,oracle_exact,0.91,0.0,0.9166666666666666,0.9927272727272727,0.017337507535402818,0.02,0.07272727272727272,4687.14,975.8566666666667,3711.2833333333338,0.0,237.34411421343182,0.6045792972363208,full,t,False
cast19,llm,120,0.02,plugin_exact,0.9,0.0,0.9166666666666666,0.9818181818181818,0.017337507535402818,0.02,0.07272727272727272,4689.206666666667,975.8566666666667,3713.3500000000004,0.0,2207.83101266008,0.6045792972363208,full,t,False
