collection,judge,pair,n0,n_queries,rho,true_gain,p_use_judge,cover_gain_lcb,med_T_ratio,med_T_human,med_T_ppi
trec-covid,llm,glob_probe_vs_trunc,20,50,0.8321064443621883,3.250987285613923,1.0,0.8766666666666667,,,
trec-covid,llm,glob_probe_vs_trunc,30,50,0.8321064443621883,3.250987285613923,1.0,0.92,,,
trec-covid,llm,glob_probe_vs_ad_probe,20,50,0.7317255822837736,2.1524925965485426,0.36,0.9866666666666667,1.0016342713216657,13.14090093664413,11.293441314037349
trec-covid,llm,glob_probe_vs_ad_probe,30,50,0.7317255822837736,2.1524925965485426,0.5133333333333333,1.0,0.9380531138718176,31.37944879762628,24.432880678370076
trec-covid,llm,trunc_vs_ad_probe,20,50,0.8359810801359576,3.3207627668089286,1.0,0.9033333333333333,,,
trec-covid,llm,trunc_vs_ad_probe,30,50,0.8359810801359576,3.3207627668089286,1.0,0.8933333333333333,,,
webis-touche2020,llm,glob_probe_vs_trunc,20,49,0.8059516185410986,2.8535393377881317,0.78,0.9233333333333333,1.6049892194585564,63.75012285257012,93.58218243144307
webis-touche2020,llm,glob_probe_vs_trunc,30,49,0.8059516185410986,2.8535393377881317,0.95,0.9666666666666667,2.7929647108587674,92.86320944778701,328.2976410823388
webis-touche2020,llm,glob_probe_vs_ad_probe,20,49,0.6898444372597287,1.9079794763522802,0.31333333333333335,0.89,1.1385976115051362,28.838363930489688,30.99391196983885
webis-touche2020,llm,glob_probe_vs_ad_probe,30,49,0.6898444372597287,1.9079794763522802,0.36333333333333334,0.96,0.9869485513092038,32.06533408915324,30.56648690484979
webis-touche2020,llm,trunc_vs_ad_probe,20,49,0.7326428144172166,2.1587338292059792,0.61,0.94,1.8070000156564818,74.35873927385921,133.37586313267974
webis-touche2020,llm,trunc_vs_ad_probe,30,49,0.7326428144172166,2.1587338292059792,0.8133333333333334,0.95,2.5406109171101328,97.95186693471261,281.1363836315257
dbpedia-entity,llm,glob_probe_vs_trunc,20,399,0.6352478929955654,1.676558039309974,0.66,0.84,1.4911301763930913,620.4331945080305,970.7993105237933
dbpedia-entity,llm,glob_probe_vs_trunc,30,399,0.6352478929955654,1.676558039309974,0.7433333333333333,0.8466666666666667,1.552807124086678,625.792156514218,1006.4851415705255
dbpedia-entity,llm,glob_probe_vs_ad_probe,20,399,0.5342616662509991,1.3994538480712455,0.5366666666666666,0.7933333333333333,0.943695869253201,191.6962715593762,169.86737565561486
dbpedia-entity,llm,glob_probe_vs_ad_probe,30,399,0.5342616662509991,1.3994538480712455,0.61,0.8533333333333334,0.8969458355758935,190.18162480807808,160.3182235035718
dbpedia-entity,llm,trunc_vs_ad_probe,20,399,0.5668990947251701,1.4735669720494133,0.5033333333333333,0.81,1.0839429115860861,350.0541747706529,370.77846985894513
dbpedia-entity,llm,trunc_vs_ad_probe,30,399,0.5668990947251701,1.4735669720494133,0.61,0.8366666666666667,1.0512250712115532,370.0115945524653,395.83355550356583
