collection,method,act_rate,mean_T,wrong_cert_rate
dbpedia-entity,loo_boot,1.0,71.29333333333334,0.01
dbpedia-entity,loo_sim,1.0,81.54,0.01
dbpedia-entity,recal_bp,0.006666666666666667,395.98,0.0033333333333333335
dbpedia-entity,recal_bpu,0.0,398.0,0.0
dbpedia-entity,recal_bpx,0.006666666666666667,395.98,0.0033333333333333335
dbpedia-entity,recal_bpxu,0.0,398.0,0.0
dbpedia-entity,recal_ep,0.02,391.46666666666664,0.016666666666666666
dbpedia-entity,split_auto,0.94,142.24,0.0
dbpedia-entity,split_fp,1.0,217.78666666666666,0.0
dbpedia-entity,split_fp_ppi,1.0,271.7,0.0
dbpedia-entity,split_ppi,0.9333333333333333,126.76333333333334,0.0
dbpedia-entity,split_t,0.94,142.24,0.0
