collection,method,act_rate,mean_T,wrong_cert_rate
arguana,loo_boot,0.91,51.28,0.042
arguana,loo_sim,0.838,58.8,0.036
arguana,recal_bp,0.314,69.92,0.17
arguana,recal_bpu,0.224,73.0,0.142
arguana,recal_bpx,0.204,78.6,0.096
arguana,recal_bpxu,0.124,80.8,0.072
arguana,recal_ep,0.348,68.92,0.176
arguana,split_ppi,0.278,84.68,0.004
arguana,split_t,0.28,84.88,0.002
cqadupstack-android,loo_boot,0.732,54.56,0.146
cqadupstack-android,loo_sim,0.594,63.4,0.112
cqadupstack-android,recal_bp,0.018,89.52,0.006
cqadupstack-android,recal_bpu,0.002,89.84,0.002
cqadupstack-android,recal_bpx,0.006,90.0,0.002
cqadupstack-android,recal_bpxu,0.0,90.0,0.0
cqadupstack-android,recal_ep,0.076,87.24,0.04
cqadupstack-android,split_ppi,0.086,88.0,0.008
cqadupstack-android,split_t,0.094,88.0,0.004
nfcorpus,loo_boot,0.832,47.04,0.028
nfcorpus,loo_sim,0.706,55.32,0.014
nfcorpus,recal_bp,0.534,77.8,0.0
nfcorpus,recal_bpu,0.002,89.84,0.0
nfcorpus,recal_bpx,0.456,80.48,0.002
nfcorpus,recal_bpxu,0.0,90.0,0.0
nfcorpus,recal_ep,0.756,62.48,0.006
nfcorpus,split_ppi,0.246,84.72,0.004
nfcorpus,split_t,0.254,85.04,0.002
scifact,loo_boot,0.878,43.16,0.18
scifact,loo_sim,0.792,49.88,0.156
scifact,recal_bp,0.006,89.68,0.006
scifact,recal_bpu,0.002,89.84,0.002
scifact,recal_bpx,0.002,89.96,0.002
scifact,recal_bpxu,0.0,90.0,0.0
scifact,recal_ep,0.054,87.44,0.042
scifact,split_ppi,0.22,85.8,0.008
scifact,split_t,0.244,85.72,0.002
