collection,judge,pair,T,n_queries,judge_acc,rho,true_gap,se_human,se_ppi,ess_gain,theory_gain,lam_mean
trec-covid,mistral,glob_probe_vs_trunc,10,50,0.7358943577430972,0.647216527537207,0.4881026339362681,0.05697027571235019,0.05847541077413908,0.9491832810694818,1.7208423207381847,0.5747455012099515
trec-covid,mistral,glob_probe_vs_trunc,30,50,0.7358943577430972,0.647216527537207,0.4881026339362681,0.033577852096129075,0.040619165286465385,0.6833510004086099,1.7208423207381847,0.5547360058187536
trec-covid,mistral,glob_probe_vs_ad_probe,10,50,0.7358943577430972,0.7814789364076098,0.016193995523809544,0.010725945433833551,0.009692811252195753,1.2245362747105981,2.5687746253659953,0.5147073126101509
trec-covid,mistral,glob_probe_vs_ad_probe,30,50,0.7358943577430972,0.7814789364076098,0.016193995523809544,0.0067282680567504445,0.007311373076945427,0.8468542683374615,2.5687746253659953,0.6227272386639613
trec-covid,mistral,trunc_vs_ad_probe,10,50,0.7358943577430972,0.6642161911617213,-0.47190863841245856,0.05776001539192593,0.05802828987120235,0.990775039519504,1.7894950689070737,0.6406991469426394
trec-covid,mistral,trunc_vs_ad_probe,30,50,0.7358943577430972,0.6642161911617213,-0.47190863841245856,0.0337663077510467,0.04121668873334167,0.6711520974610214,1.7894950689070737,0.593972154370009
webis-touche2020,mistral,glob_probe_vs_trunc,10,49,0.5123789020452099,-0.5294137095298074,0.049822847875753896,0.028758882049378418,0.02906142367507088,0.9792875368829165,1.389427052269022,0.17857831847965056
webis-touche2020,mistral,glob_probe_vs_trunc,30,49,0.5123789020452099,-0.5294137095298074,0.049822847875753896,0.01832948683383782,0.018898036645096823,0.9407348630488219,1.389427052269022,0.2516877282665851
webis-touche2020,mistral,glob_probe_vs_ad_probe,10,49,0.5123789020452099,0.2505571637449565,0.006155759102015275,0.0125266878269563,0.012516813652304897,1.0015783680511705,1.0669840785577724,0.21115940847275344
webis-touche2020,mistral,glob_probe_vs_ad_probe,30,49,0.5123789020452099,0.2505571637449565,0.006155759102015275,0.00759265584608392,0.007557501911604231,1.0093246934379736,1.0669840785577724,0.5457390541003015
webis-touche2020,mistral,trunc_vs_ad_probe,10,49,0.5123789020452099,-0.452288125378167,-0.043667088773738615,0.0252696001675633,0.02579045991620594,0.9600162112034335,1.2571730338845761,0.3039121441899752
webis-touche2020,mistral,trunc_vs_ad_probe,30,49,0.5123789020452099,-0.452288125378167,-0.043667088773738615,0.015491497205321003,0.01663508018932874,0.8672353827927157,1.2571730338845761,0.5315787568177132
dbpedia-entity,mistral,glob_probe_vs_trunc,10,399,0.7454916638312351,0.6599589130650421,0.05922475115395465,0.06395388809116004,0.05312627291995233,1.4491562269291238,1.7716228197425143,0.6561177823123815
dbpedia-entity,mistral,glob_probe_vs_trunc,30,399,0.7454916638312351,0.6599589130650421,0.05922475115395465,0.03713895931056139,0.029726727926792873,1.560864644499182,1.7716228197425143,0.725360644749465
dbpedia-entity,mistral,glob_probe_vs_trunc,90,399,0.7454916638312351,0.6599589130650421,0.05922475115395465,0.02186061309155531,0.018261224307708813,1.4330617139674973,1.7716228197425143,0.7648032041075135
dbpedia-entity,mistral,glob_probe_vs_ad_probe,10,399,0.7454916638312351,0.5523568346664206,0.01485148112080158,0.03321517592795762,0.029629768937677638,1.2566565079398442,1.439051988290264,0.5339340487209153
dbpedia-entity,mistral,glob_probe_vs_ad_probe,30,399,0.7454916638312351,0.5523568346664206,0.01485148112080158,0.019533831218897693,0.01703068427867204,1.3155600176790843,1.439051988290264,0.5616255407263873
dbpedia-entity,mistral,glob_probe_vs_ad_probe,90,399,0.7454916638312351,0.5523568346664206,0.01485148112080158,0.011333537796088691,0.010190905610589173,1.2368169725340965,1.439051988290264,0.5505733266945466
dbpedia-entity,mistral,trunc_vs_ad_probe,10,399,0.7454916638312351,0.6330570822859565,-0.04437327003315306,0.045543296023124444,0.03900334754660392,1.363468628493244,1.6687839904019757,0.6036105597776759
dbpedia-entity,mistral,trunc_vs_ad_probe,30,399,0.7454916638312351,0.6330570822859565,-0.04437327003315306,0.027257333457192744,0.022266298757367537,1.4985480422190682,1.6687839904019757,0.6945268270647762
dbpedia-entity,mistral,trunc_vs_ad_probe,90,399,0.7454916638312351,0.6330570822859565,-0.04437327003315306,0.016183845802476716,0.013763243936681314,1.3826805356077756,1.6687839904019757,0.7322472503797723
