collection,judge,pair,T,n_queries,judge_acc,rho,true_gap,se_human,se_ppi,ess_gain,mc_var_human,mc_var_ppi,mc_mse_human,mc_mse_ppi,mc_gain,cover90_human,cover90_ppi,theory_gain,lam_mean
nfcorpus,rr,glob_probe_vs_trunc,10,323,0.8677490880480653,0.10528677672857746,0.020940517870523135,0.026580683182322828,0.028385586955579988,0.8768726413994592,0.0009131964962004787,0.0009977549712237696,0.0009129220244417417,0.0009958067047384958,0.9167662962075356,0.89,0.884,1.0112095668250336,0.2330255343592746
nfcorpus,rr,glob_probe_vs_trunc,30,323,0.8677490880480653,0.10528677672857746,0.020940517870523135,0.01664322376401225,0.017183257818331937,0.9381318739000956,0.00029451007184625746,0.00030689216578972414,0.00029539445324199524,0.0003072077569119722,0.9615462064215977,0.904,0.906,1.0112095668250336,0.1858849215539946
nfcorpus,rr,glob_probe_vs_trunc,90,323,0.8677490880480653,0.10528677672857746,0.020940517870523135,0.01006306334894436,0.010232290754425357,0.9671963941822317,7.313131147076461e-05,7.829879242471764e-05,7.319700793481221e-05,7.833408313334552e-05,0.9344209443316184,0.948,0.944,1.0112095668250336,0.13635231325862424
nfcorpus,rr,glob_probe_vs_ad_probe,10,323,0.8677490880480653,0.09069226353755191,0.0065993088350575655,0.01466077512216596,0.01582878520318312,0.8578644935429223,0.0003480996629172945,0.0003626727725317474,0.0003475799731343477,0.0003627981360755732,0.9580533596290158,0.816,0.808,1.0082932997749572,0.22387061238005673
nfcorpus,rr,glob_probe_vs_ad_probe,30,323,0.8677490880480653,0.09069226353755191,0.0065993088350575655,0.009267037298683577,0.009603539989001698,0.9311488769123498,9.457460707744328e-05,0.00010027768268627597,9.439100564845994e-05,0.00010008354997211896,0.9431220782511728,0.888,0.892,1.0082932997749572,0.15338185706021149
nfcorpus,rr,glob_probe_vs_ad_probe,90,323,0.8677490880480653,0.09069226353755191,0.0065993088350575655,0.005996831045328372,0.006098687383693876,0.9668762267626679,3.056965435715963e-05,3.206353541490197e-05,3.0604539006525374e-05,3.209116582572073e-05,0.9536748889937853,0.918,0.906,1.0082932997749572,0.12089289392949043
nfcorpus,rr,trunc_vs_ad_probe,10,323,0.8677490880480653,0.08990347482469281,-0.014341209035465569,0.024951590699180903,0.02721563194995521,0.8405424067235722,0.0008070465212461263,0.0009322934480557518,0.0008061912204273977,0.0009304368636707054,0.8664652615405403,0.924,0.916,1.0081484961036111,0.2420425279495353
nfcorpus,rr,trunc_vs_ad_probe,30,323,0.8677490880480653,0.08990347482469281,-0.014341209035465569,0.015828537616608063,0.01648640337954801,0.9217852234262767,0.0002494141592902786,0.00029259204243254483,0.00024934893944140773,0.00029286616421064635,0.8514091756330768,0.922,0.916,1.0081484961036111,0.17867171381946026
nfcorpus,rr,trunc_vs_ad_probe,90,323,0.8677490880480653,0.08990347482469281,-0.014341209035465569,0.009530779702293898,0.009728031344449151,0.9598578918042662,6.911379519864009e-05,7.449818859536902e-05,6.949668531157253e-05,7.466747891330622e-05,0.9307490533095765,0.936,0.93,1.0081484961036111,0.12349867916416143
scifact,rr,glob_probe_vs_trunc,10,300,0.9084563222975668,0.24272193400652717,0.31712252990433665,0.11775766174571543,0.1165356967061238,1.0210814658300602,0.012940190132139862,0.012606489790070301,0.012939526916487008,0.012600906431763677,1.0268727084481601,0.906,0.914,1.062602071776071,0.5221120249089467
