collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound
antique,inv,5,0.01,uniform,0.013333333333333334,0.0,0.5264300749550271,728.2233333333334,629.4733333333334,0.0,shared,full,t
antique,inv,5,0.01,weighted,0.18666666666666668,0.0,0.1298185994359951,728.27,629.4733333333334,0.0,shared,full,t
antique,inv,5,0.01,active_judge,0.056666666666666664,0.0,0.3466040873605649,728.5033333333333,629.4733333333334,0.0,shared,full,t
antique,inv,5,0.01,strat_pilot,0.10666666666666667,0.0,0.1294089116619406,727.4133333333333,629.4733333333334,0.0,shared,full,t
antique,inv,5,0.01,weighted_cv,0.12666666666666668,0.0,0.17022317017338348,728.09,629.4733333333334,0.0,shared,full,t
antique,inv,5,0.01,active_cv,0.01,0.0,0.4929911262285045,728.1933333333334,629.4733333333334,0.0,shared,full,t
antique,inv,5,0.01,weighted_cvl,0.15,0.0,0.12987108792147892,727.85,629.4733333333334,0.0,shared,full,t
antique,inv,5,0.02,uniform,0.043333333333333335,0.0,0.5487369324969723,731.45,630.4733333333334,0.0,shared,full,t
antique,inv,5,0.02,weighted,0.22333333333333333,0.0,0.12935904748319174,728.7033333333334,630.4733333333334,0.0,shared,full,t
antique,inv,5,0.02,active_judge,0.03666666666666667,0.0,0.42065788865559844,730.21,630.4733333333334,0.0,shared,full,t
antique,inv,5,0.02,strat_pilot,0.18,0.0,0.13198497926950598,730.05,630.4733333333334,0.0,shared,full,t
antique,inv,5,0.02,weighted_cv,0.14333333333333334,0.0,0.17085757569263713,729.98,630.4733333333334,0.0,shared,full,t
antique,inv,5,0.02,active_cv,0.01,0.0,0.49328475179837983,729.9966666666667,630.4733333333334,0.0,shared,full,t
antique,inv,5,0.02,weighted_cvl,0.21,0.0,0.1288444859768562,730.1733333333333,630.4733333333334,0.0,shared,full,t
antique,inv,10,0.01,uniform,0.03333333333333333,0.0,0.5202579233866419,833.1233333333333,632.2933333333333,0.0,shared,full,t
antique,inv,10,0.01,weighted,0.30333333333333334,0.0,0.12910232823449988,831.6933333333334,632.2933333333333,0.0,shared,full,t
antique,inv,10,0.01,active_judge,0.09333333333333334,0.0,0.39467019770496203,833.28,632.2933333333333,0.0,shared,full,t
antique,inv,10,0.01,strat_pilot,0.29333333333333333,0.0,0.1287664040431152,832.9033333333333,632.2933333333333,0.0,shared,full,t
antique,inv,10,0.01,weighted_cv,0.22666666666666666,0.0,0.17281401772372246,831.27,632.2933333333333,0.0,shared,full,t
antique,inv,10,0.01,active_cv,0.06,0.0,0.5361822796301168,832.71,632.2933333333333,0.0,shared,full,t
