collection,judge,budget_full_eq,eps,method,draw,docs,pilot,act,wrong,regret,v_pilot,v_pilot_ref,slack_pilot,slack_true,n_queries,b,n_sampled
antique,inv,30,0.01,uniform,0,1116,619,0,0,0.0,0.5595738556315251,0.10832056365780093,0.049126497679718155,0.01,200,4,132
antique,inv,30,0.01,uniform_nz,0,1168,619,1,0,0.0,0.34700684605919097,0.10832056365780093,0.049126497679718155,0.01,200,4,132
antique,inv,30,0.01,weighted,0,1113,619,1,0,0.0,0.10832056365780093,0.10832056365780093,0.049126497679718155,0.01,200,4,132
antique,inv,30,0.01,active_judge,0,1151,619,0,0,0.0,0.3573145156190968,0.10832056365780093,0.049126497679718155,0.01,200,4,132
antique,inv,30,0.01,strat_pilot,0,1131,619,1,0,0.0,0.10833659357756416,0.10832056365780093,0.049126497679718155,0.01,200,4,132
antique,inv,30,0.01,weighted_cv,0,1136,619,1,0,0.0,0.12091023770599496,0.10832056365780093,0.049126497679718155,0.01,200,4,132
antique,inv,30,0.01,active_cv,0,1128,619,0,0,0.0,0.416108246028884,0.10832056365780093,0.049126497679718155,0.01,200,4,132
antique,inv,30,0.01,weighted_cvl,0,1173,619,1,0,0.0,0.10832056365780093,0.10832056365780093,0.049126497679718155,0.01,200,4,132
antique,inv,30,0.01,uniform,1,1141,644,0,0,0.0,0.5628129050497217,0.06647603450710379,0.012044324139912351,0.01,200,4,132
antique,inv,30,0.01,uniform_nz,1,1171,644,0,0,0.0,0.3098333499210101,0.06647603450710379,0.012044324139912351,0.01,200,4,132
antique,inv,30,0.01,weighted,1,1142,644,1,0,0.0,0.06647603450710379,0.06647603450710379,0.012044324139912351,0.01,200,4,132
antique,inv,30,0.01,active_judge,1,1204,644,0,0,0.0,0.3375297256144348,0.06647603450710379,0.012044324139912351,0.01,200,4,132
antique,inv,30,0.01,strat_pilot,1,1169,644,1,0,0.0,0.06651404826987425,0.06647603450710379,0.012044324139912351,0.01,200,4,132
antique,inv,30,0.01,weighted_cv,1,1138,644,1,0,0.0,0.07496132020842938,0.06647603450710379,0.012044324139912351,0.01,200,4,132
antique,inv,30,0.01,active_cv,1,1164,644,1,0,0.0,0.3471492118350224,0.06647603450710379,0.012044324139912351,0.01,200,4,132
antique,inv,30,0.01,weighted_cvl,1,1139,644,1,0,0.0,0.06647603450710379,0.06647603450710379,0.012044324139912351,0.01,200,4,132
antique,inv,30,0.01,uniform,2,1334,604,0,0,0.0,0.5800420606116548,0.1546174283742269,0.09656961706594058,0.01,200,5,149
antique,inv,30,0.01,uniform_nz,2,1334,604,0,0,0.0,0.4751213392643335,0.1546174283742269,0.09656961706594058,0.01,200,5,149
antique,inv,30,0.01,weighted,2,1308,604,1,0,0.0,0.1546174283742269,0.1546174283742269,0.09656961706594058,0.01,200,5,149
antique,inv,30,0.01,active_judge,2,1313,604,0,0,0.0,0.6840266951184332,0.1546174283742269,0.09656961706594058,0.01,200,5,149
antique,inv,30,0.01,strat_pilot,2,1309,604,1,0,0.0,0.15467003468401946,0.1546174283742269,0.09656961706594058,0.01,200,5,149
antique,inv,30,0.01,weighted_cv,2,1330,604,1,0,0.0,0.21418692175049908,0.1546174283742269,0.09656961706594058,0.01,200,5,149
antique,inv,30,0.01,active_cv,2,1354,604,1,0,0.0,0.8632043260403165,0.1546174283742269,0.09656961706594058,0.01,200,5,149
antique,inv,30,0.01,weighted_cvl,2,1371,604,1,0,0.0,0.1546174283742269,0.1546174283742269,0.09656961706594058,0.01,200,5,149
antique,inv,30,0.01,uniform,3,1388,646,1,0,0.0,0.3542971483734065,0.151538355298259,0.07314335840458132,0.01,200,5,149
antique,inv,30,0.01,uniform_nz,3,1403,646,0,0,0.0,0.2625981334275628,0.151538355298259,0.07314335840458132,0.01,200,5,149
antique,inv,30,0.01,weighted,3,1377,646,1,0,0.0,0.151538355298259,0.151538355298259,0.07314335840458132,0.01,200,5,149
antique,inv,30,0.01,active_judge,3,1401,646,1,0,0.0,0.46067424285128045,0.151538355298259,0.07314335840458132,0.01,200,5,149
antique,inv,30,0.01,strat_pilot,3,1409,646,1,0,0.0,0.15166485042080238,0.151538355298259,0.07314335840458132,0.01,200,5,149
antique,inv,30,0.01,weighted_cv,3,1370,646,1,0,0.0,0.18704058657902625,0.151538355298259,0.07314335840458132,0.01,200,5,149
antique,inv,30,0.01,active_cv,3,1390,646,1,0,0.0,0.5760834681646875,0.151538355298259,0.07314335840458132,0.01,200,5,149
antique,inv,30,0.01,weighted_cvl,3,1345,646,1,0,0.0,0.151538355298259,0.151538355298259,0.07314335840458132,0.01,200,5,149
antique,inv,30,0.01,uniform,4,1409,670,1,0,0.0,0.8657668964751226,0.13630592671018626,0.10951364468939176,0.01,200,5,149
antique,inv,30,0.01,uniform_nz,4,1398,670,1,0,0.0,0.7432191306950998,0.13630592671018626,0.10951364468939176,0.01,200,5,149
antique,inv,30,0.01,weighted,4,1363,670,1,0,0.0,0.13630592671018626,0.13630592671018626,0.10951364468939176,0.01,200,5,149
antique,inv,30,0.01,active_judge,4,1468,670,1,0,0.0,0.4912991885109073,0.13630592671018626,0.10951364468939176,0.01,200,5,149
antique,inv,30,0.01,strat_pilot,4,1400,670,1,0,0.0,0.1364551633495275,0.13630592671018626,0.10951364468939176,0.01,200,5,149
antique,inv,30,0.01,weighted_cv,4,1394,670,1,0,0.0,0.20823592945049593,0.13630592671018626,0.10951364468939176,0.01,200,5,149
antique,inv,30,0.01,active_cv,4,1392,670,1,0,0.0,0.7069552583786273,0.13630592671018626,0.10951364468939176,0.01,200,5,149
antique,inv,30,0.01,weighted_cvl,4,1416,670,1,0,0.0,0.13630592671018626,0.13630592671018626,0.10951364468939176,0.01,200,5,149
antique,inv,30,0.01,uniform,5,1147,611,1,0,0.0,0.432465434680959,0.11894851156698157,0.07338180986110553,0.01,200,4,132
antique,inv,30,0.01,uniform_nz,5,1124,611,1,0,0.0,0.245790807930283,0.11894851156698157,0.07338180986110553,0.01,200,4,132
antique,inv,30,0.01,weighted,5,1154,611,1,0,0.0,0.11894851156698157,0.11894851156698157,0.07338180986110553,0.01,200,4,132
antique,inv,30,0.01,active_judge,5,1123,611,0,0,0.0,0.4328535624905621,0.11894851156698157,0.07338180986110553,0.01,200,4,132
antique,inv,30,0.01,strat_pilot,5,1142,611,1,0,0.0,0.11896842668448712,0.11894851156698157,0.07338180986110553,0.01,200,4,132
antique,inv,30,0.01,weighted_cv,5,1143,611,1,0,0.0,0.1485225261097293,0.11894851156698157,0.07338180986110553,0.01,200,4,132
antique,inv,30,0.01,active_cv,5,1141,611,1,0,0.0,0.4756176467547123,0.11894851156698157,0.07338180986110553,0.01,200,4,132
