collection,judge,budget_full_eq,eps,method,draw,docs,pilot,act,wrong,regret,v_pilot,v_pilot_ref,slack_pilot,slack_true,n_queries,b,n_sampled
antique,llm,90,0.01,uniform,0,2184,619,1,0,0.0,0.5595738556315251,0.10832056365780093,0.049126497679718155,0.01,200,9,176
antique,llm,90,0.01,uniform_nz,0,2161,619,1,0,0.0,0.34700684605919097,0.10832056365780093,0.049126497679718155,0.01,200,9,176
antique,llm,90,0.01,weighted,0,2140,619,1,0,0.0,0.10832056365780093,0.10832056365780093,0.049126497679718155,0.01,200,9,176
antique,llm,90,0.01,active_judge,0,2203,619,1,0,0.0,0.510727839480319,0.10832056365780093,0.049126497679718155,0.01,200,9,176
antique,llm,90,0.01,strat_pilot,0,2199,619,1,0,0.0,0.10833659357756416,0.10832056365780093,0.049126497679718155,0.01,200,9,176
antique,llm,90,0.01,weighted_cv,0,2186,619,1,0,0.0,0.038846939856072946,0.10832056365780093,0.049126497679718155,0.01,200,9,176
antique,llm,90,0.01,active_cv,0,2155,619,1,0,0.0,0.1520616448217517,0.10832056365780093,0.049126497679718155,0.01,200,9,176
antique,llm,90,0.01,weighted_cvl,0,2204,619,1,0,0.0,0.04253747714413919,0.10832056365780093,0.049126497679718155,0.01,200,9,176
antique,llm,90,0.01,uniform,1,2889,682,1,0,0.0,0.5311264333065238,0.11693276979847547,0.049106475524819185,0.01,200,13,172
antique,llm,90,0.01,uniform_nz,1,2893,682,1,0,0.0,0.4482473112596317,0.11693276979847547,0.049106475524819185,0.01,200,13,172
antique,llm,90,0.01,weighted,1,2871,682,1,0,0.0,0.11693276979847547,0.11693276979847547,0.049106475524819185,0.01,200,13,172
antique,llm,90,0.01,active_judge,1,2838,682,1,0,0.0,0.428605265761041,0.11693276979847547,0.049106475524819185,0.01,200,13,172
antique,llm,90,0.01,strat_pilot,1,2848,682,1,0,0.0,0.11694023543575667,0.11693276979847547,0.049106475524819185,0.01,200,13,172
antique,llm,90,0.01,weighted_cv,1,2890,682,1,0,0.0,0.05974193798365648,0.11693276979847547,0.049106475524819185,0.01,200,13,172
antique,llm,90,0.01,active_cv,1,2910,682,1,0,0.0,0.15469215836486022,0.11693276979847547,0.049106475524819185,0.01,200,13,172
antique,llm,90,0.01,weighted_cvl,1,2933,682,1,0,0.0,0.07172528831519451,0.11693276979847547,0.049106475524819185,0.01,200,13,172
antique,llm,90,0.01,uniform,2,2845,643,1,0,0.0,0.22703559560274442,0.0997270721998804,0.052497176713894984,0.01,200,13,172
antique,llm,90,0.01,uniform_nz,2,2805,643,1,0,0.0,0.1771031785347734,0.0997270721998804,0.052497176713894984,0.01,200,13,172
antique,llm,90,0.01,weighted,2,2837,643,1,0,0.0,0.0997270721998804,0.0997270721998804,0.052497176713894984,0.01,200,13,172
antique,llm,90,0.01,active_judge,2,2771,643,1,0,0.0,0.25019823133869185,0.0997270721998804,0.052497176713894984,0.01,200,13,172
antique,llm,90,0.01,strat_pilot,2,2841,643,1,0,0.0,0.09954773554299218,0.0997270721998804,0.052497176713894984,0.01,200,13,172
antique,llm,90,0.01,weighted_cv,2,2839,643,1,0,0.0,0.07369858856846467,0.0997270721998804,0.052497176713894984,0.01,200,13,172
antique,llm,90,0.01,active_cv,2,2845,643,1,0,0.0,0.19041587073387822,0.0997270721998804,0.052497176713894984,0.01,200,13,172
antique,llm,90,0.01,weighted_cvl,2,2846,643,1,0,0.0,0.08900249707626444,0.0997270721998804,0.052497176713894984,0.01,200,13,172
antique,llm,90,0.01,uniform,3,2940,657,1,0,0.0,0.5434664002313545,0.17970719493625203,0.11717149742018498,0.01,200,13,172
antique,llm,90,0.01,uniform_nz,3,2867,657,1,0,0.0,0.42430504096540267,0.17970719493625203,0.11717149742018498,0.01,200,13,172
antique,llm,90,0.01,weighted,3,2845,657,1,0,0.0,0.17970719493625203,0.17970719493625203,0.11717149742018498,0.01,200,13,172
antique,llm,90,0.01,active_judge,3,2822,657,1,0,0.0,0.785303866442373,0.17970719493625203,0.11717149742018498,0.01,200,13,172
antique,llm,90,0.01,strat_pilot,3,2839,657,1,0,0.0,0.1806993037894989,0.17970719493625203,0.11717149742018498,0.01,200,13,172
antique,llm,90,0.01,weighted_cv,3,2804,657,1,0,0.0,0.083277413136726,0.17970719493625203,0.11717149742018498,0.01,200,13,172
antique,llm,90,0.01,active_cv,3,2867,657,1,0,0.0,0.35816396387729965,0.17970719493625203,0.11717149742018498,0.01,200,13,172
antique,llm,90,0.01,weighted_cvl,3,2833,657,1,0,0.0,0.12619834231337151,0.17970719493625203,0.11717149742018498,0.01,200,13,172
antique,llm,90,0.01,uniform,4,1841,565,0,0,0.0,0.3891554714486038,0.04742075049594978,0.08781712568477272,0.01,200,7,173
antique,llm,90,0.01,uniform_nz,4,1713,565,0,0,0.0,0.19700440657955945,0.04742075049594978,0.08781712568477272,0.01,200,7,173
antique,llm,90,0.01,weighted,4,1724,565,1,0,0.0,0.04742075049594978,0.04742075049594978,0.08781712568477272,0.01,200,7,173
antique,llm,90,0.01,active_judge,4,1761,565,0,0,0.0,0.2508265460749282,0.04742075049594978,0.08781712568477272,0.01,200,7,173
antique,llm,90,0.01,strat_pilot,4,1761,565,1,0,0.0,0.047205405948606866,0.04742075049594978,0.08781712568477272,0.01,200,7,173
antique,llm,90,0.01,weighted_cv,4,1738,565,1,0,0.0,0.02422650412748546,0.04742075049594978,0.08781712568477272,0.01,200,7,173
antique,llm,90,0.01,active_cv,4,1729,565,1,0,0.0,0.03705793355894933,0.04742075049594978,0.08781712568477272,0.01,200,7,173
