collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound
antique,rr,5,0.01,uniform,0.013333333333333334,0.0,0.5264300749550271,728.2233333333334,629.4733333333334,0.0,shared,full,t
antique,rr,5,0.01,weighted,0.18666666666666668,0.0,0.1298185994359951,728.27,629.4733333333334,0.0,shared,full,t
antique,rr,5,0.01,active_judge,0.056666666666666664,0.0,0.34660425198923744,728.5033333333333,629.4733333333334,0.0,shared,full,t
antique,rr,5,0.01,strat_pilot,0.10666666666666667,0.0,0.1294089116619406,727.4133333333333,629.4733333333334,0.0,shared,full,t
antique,rr,5,0.01,weighted_cv,0.19,0.0,0.1037530612291776,728.09,629.4733333333334,0.0,shared,full,t
antique,rr,5,0.01,active_cv,0.15666666666666668,0.0,0.17612428685992929,728.1933333333334,629.4733333333334,0.0,shared,full,t
antique,rr,5,0.01,weighted_cvl,0.21666666666666667,0.0,0.09033486793528607,727.85,629.4733333333334,0.0,shared,full,t
antique,rr,5,0.02,uniform,0.043333333333333335,0.0,0.5487369324969723,731.45,630.4733333333334,0.0,shared,full,t
antique,rr,5,0.02,weighted,0.22333333333333333,0.0,0.12935904748319174,728.7033333333334,630.4733333333334,0.0,shared,full,t
antique,rr,5,0.02,active_judge,0.03666666666666667,0.0,0.42065881051496684,730.21,630.4733333333334,0.0,shared,full,t
antique,rr,5,0.02,strat_pilot,0.18,0.0,0.13198497926950598,730.05,630.4733333333334,0.0,shared,full,t
antique,rr,5,0.02,weighted_cv,0.22666666666666666,0.0,0.10714210055753814,729.98,630.4733333333334,0.0,shared,full,t
antique,rr,5,0.02,active_cv,0.18666666666666668,0.0,0.16705950465296443,729.9966666666667,630.4733333333334,0.0,shared,full,t
antique,rr,5,0.02,weighted_cvl,0.2966666666666667,0.0,0.09089212427307129,730.1733333333333,630.4733333333334,0.0,shared,full,t
antique,rr,10,0.01,uniform,0.03333333333333333,0.0,0.5202579233866419,833.1233333333333,632.2933333333333,0.0,shared,full,t
antique,rr,10,0.01,weighted,0.30333333333333334,0.0,0.12910232823449988,831.6933333333334,632.2933333333333,0.0,shared,full,t
antique,rr,10,0.01,active_judge,0.09333333333333334,0.0,0.3946722207267426,833.28,632.2933333333333,0.0,shared,full,t
antique,rr,10,0.01,strat_pilot,0.29333333333333333,0.0,0.1287664040431152,832.9033333333333,632.2933333333333,0.0,shared,full,t
antique,rr,10,0.01,weighted_cv,0.43,0.0,0.10649404402999994,831.27,632.2933333333333,0.0,shared,full,t
antique,rr,10,0.01,active_cv,0.3233333333333333,0.0,0.16964114061737343,832.71,632.2933333333333,0.0,shared,full,t
antique,rr,10,0.01,weighted_cvl,0.43333333333333335,0.0,0.0915494126681814,832.26,632.2933333333333,0.0,shared,full,t
antique,rr,10,0.02,uniform,0.04666666666666667,0.0,0.5255589530922381,831.8266666666667,633.1666666666666,0.0,shared,full,t
antique,rr,10,0.02,weighted,0.38333333333333336,0.0,0.12760399583515036,831.11,633.1666666666666,0.0,shared,full,t
antique,rr,10,0.02,active_judge,0.11,0.0,0.39108875703492046,831.98,633.1666666666666,0.0,shared,full,t
antique,rr,10,0.02,strat_pilot,0.43,0.0,0.1264924796081823,829.5233333333333,633.1666666666666,0.0,shared,full,t
antique,rr,10,0.02,weighted_cv,0.5466666666666666,0.0,0.1028967227407603,829.8966666666666,633.1666666666666,0.0,shared,full,t
antique,rr,10,0.02,active_cv,0.3433333333333333,0.0,0.1736484595921794,832.05,633.1666666666666,0.0,shared,full,t
antique,rr,10,0.02,weighted_cvl,0.5533333333333333,0.0,0.09030821867622273,832.99,633.1666666666666,0.0,shared,full,t
antique,rr,15,0.01,uniform,0.06666666666666667,0.0,0.5384007888132953,923.4033333333333,627.6766666666666,0.0,shared,full,t
antique,rr,15,0.01,weighted,0.4866666666666667,0.0,0.13012221427652773,925.7066666666667,627.6766666666666,0.0,shared,full,t
antique,rr,15,0.01,active_judge,0.19666666666666666,0.0,0.3719732214773225,923.6466666666666,627.6766666666666,0.0,shared,full,t
antique,rr,15,0.01,strat_pilot,0.5066666666666667,0.0,0.12833730863526432,923.1366666666667,627.6766666666666,0.0,shared,full,t
antique,rr,15,0.01,weighted_cv,0.6633333333333333,0.0,0.1044296794016335,924.0533333333333,627.6766666666666,0.0,shared,full,t
