collection,judge,budget_full_eq,eps,method,draw,docs,pilot,act,wrong,regret,v_pilot,v_pilot_ref,slack_pilot,slack_true,n_queries,b,n_sampled
antique,rr,120,0.01,uniform,0,2676,619,1,0,0.0,0.5595738556315251,0.10832056365780093,0.049126497679718155,0.01,200,12,176
antique,rr,120,0.01,uniform_nz,0,2663,619,1,0,0.0,0.34700684605919097,0.10832056365780093,0.049126497679718155,0.01,200,12,176
antique,rr,120,0.01,weighted,0,2657,619,1,0,0.0,0.10832056365780093,0.10832056365780093,0.049126497679718155,0.01,200,12,176
antique,rr,120,0.01,active_judge,0,2670,619,1,0,0.0,0.3573149244432132,0.10832056365780093,0.049126497679718155,0.01,200,12,176
antique,rr,120,0.01,strat_pilot,0,2678,619,1,0,0.0,0.10833659357756416,0.10832056365780093,0.049126497679718155,0.01,200,12,176
antique,rr,120,0.01,weighted_cv,0,2656,619,1,0,0.0,0.06549471627237491,0.10832056365780093,0.049126497679718155,0.01,200,12,176
antique,rr,120,0.01,active_cv,0,2664,619,1,0,0.0,0.09329846778332193,0.10832056365780093,0.049126497679718155,0.01,200,12,176
antique,rr,120,0.01,weighted_cvl,0,2672,619,1,0,0.0,0.051768225657308806,0.10832056365780093,0.049126497679718155,0.01,200,12,176
antique,rr,120,0.01,uniform,1,3586,682,1,0,0.0,0.5311264333065238,0.11693276979847547,0.049106475524819185,0.01,200,17,175
antique,rr,120,0.01,uniform_nz,1,3585,682,1,0,0.0,0.4482473112596317,0.11693276979847547,0.049106475524819185,0.01,200,17,175
antique,rr,120,0.01,weighted,1,3552,682,1,0,0.0,0.11693276979847547,0.11693276979847547,0.049106475524819185,0.01,200,17,175
antique,rr,120,0.01,active_judge,1,3560,682,1,0,0.0,0.33213453740017906,0.11693276979847547,0.049106475524819185,0.01,200,17,175
antique,rr,120,0.01,strat_pilot,1,3564,682,1,0,0.0,0.11694023543575667,0.11693276979847547,0.049106475524819185,0.01,200,17,175
antique,rr,120,0.01,weighted_cv,1,3574,682,1,0,0.0,0.08833615745735635,0.11693276979847547,0.049106475524819185,0.01,200,17,175
antique,rr,120,0.01,active_cv,1,3586,682,1,0,0.0,0.17441875632052467,0.11693276979847547,0.049106475524819185,0.01,200,17,175
antique,rr,120,0.01,weighted_cvl,1,3582,682,1,0,0.0,0.07656655962900084,0.11693276979847547,0.049106475524819185,0.01,200,17,175
antique,rr,120,0.01,uniform,2,3506,566,1,0,0.0,0.20318463309715679,0.06372633253917892,0.04455620735903242,0.01,200,17,175
antique,rr,120,0.01,uniform_nz,2,3513,566,1,0,0.0,0.1251878141805136,0.06372633253917892,0.04455620735903242,0.01,200,17,175
antique,rr,120,0.01,weighted,2,3514,566,1,0,0.0,0.06372633253917892,0.06372633253917892,0.04455620735903242,0.01,200,17,175
