collection,judge,budget_full_eq,eps,method,draw,docs,pilot,act,wrong,regret,v_pilot,v_pilot_ref,slack_pilot,slack_true,n_queries,b,n_sampled
cast19,inv,120,0.01,uniform,0,4762,1005,1,0,0.0,0.47522986833251685,0.12940855967309237,0.03664280039830248,0.01,159,28,136
cast19,inv,120,0.01,uniform_nz,0,4622,1005,1,0,0.0,0.32671605015342625,0.12940855967309237,0.03664280039830248,0.01,159,28,136
cast19,inv,120,0.01,weighted,0,4677,1005,1,0,0.0,0.12940855967309237,0.12940855967309237,0.03664280039830248,0.01,159,28,136
cast19,inv,120,0.01,active_judge,0,4602,1005,1,0,0.0,0.26976198461351647,0.12940855967309237,0.03664280039830248,0.01,159,28,136
cast19,inv,120,0.01,strat_pilot,0,4678,1005,1,0,0.0,0.12946924237826624,0.12940855967309237,0.03664280039830248,0.01,159,28,136
cast19,inv,120,0.01,weighted_cv,0,4670,1005,1,0,0.0,0.1724907984520832,0.12940855967309237,0.03664280039830248,0.01,159,28,136
cast19,inv,120,0.01,active_cv,0,4626,1005,1,0,0.0,0.3581844231837347,0.12940855967309237,0.03664280039830248,0.01,159,28,136
cast19,inv,120,0.01,weighted_cvl,0,4694,1005,1,0,0.0,0.12940855967309237,0.12940855967309237,0.03664280039830248,0.01,159,28,136
cast19,inv,120,0.01,uniform,1,3696,964,0,0,0.0073699342678733015,0.22105788674466537,0.04508785863646199,0.008421633593258298,0.0026300657321266987,159,20,137
cast19,inv,120,0.01,uniform_nz,1,3578,964,0,0,0.0073699342678733015,0.09605089877253695,0.04508785863646199,0.008421633593258298,0.0026300657321266987,159,20,137
cast19,inv,120,0.01,weighted,1,3549,964,0,0,0.0073699342678733015,0.04508785863646199,0.04508785863646199,0.008421633593258298,0.0026300657321266987,159,20,137
cast19,inv,120,0.01,active_judge,1,3524,964,0,0,0.0073699342678733015,0.10796381599176579,0.04508785863646199,0.008421633593258298,0.0026300657321266987,159,20,137
cast19,inv,120,0.01,strat_pilot,1,3572,964,0,0,0.0073699342678733015,0.04505180628191001,0.04508785863646199,0.008421633593258298,0.0026300657321266987,159,20,137
cast19,inv,120,0.01,weighted_cv,1,3564,964,0,0,0.0073699342678733015,0.05604066577930715,0.04508785863646199,0.008421633593258298,0.0026300657321266987,159,20,137
cast19,inv,120,0.01,active_cv,1,3535,964,0,0,0.0073699342678733015,0.12593394778205727,0.04508785863646199,0.008421633593258298,0.0026300657321266987,159,20,137
cast19,inv,120,0.01,weighted_cvl,1,3548,964,0,0,0.0073699342678733015,0.04508785863646199,0.04508785863646199,0.008421633593258298,0.0026300657321266987,159,20,137
cast19,inv,120,0.01,uniform,2,3085,908,0,0,0.0,0.12623995016247128,0.04189331294704528,0.01267141058975424,0.01,159,16,137
cast19,inv,120,0.01,uniform_nz,2,2937,908,1,0,0.0,0.046026633448672,0.04189331294704528,0.01267141058975424,0.01,159,16,137
cast19,inv,120,0.01,weighted,2,2934,908,1,0,0.0,0.04189331294704528,0.04189331294704528,0.01267141058975424,0.01,159,16,137
cast19,inv,120,0.01,active_judge,2,2925,908,1,0,0.0,0.08443030348681432,0.04189331294704528,0.01267141058975424,0.01,159,16,137
cast19,inv,120,0.01,strat_pilot,2,2964,908,1,0,0.0,0.041895744772564636,0.04189331294704528,0.01267141058975424,0.01,159,16,137
cast19,inv,120,0.01,weighted_cv,2,2945,908,1,0,0.0,0.050552588419767855,0.04189331294704528,0.01267141058975424,0.01,159,16,137
cast19,inv,120,0.01,active_cv,2,2938,908,1,0,0.0,0.1039570088086406,0.04189331294704528,0.01267141058975424,0.01,159,16,137
cast19,inv,120,0.01,weighted_cvl,2,2938,908,1,0,0.0,0.04191472717550943,0.04189331294704528,0.01267141058975424,0.01,159,16,137
cast19,inv,120,0.01,uniform,3,3724,951,0,0,0.0,0.12447654992254335,0.048601763441180154,0.016433998494023046,0.01,159,20,137
cast19,inv,120,0.01,uniform_nz,3,3569,951,1,0,0.0,0.05245254651053403,0.048601763441180154,0.016433998494023046,0.01,159,20,137
cast19,inv,120,0.01,weighted,3,3544,951,1,0,0.0,0.048601763441180154,0.048601763441180154,0.016433998494023046,0.01,159,20,137
cast19,inv,120,0.01,active_judge,3,3545,951,1,0,0.0,0.12291132044727474,0.048601763441180154,0.016433998494023046,0.01,159,20,137
cast19,inv,120,0.01,strat_pilot,3,3566,951,1,0,0.0,0.04851223015026488,0.048601763441180154,0.016433998494023046,0.01,159,20,137
cast19,inv,120,0.01,weighted_cv,3,3546,951,1,0,0.0,0.07084366274282043,0.048601763441180154,0.016433998494023046,0.01,159,20,137
cast19,inv,120,0.01,active_cv,3,3553,951,1,0,0.0,0.16366854218301613,0.048601763441180154,0.016433998494023046,0.01,159,20,137
cast19,inv,120,0.01,weighted_cvl,3,3562,951,1,0,0.0,0.048601763441180154,0.048601763441180154,0.016433998494023046,0.01,159,20,137
cast19,inv,120,0.01,uniform,4,3730,949,0,0,0.003610459076866801,0.5044574117475329,0.10193991397544692,0.04126428644567023,0.006389540923133199,159,20,137
cast19,inv,120,0.01,uniform_nz,4,3539,949,0,0,0.003610459076866801,0.2261007364142488,0.10193991397544692,0.04126428644567023,0.006389540923133199,159,20,137
cast19,inv,120,0.01,weighted,4,3547,949,1,0,0.003610459076866801,0.10193991397544692,0.10193991397544692,0.04126428644567023,0.006389540923133199,159,20,137
