collection,judge,budget_full_eq,eps,method,act,wrong,var_est
cast19,llm,30,0.02,uniform,0.023333333333333334,0.0,0.26817223506621163
cast19,llm,30,0.02,weighted,0.05,0.0,0.06584262514299091
cast19,llm,30,0.02,active_judge,0.006666666666666667,0.0,0.19589618990561888
cast19,llm,30,0.02,strat_pilot,0.06333333333333334,0.0,0.0655402897059857
cast19,llm,30,0.02,weighted_cv,0.07666666666666666,0.0,0.042214737877415885
cast19,llm,30,0.02,active_cv,0.05333333333333334,0.0,0.10252459454434987
cast19,llm,30,0.02,weighted_cvl,0.09,0.0,0.041716754066188744
cast19,llm,60,0.02,uniform,0.06333333333333334,0.0,0.13140610526396732
cast19,llm,60,0.02,weighted,0.19666666666666666,0.0,0.032429110206413196
cast19,llm,60,0.02,active_judge,0.10666666666666667,0.0,0.06453778624312272
cast19,llm,60,0.02,strat_pilot,0.19666666666666666,0.0,0.03260711178949465
cast19,llm,60,0.02,weighted_cv,0.31666666666666665,0.0,0.023183326824200393
cast19,llm,60,0.02,active_cv,0.19,0.0,0.03838756348885245
cast19,llm,60,0.02,weighted_cvl,0.26666666666666666,0.0,0.022818574410492398
cast19,llm,90,0.02,uniform,0.11,0.0,0.07233295864115166
cast19,llm,90,0.02,weighted,0.41,0.0,0.019323619630506942
cast19,llm,90,0.02,active_judge,0.33,0.0,0.02533361850077156
cast19,llm,90,0.02,strat_pilot,0.4166666666666667,0.0,0.019604784815634626
cast19,llm,90,0.02,weighted_cv,0.44333333333333336,0.0,0.01640015826606266
cast19,llm,90,0.02,active_cv,0.41,0.0,0.01859223646720044
cast19,llm,90,0.02,weighted_cvl,0.44,0.0,0.01607728149282742
cast19,llm,120,0.02,uniform,0.13666666666666666,0.0,0.04826900795257605
cast19,llm,120,0.02,weighted,0.49666666666666665,0.0,0.0145187240002061
cast19,llm,120,0.02,active_judge,0.48333333333333334,0.0,0.015797159416681337
cast19,llm,120,0.02,strat_pilot,0.5,0.0,0.014438036909367647
cast19,llm,120,0.02,weighted_cv,0.52,0.0,0.013399060335214728
cast19,llm,120,0.02,active_cv,0.5133333333333333,0.0,0.013737129119770755
cast19,llm,120,0.02,weighted_cvl,0.5233333333333333,0.0,0.013440383941077005
cast19,llm,150,0.02,uniform,0.22,0.0,0.03420942822175746
cast19,llm,150,0.02,weighted,0.5133333333333333,0.0,0.012612987085928012
cast19,llm,150,0.02,active_judge,0.5,0.0,0.01287811061788101
cast19,llm,150,0.02,strat_pilot,0.52,0.0,0.012588560481805651
cast19,llm,150,0.02,weighted_cv,0.5333333333333333,0.0,0.01235926090376661
cast19,llm,150,0.02,active_cv,0.5233333333333333,0.0,0.012397697497436343
cast19,llm,150,0.02,weighted_cvl,0.52,0.0,0.012290002309946176
