collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound
cast19,llm,30,0.01,uniform,0.016666666666666666,0.0,0.19276198746817252,1712.9066666666668,976.57,0.0,shared,full,t
cast19,llm,30,0.01,weighted,0.04666666666666667,0.0,0.05015633545585163,1708.4066666666668,976.57,0.0,shared,full,t
cast19,llm,30,0.01,active_judge,0.04,0.0,0.1334681105411358,1708.15,976.57,0.0,shared,full,t
cast19,llm,30,0.01,strat_pilot,0.07666666666666666,0.0033333333333333335,0.05123273051787804,1707.7933333333333,976.57,0.0,shared,full,t
cast19,llm,30,0.01,weighted_cv,0.06666666666666667,0.0,0.03416830082516119,1707.24,976.57,0.0,shared,full,t
cast19,llm,30,0.01,active_cv,0.02666666666666667,0.0,0.07361513443333849,1708.2833333333333,976.57,0.0,shared,full,t
cast19,llm,30,0.01,weighted_cvl,0.08,0.0,0.03327264785938997,1709.1333333333334,976.57,0.0,shared,full,t
cast19,llm,30,0.02,uniform,0.04666666666666667,0.0033333333333333335,0.18725165079931272,1708.7466666666667,973.88,0.0,shared,full,t
cast19,llm,30,0.02,weighted,0.15666666666666668,0.0,0.05057354331569207,1706.9466666666667,973.88,0.0,shared,full,t
cast19,llm,30,0.02,active_judge,0.06,0.0,0.13149072706946807,1706.4733333333334,973.88,0.0,shared,full,t
cast19,llm,30,0.02,strat_pilot,0.15,0.0,0.05048271898944893,1705.48,973.88,0.0,shared,full,t
cast19,llm,30,0.02,weighted_cv,0.25333333333333335,0.0,0.03375230011516237,1706.9266666666667,973.88,0.0,shared,full,t
cast19,llm,30,0.02,active_cv,0.13333333333333333,0.0,0.0729300909083987,1707.3,973.88,0.0,shared,full,t
cast19,llm,30,0.02,weighted_cvl,0.28,0.0,0.03333991227441538,1706.36,973.88,0.0,shared,full,t
cast19,llm,45,0.01,uniform,0.03666666666666667,0.0033333333333333335,0.11750693356957252,2067.5466666666666,975.1566666666666,0.0,shared,full,t
cast19,llm,45,0.01,weighted,0.1,0.0,0.03166421672421415,2061.1366666666668,975.1566666666666,0.0,shared,full,t
