collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound,act_iid,act_pilot_iid
cast19,llm,15,0.01,uniform,0.02666666666666667,0.0,0.34169904432962755,1340.8033333333333,977.53,0.0,shared,full,t,0.016666666666666666,0.02666666666666667
cast19,llm,15,0.01,uniform_nz,0.03,0.0,0.1554591611392142,1342.1766666666667,977.53,0.0,shared,full,t,0.023333333333333334,0.02666666666666667
cast19,llm,15,0.01,weighted,0.07666666666666666,0.0033333333333333335,0.0741569365867156,1339.9166666666667,977.53,0.0,shared,full,t,0.04666666666666667,0.07
cast19,llm,15,0.01,active_judge,0.04666666666666667,0.0,0.2456105248590862,1341.46,977.53,0.0,shared,full,t,0.04,0.05
cast19,llm,15,0.01,strat_pilot,0.07333333333333333,0.0,0.07431423896651562,1340.8866666666668,977.53,0.0,shared,full,t,0.03666666666666667,0.06666666666666667
cast19,llm,15,0.01,weighted_cv,0.11333333333333333,0.0033333333333333335,0.04980344151993808,1340.66,977.53,0.0,shared,full,t,0.06,0.09
cast19,llm,15,0.01,active_cv,0.08,0.0,0.126841954809175,1341.3933333333334,977.53,0.0,shared,full,t,0.05,0.06333333333333334
cast19,llm,15,0.01,weighted_cvl,0.12333333333333334,0.0,0.044093732700604384,1341.3966666666668,977.53,0.0,shared,full,t,0.06333333333333334,0.1
cast19,llm,15,0.02,uniform,0.02,0.0,0.3130165414752192,1354.57,976.5066666666667,0.0,shared,full,t,0.013333333333333334,0.023333333333333334
cast19,llm,15,0.02,uniform_nz,0.08666666666666667,0.0,0.16098711421220416,1353.7333333333333,976.5066666666667,0.0,shared,full,t,0.056666666666666664,0.07333333333333333
cast19,llm,15,0.02,weighted,0.15,0.0,0.0801704731033059,1353.4533333333334,976.5066666666667,0.0,shared,full,t,0.09,0.13333333333333333
cast19,llm,15,0.02,active_judge,0.03,0.0,0.2643105746693263,1353.31,976.5066666666667,0.0,shared,full,t,0.02666666666666667,0.03333333333333333
cast19,llm,15,0.02,strat_pilot,0.15333333333333332,0.0,0.08101027300360329,1353.9133333333334,976.5066666666667,0.0,shared,full,t,0.07333333333333333,0.12333333333333334
cast19,llm,15,0.02,weighted_cv,0.18666666666666668,0.0,0.05311376056276853,1352.42,976.5066666666667,0.0,shared,full,t,0.11,0.16
cast19,llm,15,0.02,active_cv,0.17333333333333334,0.0,0.1324702267683077,1353.6,976.5066666666667,0.0,shared,full,t,0.13333333333333333,0.16333333333333333
cast19,llm,15,0.02,weighted_cvl,0.2833333333333333,0.0,0.04680734416485807,1353.2466666666667,976.5066666666667,0.0,shared,full,t,0.14666666666666667,0.22
