collection,judge,budget_full_eq,eps,method,draw,docs,pilot,act,wrong,regret,v_pilot,v_pilot_ref,slack_pilot,slack_true,n_queries,b,n_sampled
cast19,llm,45,0.01,uniform,0,2454,1005,1,0,0.0,0.47522986833251685,0.12940855967309237,0.03664280039830248,0.01,159,11,130
cast19,llm,45,0.01,uniform_nz,0,2402,1005,0,0,0.0,0.32671605015342625,0.12940855967309237,0.03664280039830248,0.01,159,11,130
cast19,llm,45,0.01,weighted,0,2388,1005,1,0,0.0,0.12940855967309237,0.12940855967309237,0.03664280039830248,0.01,159,11,130
cast19,llm,45,0.01,active_judge,0,2422,1005,0,0,0.0,0.4141589876337246,0.12940855967309237,0.03664280039830248,0.01,159,11,130
cast19,llm,45,0.01,strat_pilot,0,2391,1005,1,0,0.0,0.12946924237826624,0.12940855967309237,0.03664280039830248,0.01,159,11,130
cast19,llm,45,0.01,weighted_cv,0,2441,1005,1,0,0.0,0.04359972151280016,0.12940855967309237,0.03664280039830248,0.01,159,11,130
cast19,llm,45,0.01,active_cv,0,2439,1005,0,0,0.0,0.1264174779170347,0.12940855967309237,0.03664280039830248,0.01,159,11,130
cast19,llm,45,0.01,weighted_cvl,0,2446,1005,1,0,0.0,0.04578960196131689,0.12940855967309237,0.03664280039830248,0.01,159,11,130
cast19,llm,45,0.01,uniform,1,1914,943,0,0,0.005947551082733427,0.12514202181918396,0.046791039472591264,0.013732881469056917,0.004052448917266574,159,8,129
cast19,llm,45,0.01,uniform_nz,1,2018,943,0,0,0.005947551082733427,0.05496677974800612,0.046791039472591264,0.013732881469056917,0.004052448917266574,159,8,129
cast19,llm,45,0.01,weighted,1,1959,943,0,0,0.005947551082733427,0.046791039472591264,0.046791039472591264,0.013732881469056917,0.004052448917266574,159,8,129
cast19,llm,45,0.01,active_judge,1,1965,943,0,0,0.005947551082733427,0.17821481691554403,0.046791039472591264,0.013732881469056917,0.004052448917266574,159,8,129
cast19,llm,45,0.01,strat_pilot,1,1973,943,0,0,0.005947551082733427,0.046748492547548384,0.046791039472591264,0.013732881469056917,0.004052448917266574,159,8,129
cast19,llm,45,0.01,weighted_cv,1,1994,943,0,0,0.005947551082733427,0.022783375496362546,0.046791039472591264,0.013732881469056917,0.004052448917266574,159,8,129
cast19,llm,45,0.01,active_cv,1,1957,943,0,0,0.005947551082733427,0.07270189285870912,0.046791039472591264,0.013732881469056917,0.004052448917266574,159,8,129
cast19,llm,45,0.01,weighted_cvl,1,1960,943,0,0,0.005947551082733427,0.018577249044473602,0.046791039472591264,0.013732881469056917,0.004052448917266574,159,8,129
cast19,llm,45,0.01,uniform,2,1989,973,0,0,0.0,0.48103517793769335,0.08357850634183873,0.03927350771937863,0.01,159,8,129
cast19,llm,45,0.01,uniform_nz,2,2010,973,0,0,0.0,0.2053040648241539,0.08357850634183873,0.03927350771937863,0.01,159,8,129
cast19,llm,45,0.01,weighted,2,2018,973,0,0,0.0,0.08357850634183873,0.08357850634183873,0.03927350771937863,0.01,159,8,129
cast19,llm,45,0.01,active_judge,2,1976,973,0,0,0.0,0.32446646323872996,0.08357850634183873,0.03927350771937863,0.01,159,8,129
