collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound
cast19,rr,120,0.01,uniform,0.09666666666666666,0.0,0.04590646606439049,3910.3333333333335,979.64,0.0,shared,full,t
cast19,rr,120,0.01,weighted,0.23,0.0,0.013560868088706117,3778.41,979.64,0.0,shared,full,t
cast19,rr,120,0.01,active_judge,0.20666666666666667,0.0,0.016659580872340783,3735.8633333333332,979.64,0.0,shared,full,t
cast19,rr,120,0.01,strat_pilot,0.25,0.0,0.013556738595269957,3777.93,979.64,0.0,shared,full,t
cast19,rr,120,0.01,weighted_cv,0.24,0.0,0.01356997220783896,3778.74,979.64,0.0,shared,full,t
cast19,rr,120,0.01,active_cv,0.22333333333333333,0.0,0.014426721696328238,3737.86,979.64,0.0,shared,full,t
cast19,rr,120,0.01,weighted_cvl,0.24333333333333335,0.0,0.013131200763677327,3776.76,979.64,0.0,shared,full,t
cast19,rr,120,0.02,uniform,0.18666666666666668,0.0,0.042263225783540435,3908.2,975.4866666666667,0.0,shared,full,t
cast19,rr,120,0.02,weighted,0.4766666666666667,0.0,0.012986140714764253,3766.766666666667,975.4866666666667,0.0,shared,full,t
cast19,rr,120,0.02,active_judge,0.42333333333333334,0.0,0.01584743763979405,3725.41,975.4866666666667,0.0,shared,full,t
cast19,rr,120,0.02,strat_pilot,0.48,0.0,0.013012754201566936,3766.5033333333336,975.4866666666667,0.0,shared,full,t
cast19,rr,120,0.02,weighted_cv,0.4866666666666667,0.0,0.01300157523585275,3765.7,975.4866666666667,0.0,shared,full,t
cast19,rr,120,0.02,active_cv,0.44,0.0,0.013832785679844589,3725.04,975.4866666666667,0.0,shared,full,t
cast19,rr,120,0.02,weighted_cvl,0.5033333333333333,0.0,0.012673495358112451,3765.5,975.4866666666667,0.0,shared,full,t
cast19,rr,150,0.01,uniform,0.12,0.0,0.0324641882109722,4606.573333333334,971.73,0.0,shared,full,t
cast19,rr,150,0.01,weighted,0.27,0.0,0.01196688293944461,4136.383333333333,971.73,0.0,shared,full,t
cast19,rr,150,0.01,active_judge,0.25,0.0,0.012671928569457222,4091.3933333333334,971.73,0.0,shared,full,t
cast19,rr,150,0.01,strat_pilot,0.24666666666666667,0.0,0.012006724393642771,4137.596666666666,971.73,0.0,shared,full,t
cast19,rr,150,0.01,weighted_cv,0.2633333333333333,0.0,0.011974924545711862,4135.423333333333,971.73,0.0,shared,full,t
cast19,rr,150,0.01,active_cv,0.28,0.0,0.012170662427740907,4091.1833333333334,971.73,0.0,shared,full,t
cast19,rr,150,0.01,weighted_cvl,0.2633333333333333,0.0,0.011917185590174155,4136.0633333333335,971.73,0.0,shared,full,t
cast19,rr,150,0.02,uniform,0.25,0.0,0.0320892178168618,4666.843333333333,978.0466666666666,0.0,shared,full,t
cast19,rr,150,0.02,weighted,0.5566666666666666,0.0,0.012290710766206747,4201.57,978.0466666666666,0.0,shared,full,t
cast19,rr,150,0.02,active_judge,0.5266666666666666,0.0,0.013020636127118285,4155.586666666667,978.0466666666666,0.0,shared,full,t
cast19,rr,150,0.02,strat_pilot,0.55,0.0,0.01227033802281306,4201.156666666667,978.0466666666666,0.0,shared,full,t
cast19,rr,150,0.02,weighted_cv,0.5466666666666666,0.0,0.012260175432712704,4201.07,978.0466666666666,0.0,shared,full,t
cast19,rr,150,0.02,active_cv,0.5366666666666666,0.0,0.012505535019119725,4154.92,978.0466666666666,0.0,shared,full,t
cast19,rr,150,0.02,weighted_cvl,0.5533333333333333,0.0,0.012231721272394806,4201.663333333333,978.0466666666666,0.0,shared,full,t
cast19,rr,200,0.01,uniform,0.18,0.0,0.021184263600477916,5671.293333333333,971.0,0.0,shared,full,t
cast19,rr,200,0.01,weighted,0.2866666666666667,0.0,0.011802222179828563,4218.086666666667,971.0,0.0,shared,full,t
cast19,rr,200,0.01,active_judge,0.28,0.0,0.011878948899716437,4209.11,971.0,0.0,shared,full,t
cast19,rr,200,0.01,strat_pilot,0.2866666666666667,0.0,0.011812794198697315,4218.073333333334,971.0,0.0,shared,full,t
cast19,rr,200,0.01,weighted_cv,0.2866666666666667,0.0,0.011822615462633407,4217.87,971.0,0.0,shared,full,t
cast19,rr,200,0.01,active_cv,0.29,0.0,0.011844053680950999,4208.946666666667,971.0,0.0,shared,full,t
cast19,rr,200,0.01,weighted_cvl,0.28,0.0,0.011819721183695679,4218.006666666667,971.0,0.0,shared,full,t
cast19,rr,200,0.02,uniform,0.39,0.0,0.020879138819883823,5710.233333333334,974.2733333333333,0.0,shared,full,t
cast19,rr,200,0.02,weighted,0.6066666666666667,0.0,0.012049823644046552,4248.933333333333,974.2733333333333,0.0,shared,full,t
cast19,rr,200,0.02,active_judge,0.6166666666666667,0.0,0.01208648410243827,4239.88,974.2733333333333,0.0,shared,full,t
cast19,rr,200,0.02,strat_pilot,0.61,0.0,0.012047680610077886,4248.79,974.2733333333333,0.0,shared,full,t
cast19,rr,200,0.02,weighted_cv,0.6033333333333334,0.0,0.012059518936696342,4248.7733333333335,974.2733333333333,0.0,shared,full,t
cast19,rr,200,0.02,active_cv,0.6066666666666667,0.0,0.01207519562539322,4239.98,974.2733333333333,0.0,shared,full,t
cast19,rr,200,0.02,weighted_cvl,0.6033333333333334,0.0,0.012051555357240158,4248.8133333333335,974.2733333333333,0.0,shared,full,t
