collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound
cast19,rr,150,0.01,uniform,0.32,0.0033333333333333335,0.03297018554517219,4600.95,974.4466666666667,0.0,shared,full,t
cast19,rr,150,0.01,weighted,0.8066666666666666,0.0,0.012158928120932184,4139.956666666667,974.4466666666667,0.0,shared,full,t
cast19,rr,150,0.01,active_judge,0.76,0.0,0.012856450052455629,4095.4266666666667,974.4466666666667,0.0,shared,full,t
cast19,rr,150,0.01,strat_pilot,0.8033333333333333,0.0,0.012212790496374547,4142.08,974.4466666666667,0.0,shared,full,t
cast19,rr,150,0.01,weighted_cv,0.7933333333333333,0.0,0.012203562483688368,4139.426666666666,974.4466666666667,0.0,shared,full,t
cast19,rr,150,0.01,active_cv,0.7833333333333333,0.0,0.01238810322580236,4094.9,974.4466666666667,0.0,shared,full,t
cast19,rr,150,0.01,weighted_cvl,0.81,0.0,0.012115205221515843,4140.093333333333,974.4466666666667,0.0,shared,full,t
cast19,rr,150,0.02,uniform,0.48333333333333334,0.0,0.031764803491555846,4675.536666666667,975.4233333333333,0.0,shared,full,t
cast19,rr,150,0.02,weighted,0.9466666666666667,0.0,0.01225196133137154,4207.356666666667,975.4233333333333,0.0,shared,full,t
cast19,rr,150,0.02,active_judge,0.9366666666666666,0.0,0.012779499910476666,4159.8966666666665,975.4233333333333,0.0,shared,full,t
cast19,rr,150,0.02,strat_pilot,0.9466666666666667,0.0,0.012234824869109661,4207.743333333333,975.4233333333333,0.0,shared,full,t
cast19,rr,150,0.02,weighted_cv,0.9433333333333334,0.0,0.012240823258978567,4207.166666666667,975.4233333333333,0.0,shared,full,t
cast19,rr,150,0.02,active_cv,0.9433333333333334,0.0,0.012444234159827787,4160.076666666667,975.4233333333333,0.0,shared,full,t
cast19,rr,150,0.02,weighted_cvl,0.9466666666666667,0.0,0.012156429553676544,4208.28,975.4233333333333,0.0,shared,full,t
